"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"RY.TO","ROYAL BK CDA MONTREAL QUE","COM","780087102","87,522","12%","1,277,313","",""
"TD","TORONTO DOMINION BK ONT","COM NEW","891160509","49,327","6.7%","992,093","",""
"BMO.TO","BANK MONTREAL QUE","COM","063671101","40,659","5.5%","622,173","",""
"BNS.TO","BANK N S HALIFAX","COM","064149107","40,456","5.5%","811,227","",""
"CNR.TO","CANADIAN NATL RY CO","COM","136375102","30,981","4.2%","418,049","",""
"BCE.TO","BCE INC","COM NEW","05534B760","29,670","4.0%","750,561","",""
"TRP","TRANSCANADA CORP","COM","89353D107","26,320","3.6%","737,251","",""
"RCI-B.TO","ROGERS COMMUNICATIONS INC","CL B","775109200","20,086","2.7%","391,839","",""
"MSFT","MICROSOFT CORP","COM","594918104","17,226","2.3%","169,597","",""
"CM.TO","CDN IMPERIAL BK COMM TORONTO","COM","136069101","17,124","2.3%","229,730","",""
"ENB.TO","ENBRIDGE INC","COM","29250N105","17,117","2.3%","550,752","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","16,975","2.3%","606,884","",""
"T.TO","TELUS CORP","COM","87971M103","14,939","2.0%","450,769","",""
"BKAA.SG","BROOKFIELD ASSET MGMT INC","CL A LTD VT SH","112585104","13,019","1.8%","339,493","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","12,760","1.7%","98,875","",""
"MFC.TO","MANULIFE FINL CORP","COM","56501R106","12,080","1.6%","851,282","",""
"V","VISA INC","COM CL A","92826C839","11,264","1.5%","85,370","",""
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","11,043","1.5%","457,665","",""
"FTS.TO","FORTIS INC","COM","349553107","10,426","1.4%","312,510","",""
"NTR.TO","NUTRIEN LTD","COM","67077M108","9,957","1.4%","211,858","",""
"CP.TO","CANADIAN PAC RY LTD","COM","13645T100","9,833","1.3%","55,357","",""
"SJR-B.TO","SHAW COMMUNICATIONS INC","CL B CONV","82028K200","9,711","1.3%","536,823","",""
"GOOGL","ALPHABET INC","CAP STK CL A","02079K305","9,671","1.3%","9,255","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","9,651","1.3%","47,374","",""
"UN","UNILEVER N V","N Y SHS NEW","904784709","9,177","1.2%","170,588","",""
"MDT","MEDTRONIC PLC","SHS","G5960L103","9,120","1.2%","100,261","",""
"GIB","GROUPE CGI INC","CL A SUB VTG","39945C109","8,922","1.2%","145,808","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","8,876","1.2%","169,708","",""
"MMM","3M CO","COM","88579Y101","8,758","1.2%","45,965","",""
"HON","HONEYWELL INTL INC","COM","438516106","8,515","1.2%","64,447","",""
"WCN","WASTE CONNECTIONS INC","COM","94106B101","7,653","1.0%","103,066","",""
"DIS","DISNEY WALT CO","COM DISNEY","254687106","7,464","1.0%","68,065","",""
"MA","MASTERCARD INCORPORATED","CL A","57636Q104","7,385","1.0%","39,145","",""
"TRI.TO","THOMSON REUTERS CORP","COM NEW","884903709","7,320","1.0%","151,527","",""
"FNV.TO","FRANCO NEVADA CORP","COM","351858105","7,215","1.0%","102,821","",""
"AAPL","APPLE INC","COM","037833100","7,173","1.0%","45,475","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","6,781","0.9%","69,467","",""
"SLF.TO","SUN LIFE FINL INC","COM","866796105","6,534","0.9%","196,843","",""
"PPL.TO","PEMBINA PIPELINE CORP","COM","706327103","6,483","0.9%","218,510","",""
"CMCSA","COMCAST CORP NEW","CL A","20030N101","6,346","0.9%","186,369","",""
"DHR","DANAHER CORP DEL","COM","235851102","5,962","0.8%","57,808","",""
"NKE","NIKE INC","CL B","654106103","5,728","0.8%","77,267","",""
"LIN","LINDE PLC","COM","G5494J103","5,022","0.7%","32,186","",""
"BAC","BANK AMER CORP","COM","060505104","4,485","0.6%","182,033","",""
"EL","LAUDER ESTEE COS INC","CL A","518439104","4,286","0.6%","32,941","",""
"OTEX","OPEN TEXT CORP","COM","683715106","4,285","0.6%","131,442","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","3,263","0.4%","33,456","",""
"KO","COCA COLA CO","COM","191216100","3,071","0.4%","64,857","",""
"IMO.TO","IMPERIAL OIL LTD","COM NEW","453038408","2,627","0.4%","103,771","",""
"MRK","MERCK & CO INC","COM","58933Y105","2,538","0.3%","33,215","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","2,148","0.3%","38,219","",""
"BIP","BROOKFIELD INFRAST PARTNERS","LP INT UNIT","G16252101","2,101","0.3%","60,852","",""
"ST","SENSATA TECHNOLOGIES HLDNG P","SHS","G8060N102","2,051","0.3%","45,725","",""
"FTV","FORTIVE CORP","COM","34959J108","1,988","0.3%","29,374","",""
"TEL","TE CONNECTIVITY LTD","REG SHS","H84989104","1,986","0.3%","26,257","",""
"GOOG","ALPHABET INC","CAP STK CL C","02079K107","1,788","0.2%","1,727","",""
"FDX","FEDEX CORP","COM","31428X106","1,760","0.2%","10,907","",""
"PFE","PFIZER INC","COM","717081103","1,685","0.2%","38,593","",""
"MCD","MCDONALDS CORP","COM","580135101","1,433","0.2%","8,068","",""
"ORLY","O REILLY AUTOMOTIVE INC NEW","COM","67103H107","1,198","0.2%","3,480","",""
"UNH","UNITEDHEALTH GROUP INC","COM","91324P102","1,145","0.2%","4,595","",""
"WFC","WELLS FARGO CO NEW","COM","949746101","1,045","0.1%","22,671","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","1,028","0.1%","4,111","",""
"BUD","ANHEUSER BUSCH INBEV SA/NV","SPONSORED ADR","03524A108","1,013","0.1%","15,400","",""
"APD","AIR PRODS & CHEMS INC","COM","009158106","983","0.1%","6,139","",""
"CL","COLGATE PALMOLIVE CO","COM","194162103","837","0.1%","14,062","",""
"XOM","EXXON MOBIL CORP","COM","30231G102","823","0.1%","12,064","",""
"BEP","BROOKFIELD RENEWABLE PARTNER","PARTNERSHIP UNIT","G16258108","804","0.1%","31,037","",""
"ADP","AUTOMATIC DATA PROCESSING IN","COM","053015103","793","0.1%","6,050","",""
"VLO","VALERO ENERGY CORP NEW","COM","91913Y100","772","0.1%","10,300","",""
"MG.TO","MAGNA INTL INC","COM","559222401","762","0.1%","16,756","",""
"BRK-B","BERKSHIRE HATHAWAY INC DEL","CL B NEW","084670702","733","0.1%","3,589","",""
"ORCL","ORACLE CORP","COM","68389X105","576","0.1%","12,751","",""
"CHKP","CHECK POINT SOFTWARE TECH LT","ORD","M22465104","542","0.1%","5,280","",""
"AMZN","AMAZON COM INC","COM","023135106","533","0.1%","355","",""
"GIL.TO","GILDAN ACTIVEWEAR INC","COM","375916103","512","0.1%","16,873","",""
"TECK-B.TO","TECK RESOURCES LTD","CL B","878742204","498","0.1%","23,121","",""
"IDV","ISHARES TR","INTL SEL DIV ETF","464288448","498","0.1%","17,350","",""
"HD","HOME DEPOT INC","COM","437076102","498","0.1%","2,900","",""
"PG","PROCTER AND GAMBLE CO","COM","742718109","485","0.1%","5,280","",""
"CVX","CHEVRON CORP NEW","COM","166764100","459","0.1%","4,216","",""
"CVE.TO","CENOVUS ENERGY INC","COM","15135U109","381","0.1%","54,163","",""
"ABBV","ABBVIE INC","COM","00287Y109","360","0.0%","3,900","",""
"PEP","PEPSICO INC","COM","713448108","359","0.0%","3,247","",""
"GRT-UN.TO","GRANITE REAL ESTATE INVT TR","UNIT 99/99/9999","387437114","355","0.0%","9,138","",""
"CME","CME GROUP INC","COM CL A","12572Q105","347","0.0%","1,843","",""
"INTC","INTEL CORP","COM","458140100","336","0.0%","7,150","",""
