Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
SPY,SPDR S&P 500 ETF TR,TR UNIT,78462F103,"2,772,315",9.5%,"5,832,647",,
IWM,ISHARES TR,RUSSELL 2000 ETF,464287655,"2,633,114",9.0%,"13,119,000",,
AAPL,APPLE INC,COM,037833100,"1,236,368",4.2%,"6,421,694",,
QQQ,INVESCO QQQ TR,UNIT SER 1,46090E103,"1,101,895",3.8%,"2,690,700",,
MSFT,MICROSOFT CORP,COM,594918104,"1,015,149",3.5%,"2,699,578",,
MA,MASTERCARD INCORPORATED,CL A,57636Q104,"830,769",2.8%,"1,947,832",,
RY.TO,ROYAL BK CDA,COM,780087102,"661,444",2.3%,"6,536,951",,
XRT,SPDR SER TR,S&P RETAIL ETF,78464A714,"657,388",2.2%,"9,090,000",,
BNS.TO,BANK NOVA SCOTIA HALIFAX,COM,064149107,"603,196",2.1%,"12,384,704",,
AVGO,BROADCOM INC,COM,11135F101,"507,999",1.7%,"455,095",,
JPM,JPMORGAN CHASE & CO,COM,46625H100,"478,857",1.6%,"2,815,151",,
TD,TORONTO DOMINION BK ONT,COM NEW,891160509,"446,996",1.5%,"6,913,772",,
TSLA,TESLA INC,COM,88160R101,"365,064",1.2%,"1,469,190",,
TRP.TO,TC ENERGY CORP,COM,87807B107,"343,360",1.2%,"8,785,018",,
XLI,SELECT SECTOR SPDR TR,INDL,81369Y704,"341,970",1.2%,"3,000,000",,
HYG,ISHARES TR,IBOXX HI YD ETF,464288513,"317,299",1.1%,"4,100,000",,call
XLF,SELECT SECTOR SPDR TR,FINANCIAL,81369Y605,"300,800",1.0%,"8,000,000",,
CM.TO,CANADIAN IMPERIAL BK COMM TO,COM,136069101,"292,949",1.0%,"6,080,761",,
SHOP,SHOPIFY INC,CL A,82509L107,"263,452",0.9%,"3,382,000",,
HYG,ISHARES TR,IBOXX HI YD ETF,464288513,"243,778",0.8%,"3,150,000",,put
LLY,ELI LILLY & CO,COM,532457108,"243,485",0.8%,"417,700",,
COST,COSTCO WHSL CORP NEW,COM,22160K105,"232,982",0.8%,"352,961",,
XLP,SELECT SECTOR SPDR TR,SBI CONS STPLS,81369Y308,"230,496",0.8%,"3,200,000",,
BMO.TO,BANK MONTREAL QUE,COM,063671101,"225,082",0.8%,"2,273,490",,
XBI,SPDR SER TR,S&P BIOTECH,78464A870,"214,831",0.7%,"2,406,000",,
LQD,ISHARES TR,IBOXX INV CP ETF,464287242,"212,467",0.7%,"1,920,000",,put
AMZN,AMAZON COM INC,COM,023135106,"199,230",0.7%,"1,311,244",,
TLT,ISHARES TR,20 YR TR BD ETF,464287432,"198,115",0.7%,"2,003,600",,
XLU,SELECT SECTOR SPDR TR,SBI INT-UTILS,81369Y886,"197,842",0.7%,"3,124,000",,
SMH,VANECK ETF TRUST,SEMICONDUCTR ETF,92189F676,"194,105",0.7%,"1,110,000",,
HYG,ISHARES TR,IBOXX HI YD ETF,464288513,"193,050",0.7%,"2,494,512",,
KRE,SPDR SER TR,S&P REGL BKG,78464A698,"189,272",0.6%,"3,610,000",,
ADBE,ADOBE INC,COM,00724F101,"176,593",0.6%,"296,000",,
C,CITIGROUP INC,COM NEW,172967424,"162,022",0.6%,"3,149,742",,
CMCSA,COMCAST CORP NEW,CL A,20030N101,"158,835",0.5%,"3,622,246",,
INTU,INTUIT,COM,461202103,"152,507",0.5%,"244,000",,
CSCO,CISCO SYS INC,COM,17275R102,"146,845",0.5%,"2,906,676",,
MU,MICRON TECHNOLOGY INC,COM,595112103,"137,941",0.5%,"1,616,374",,
XLV,SELECT SECTOR SPDR TR,SBI HEALTHCARE,81369Y209,"125,469",0.4%,"920,000",,
EDU,NEW ORIENTAL ED & TECHNOLOGY,SPON ADR,647581206,"117,892",0.4%,"1,608,792",,
XLY,SELECT SECTOR SPDR TR,SBI CONS DISCR,81369Y407,"116,226",0.4%,"650,000",,
KVUE,KENVUE INC,COM,49177J102,"113,286",0.4%,"5,261,816",,
BIRK,BIRKENSTOCK HOLDING PLC,COM SHS,M2029K104,"112,079",0.4%,"2,300,000",,
BRZE,BRAZE INC,COM CL A,10576N102,"111,047",0.4%,"2,090,100",,
PEP,PEPSICO INC,COM,713448108,"109,909",0.4%,"647,138",,
BRK-B,BERKSHIRE HATHAWAY INC DEL,CL B NEW,084670702,"109,736",0.4%,"307,678",,
TSM,TAIWAN SEMICONDUCTOR MFG LTD,SPONSORED ADS,874039100,"106,080",0.4%,"1,020,000",,
BHC,BAUSCH HEALTH COS INC,COM,071734107,"104,260",0.4%,"13,000,000",,
MMC,MARSH & MCLENNAN COS INC,COM,571748102,"100,417",0.3%,"529,991",,
NVDA,NVIDIA CORPORATION,COM,67066G104,"98,567",0.3%,"199,038",,
AMT,AMERICAN TOWER CORP NEW,COM,03027X100,"98,393",0.3%,"455,780",,
JNJ,JOHNSON & JOHNSON,COM,478160104,"97,132",0.3%,"619,704",,
MRK,MERCK & CO INC,COM,58933Y105,"95,414",0.3%,"875,200",,
LIN,LINDE PLC,SHS,G54950103,"89,945",0.3%,"219,000",,
0A2X.IL,TAL EDUCATION GROUP,SPONSORED ADS,874080104,"89,532",0.3%,"7,088,856",,
SVV,SAVERS VALUE VLG INC,COM,80517M109,"86,900",0.3%,"5,000,000",,
AMAT,APPLIED MATLS INC,COM,038222105,"84,600",0.3%,"522,000",,
NKE,NIKE INC,CL B,654106103,"83,853",0.3%,"772,349",,
