"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","3,774,971","4.7%","9,871,014","",""
"MSFT","MICROSOFT CORP","COM","594918104","3,368,344","4.2%","14,045,303","",""
"AAPL","APPLE INC","COM","037833100","2,650,948","3.3%","20,402,900","",""
"RY.TO","ROYAL BK CDA SUSTAINABL","COM","780087102","2,588,461","3.2%","27,550,954","",""
"TD","TORONTO DOMINION BK ONT","COM NEW","891160509","2,340,103","2.9%","36,166,577","",""
"UNH","UNITEDHEALTH GROUP INC","COM","91324P102","1,580,033","1.9%","2,980,184","",""
"BMO.TO","BANK MONTREAL QUE","COM","063671101","1,443,846","1.8%","15,949,293","",""
"CNR.TO","CANADIAN NATL RY CO","COM","136375102","1,434,175","1.8%","12,081,798","",""
"AMZN","AMAZON COM INC","COM","023135106","1,222,760","1.5%","14,556,669","",""
"V","VISA INC","COM CL A","92826C839","1,180,056","1.5%","5,679,904","",""
"ENB.TO","ENBRIDGE INC","COM","29250N105","1,135,722","1.4%","29,078,741","",""
"GOOG","ALPHABET INC","CAP STK CL C","02079K107","1,098,319","1.4%","12,378,216","",""
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","992,875","1.2%","17,891,962","",""
"CP.TO","CANADIAN PAC RY LTD","COM","13645T100","990,458","1.2%","13,293,931","",""
"BNS.TO","BANK NOVA SCOTIA HALIFAX","COM","064149107","965,788","1.2%","19,725,582","",""
"TLT","ISHARES TR","20 YR TR BD ETF","464287432","927,486","1.1%","9,315,851","",""
"BN.TO","BROOKFIELD CORP","CL A LTD VT SH","11271J107","889,171","1.1%","28,294,568","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","878,895","1.1%","27,726,644","",""
"CM.TO","CANADIAN IMPERIAL BK COMM TO","COM","136069101","869,022","1.1%","21,498,660","",""
"T.TO","TELUS CORPORATION","COM","87971M103","776,147","1.0%","40,246,497","",""
"WCN","WASTE CONNECTIONS INC","COM","94106B101","706,389","0.9%","5,331,906","",""
"CVE.TO","CENOVUS ENERGY INC","COM","15135U109","658,300","0.8%","33,953,699","",""
"SLF.TO","SUN LIFE FINANCIAL INC.","COM","866796105","624,479","0.8%","13,462,822","",""
"CVX","CHEVRON CORP NEW","COM","166764100","622,879","0.8%","3,470,274","",""
"TRP.TO","TC ENERGY CORP","COM","87807B107","588,055","0.7%","14,760,748","",""
"NVDA","NVIDIA CORPORATION","COM","67066G104","573,880","0.7%","3,926,921","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","564,800","0.7%","3,197,287","",""
"MA","MASTERCARD INCORPORATED","CL A","57636Q104","563,884","0.7%","1,621,616","",""
"PEP","PEPSICO INC","COM","713448108","543,477","0.7%","3,008,288","",""
"NTR.TO","NUTRIEN LTD","COM","67077M108","528,830","0.7%","7,248,665","",""
"TMO","THERMO FISHER SCIENTIFIC INC","COM","883556102","521,551","0.6%","947,087","",""
"MFC.TO","MANULIFE FINL CORP","COM","56501R106","519,416","0.6%","29,142,175","",""
"RCI-B.TO","ROGERS COMMUNICATIONS INC","CL B","775109200","501,246","0.6%","10,717,427","",""
"LLY","LILLY ELI & CO","COM","532457108","479,392","0.6%","1,310,388","",""
"BCE.TO","BCE INC","COM NEW","05534B760","475,981","0.6%","10,841,004","",""
"GOOGL","ALPHABET INC","CAP STK CL A","02079K305","473,630","0.6%","5,368,139","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","461,872","0.6%","3,444,238","",""
"PFE","PFIZER INC","COM","717081103","460,108","0.6%","8,979,485","",""
"NOW","SERVICENOW INC","COM","81762P102","444,859","0.5%","1,145,748","",""
"BIP","BROOKFIELD INFRAST PARTNERS","LP INT UNIT","G16252101","430,384","0.5%","13,900,521","",""
"HD","HOME DEPOT INC","COM","437076102","427,221","0.5%","1,352,565","",""
"MCD","MCDONALDS CORP","COM","580135101","420,541","0.5%","1,595,802","",""
"LIN","LINDE PLC","SHS","G5494J103","415,781","0.5%","1,274,699","",""
"QQQ","INVESCO QQQ TR","UNIT SER 1","46090E103","400,320","0.5%","1,503,382","",""
"FTS.TO","FORTIS INC","COM","349553107","397,383","0.5%","9,937,899","",""
"SYK","STRYKER CORPORATION","COM","863667101","390,904","0.5%","1,598,857","",""
"TXN","TEXAS INSTRS INC","COM","882508104","383,127","0.5%","2,318,896","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","378,987","0.5%","830,202","",""
"NKE","NIKE INC","CL B","654106103","367,432","0.5%","3,140,180","",""
"NEE","NEXTERA ENERGY INC","COM","65339F101","359,791","0.4%","4,303,722","",""
"EWJ","ISHARES INC","MSCI JPN ETF NEW","46434G822","353,848","0.4%","6,499,796","",""
"META","META PLATFORMS INC","CL A","30303M102","351,274","0.4%","2,919,017","",""
"DHR","DANAHER CORPORATION","COM","235851102","345,348","0.4%","1,301,141","",""
"MG.TO","MAGNA INTL INC","COM","559222401","336,771","0.4%","5,999,324","",""
"ISRG","INTUITIVE SURGICAL INC","COM NEW","46120E602","312,691","0.4%","1,178,412","",""
"ACN","ACCENTURE PLC IRELAND","SHS CLASS A","G1151C101","307,963","0.4%","1,154,114","",""
"COP","CONOCOPHILLIPS","COM","20825C104","301,452","0.4%","2,554,686","",""
"TSLA","TESLA INC","COM","88160R101","284,641","0.4%","2,310,780","",""
"TMUS","T-MOBILE US INC","COM","872590104","281,175","0.3%","2,008,395","",""
"INTU","INTUIT","COM","461202103","280,205","0.3%","719,916","",""
"MRK","MERCK & CO INC","COM","58933Y105","276,514","0.3%","2,492,248","",""
"KLAC","KLA CORP","COM NEW","482480100","273,941","0.3%","726,577","",""
"CAT","CATERPILLAR INC","COM","149123101","270,801","0.3%","1,130,414","",""
"ABT","ABBOTT LABS","COM","002824100","266,327","0.3%","2,425,788","",""
"ETN","EATON CORP PLC","SHS","G29183103","266,261","0.3%","1,696,475","",""
"NFLX","NETFLIX INC","COM","64110L106","261,281","0.3%","886,059","",""
"MS","MORGAN STANLEY","COM NEW","617446448","252,109","0.3%","2,965,292","",""
"TRI.TO","THOMSON REUTERS CORP.","COM NEW","884903709","249,581","0.3%","2,189,375","",""
"PG","PROCTER AND GAMBLE CO","COM","742718109","248,611","0.3%","1,640,349","",""
"ABX.TO","BARRICK GOLD CORP","COM","067901108","241,719","0.3%","14,111,037","",""
"SNPS","SYNOPSYS INC","COM","871607107","238,902","0.3%","748,229","",""
"BAC","BANK AMERICA CORP","COM","060505104","229,391","0.3%","6,926,070","",""
"SHOP","SHOPIFY INC","CL A","82509L107","225,414","0.3%","6,495,980","",""
"UNP","UNION PAC CORP","COM","907818108","225,312","0.3%","1,088,096","",""
"EFA","ISHARES TR","MSCI EAFE ETF","464287465","223,722","0.3%","3,408,328","",""
"XOM","EXXON MOBIL CORP","COM","30231G102","223,060","0.3%","2,022,307","",""
"HLT","HILTON WORLDWIDE HLDGS INC","COM","43300A203","216,560","0.3%","1,713,841","",""
"DG","DOLLAR GEN CORP NEW","COM","256677105","215,816","0.3%","876,411","",""
"BRK-B","BERKSHIRE HATHAWAY INC DEL","CL B NEW","084670702","215,466","0.3%","697,529","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","202,764","0.3%","5,146,307","",""
"SBUX","STARBUCKS CORP","COM","855244109","201,469","0.2%","2,030,938","",""
"NOC","NORTHROP GRUMMAN CORP","COM","666807102","200,976","0.2%","368,352","",""
"BAM.TO","BROOKFIELD ASSET MANAGMT LTD","CL A LMT VTG SHS","113004105","200,525","0.2%","7,008,054","",""
"FCX","FREEPORT-MCMORAN INC","CL B","35671D857","199,953","0.2%","5,261,936","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","199,526","0.2%","581,067","",""
"KO","COCA COLA CO","COM","191216100","195,821","0.2%","3,078,471","",""
"BKNG","BOOKING HOLDINGS INC","COM","09857L108","190,597","0.2%","94,576","",""
"FNV.TO","FRANCO NEV CORP","COM","351858105","189,830","0.2%","1,393,566","",""
"SJR-B.TO","SHAW COMMUNICATIONS INC","CL B CONV","82028K200","187,252","0.2%","6,503,931","",""
"EL","LAUDER ESTEE COS INC","CL A","518439104","185,118","0.2%","746,113","",""
"ROP","ROPER TECHNOLOGIES INC","COM","776696106","181,509","0.2%","420,074","",""
"ROST","ROSS STORES INC","COM","778296103","177,869","0.2%","1,532,436","",""
"EQIX","EQUINIX INC","COM","29444U700","177,417","0.2%","270,854","",""
"TSCO","TRACTOR SUPPLY CO","COM","892356106","177,086","0.2%","787,157","",""
"A","AGILENT TECHNOLOGIES INC","COM","00846U101","172,258","0.2%","1,151,074","",""
"HUM","HUMANA INC","COM","444859102","172,092","0.2%","335,994","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","171,393","0.2%","1,160,025","",""
"MSI","MOTOROLA SOLUTIONS INC","COM NEW","620076307","168,557","0.2%","654,060","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","166,928","0.2%","2,582,719","",""
"ZTS","ZOETIS INC","CL A","98978V103","164,823","0.2%","1,124,694","",""
"HON","HONEYWELL INTL INC","COM","438516106","162,056","0.2%","756,215","",""
"PPL.TO","PEMBINA PIPELINE CORP","COM","706327103","160,740","0.2%","4,738,800","",""
"TEAM","ATLASSIAN CORPORATION","CL A","049468101","159,358","0.2%","1,238,413","",""
"CB","CHUBB LIMITED","COM","H1467J104","158,601","0.2%","718,955","",""
"ASML","ASML HOLDING N V","N Y REGISTRY SHS","N07059210","157,741","0.2%","288,692","",""
"ELV","ELEVANCE HEALTH INC","COM","036752103","157,108","0.2%","306,273","",""
"AEM","AGNICO EAGLE MINES LTD","COM","008474108","151,746","0.2%","2,922,238","",""
"MMC","MARSH & MCLENNAN COS INC","COM","571748102","148,420","0.2%","896,911","",""
"HOLX","HOLOGIC INC","COM","436440101","147,926","0.2%","1,977,366","",""
"ABBV","ABBVIE INC","COM","00287Y109","146,901","0.2%","908,990","",""
"AMD","ADVANCED MICRO DEVICES INC","COM","007903107","145,651","0.2%","2,248,757","",""
"PGR","PROGRESSIVE CORP","COM","743315103","144,688","0.2%","1,115,477","",""
"DIS","DISNEY WALT CO","COM","254687106","141,066","0.2%","1,623,699","",""
"CSCO","CISCO SYS INC","COM","17275R102","140,099","0.2%","2,940,786","",""
"MDB","MONGODB INC","CL A","60937P106","139,425","0.2%","708,320","",""
"T","AT&T INC","COM","00206R102","135,327","0.2%","7,350,786","",""
"CMG","CHIPOTLE MEXICAN GRILL INC","COM","169656105","134,796","0.2%","97,151","",""
"WMT","WALMART INC","COM","931142103","134,603","0.2%","949,314","",""
"MCHP","MICROCHIP TECHNOLOGY INC.","COM","595017104","134,109","0.2%","1,909,028","",""
"TECK-B.TO","TECK RESOURCES LTD","CL B","878742204","133,514","0.2%","3,535,394","",""
"TFX","TELEFLEX INCORPORATED","COM","879369106","128,194","0.2%","513,538","",""
"AVGO","BROADCOM INC","COM","11135F101","126,254","0.2%","225,806","",""
"BR","BROADRIDGE FINL SOLUTIONS IN","COM","11133T103","122,759","0.2%","915,226","",""
"SPGI","S&P GLOBAL INC","COM","78409V104","122,610","0.2%","366,066","",""
"FTNT","FORTINET INC","COM","34959E109","120,056","0.1%","2,455,637","",""
"AMGN","AMGEN INC","COM","031162100","118,550","0.1%","451,381","",""
"QCOM","QUALCOMM INC","COM","747525103","113,341","0.1%","1,030,936","",""
"MRVL","MARVELL TECHNOLOGY INC","COM","573874104","112,755","0.1%","3,044,159","",""
"AMT","AMERICAN TOWER CORP NEW","COM","03027X100","111,290","0.1%","525,301","",""
"GIB-A.TO","CGI INC","CL A SUB VTG","12532H104","111,171","0.1%","1,290,654","",""
"VEEV","VEEVA SYS INC","CL A COM","922475108","110,551","0.1%","685,040","",""
"LRCX","LAM RESEARCH CORP","COM","512807108","110,379","0.1%","262,621","",""
"VRTX","VERTEX PHARMACEUTICALS INC","COM","92532F100","109,740","0.1%","380,014","",""
"AZN","ASTRAZENECA PLC","SPONSORED ADR","046353108","109,696","0.1%","1,617,946","",""
"APD","AIR PRODS & CHEMS INC","COM","009158106","109,628","0.1%","355,638","",""
"CL","COLGATE PALMOLIVE CO","COM","194162103","108,072","0.1%","1,371,652","",""
"IR","INGERSOLL RAND INC","COM","45687V106","107,816","0.1%","2,063,468","",""
"BRKR","BRUKER CORP","COM","116794108","106,711","0.1%","1,561,245","",""
"TSM","TAIWAN SEMICONDUCTOR MFG LTD","SPONSORED ADS","874039100","106,060","0.1%","1,423,820","",""
"ADP","AUTOMATIC DATA PROCESSING IN","COM","053015103","103,649","0.1%","433,934","",""
"TXT","TEXTRON INC","COM","883203101","102,703","0.1%","1,450,610","",""
"CRBG","COREBRIDGE FINL INC","COM","21871X109","100,720","0.1%","5,020,975","",""
"CVS","CVS HEALTH CORP","COM","126650100","100,499","0.1%","1,078,432","",""
"WPM.TO","WHEATON PRECIOUS METALS CORP","COM","962879102","100,264","0.1%","2,568,125","",""
"IBM","INTERNATIONAL BUSINESS MACHS","COM","459200101","100,000","0.1%","709,778","",""
"GLD","SPDR GOLD TR","GOLD SHS","78463V107","99,345","0.1%","585,625","",""
"ADBE","ADOBE SYSTEMS INCORPORATED","COM","00724F101","98,526","0.1%","292,773","",""
"BMY","BRISTOL-MYERS SQUIBB CO","COM","110122108","96,878","0.1%","1,346,469","",""
"TJX","TJX COS INC NEW","COM","872540109","95,478","0.1%","1,199,474","",""
"ALNY","ALNYLAM PHARMACEUTICALS INC","COM","02043Q107","93,265","0.1%","392,450","",""
"YUM","YUM BRANDS INC","COM","988498101","92,880","0.1%","725,176","",""
"BILL","BILL COM HLDGS INC","COM","090043100","92,827","0.1%","851,938","",""
"XLK","SELECT SECTOR SPDR TR","TECHNOLOGY","81369Y803","90,679","0.1%","728,700","",""
"MDT","MEDTRONIC PLC","SHS","G5960L103","90,534","0.1%","1,164,874","",""
"BURL","BURLINGTON STORES INC","COM","122017106","90,472","0.1%","446,204","",""
"AMAT","APPLIED MATLS INC","COM","038222105","89,354","0.1%","917,581","",""
"LULU","LULULEMON ATHLETICA INC","COM","550021109","89,300","0.1%","278,734","",""
"CMCSA","COMCAST CORP NEW","CL A","20030N101","88,501","0.1%","2,530,773","",""
"ORLY","OREILLY AUTOMOTIVE INC","COM","67103H107","88,290","0.1%","104,606","",""
"FWONK","LIBERTY MEDIA CORP DEL","COM SER C FRMLA","531229854","87,807","0.1%","1,468,841","",""
"HSY","HERSHEY CO","COM","427866108","87,045","0.1%","375,894","",""
"XLV","SELECT SECTOR SPDR TR","SBI HEALTHCARE","81369Y209","86,788","0.1%","638,853","",""
"PM","PHILIP MORRIS INTL INC","COM","718172109","86,646","0.1%","856,103","",""
"GILD","GILEAD SCIENCES INC","COM","375558103","86,004","0.1%","1,001,802","",""
"BDX","BECTON DICKINSON & CO","COM","075887109","85,540","0.1%","336,376","",""
"XLP","SELECT SECTOR SPDR TR","SBI CONS STPLS","81369Y308","85,510","0.1%","1,147,026","",""
"SHW","SHERWIN WILLIAMS CO","COM","824348106","85,116","0.1%","358,640","",""
"AQN.TO","ALGONQUIN PWR UTILS CORP","COM","015857105","84,756","0.1%","13,020,529","",""
"CRWD","CROWDSTRIKE HLDGS INC","CL A","22788C105","83,362","0.1%","791,743","",""
"GE","GENERAL ELECTRIC CO","COM NEW","369604301","80,343","0.1%","958,871","",""
"CRM","SALESFORCE INC","COM","79466L302","79,624","0.1%","600,530","",""
"TRV","TRAVELERS COMPANIES INC","COM","89417E109","79,590","0.1%","424,503","",""
"KEYS","KEYSIGHT TECHNOLOGIES INC","COM","49338L103","78,575","0.1%","459,315","",""
"HUBS","HUBSPOT INC","COM","443573100","77,717","0.1%","268,799","",""
