"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","3,490,288","6.1%","13,965,624","",""
"RY.TO","ROYAL BK CDA MONTREAL QUE","COM","780087102","2,531,114","4.4%","36,996,523","",""
"TD","TORONTO DOMINION BK ONT","COM NEW","891160509","2,369,902","4.1%","47,697,757","",""
"BNS.TO","BANK N S HALIFAX","COM","064149107","1,731,678","3.0%","34,755,671","",""
"BMO.TO","BANK MONTREAL QUE","COM","063671101","1,410,942","2.5%","21,606,285","",""
"ENB.TO","ENBRIDGE INC","COM","29250N105","1,395,700","2.4%","44,948,053","",""
"CM.TO","CDN IMPERIAL BK COMM TORONTO","COM","136069101","1,274,816","2.2%","17,123,761","",""
"CNR.TO","CANADIAN NATL RY CO","COM","136375102","1,215,522","2.1%","16,419,347","",""
"MSFT","MICROSOFT CORP","COM","594918104","1,072,189","1.9%","10,556,155","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","1,064,389","1.9%","38,116,226","",""
"TRP","TRANSCANADA CORP","COM","89353D107","932,199","1.6%","26,116,619","",""
"T.TO","TELUS CORP","COM","87971M103","752,189","1.3%","22,702,348","",""
"AAPL","APPLE INC","COM","037833100","746,901","1.3%","4,735,009","",""
"BKAA.SG","BROOKFIELD ASSET MGMT INC","CL A LTD VT SH","112585104","711,227","1.2%","18,566,391","",""
"SLF.TO","SUN LIFE FINL INC","COM","866796105","694,234","1.2%","20,935,848","",""
"MFC.TO","MANULIFE FINL CORP","COM","56501R106","690,799","1.2%","48,709,007","",""
"BCE.TO","BCE INC","COM NEW","05534B760","689,956","1.2%","17,473,387","",""
"RCI-B.TO","ROGERS COMMUNICATIONS INC","CL B","775109200","653,375","1.1%","12,755,231","",""
"CP.TO","CANADIAN PAC RY LTD","COM","13645T100","619,066","1.1%","3,490,340","",""
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","616,187","1.1%","25,547,481","",""
"AMZN","AMAZON COM INC","COM","023135106","551,176","1.0%","366,969","",""
"V","VISA INC","COM CL A","92826C839","517,101","0.9%","3,919,211","",""
"GOOG","ALPHABET INC","CAP STK CL C","02079K107","490,184","0.9%","473,328","",""
"UNH","UNITEDHEALTH GROUP INC","COM","91324P102","458,237","0.8%","1,839,423","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","414,185","0.7%","4,242,835","",""
"PFE","PFIZER INC","COM","717081103","380,783","0.7%","8,723,552","",""
"NTR.TO","NUTRIEN LTD","COM","67077M108","373,589","0.6%","7,957,423","",""
"WCN","WASTE CONNECTIONS INC","COM","94106B101","369,613","0.6%","4,981,563","",""
"BA","BOEING CO","COM","097023105","367,163","0.6%","1,138,488","",""
"BAC","BANK AMER CORP","COM","060505104","364,105","0.6%","14,776,996","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","321,388","0.6%","2,490,418","",""
"MG.TO","MAGNA INTL INC","COM","559222401","308,580","0.5%","6,800,989","",""
"FTS.TO","FORTIS INC","COM","349553107","305,361","0.5%","9,164,182","",""
"BIP","BROOKFIELD INFRAST PARTNERS","LP INT UNIT","G16252101","301,341","0.5%","8,728,870","",""
"KO","COCA COLA CO","COM","191216100","279,194","0.5%","5,896,403","",""
"CVE.TO","CENOVUS ENERGY INC","COM","15135U109","276,379","0.5%","39,319,319","",""
