"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"AAPL","APPLE INC","COM","037833100","416,733","14%","1,664,137","",""
"NVDA","NVIDIA CORPORATION","COM","67066G104","288,570","9.5%","2,148,858","",""
"AMZN","AMAZON COM INC","COM","023135106","201,068","6.6%","916,487","",""
"BKLN","INVESCO EXCH TRADED FD TR II","SR LN ETF","46138G508","177,866","5.9%","8,441,678","",""
"TSLA","TESLA INC","COM","88160R101","143,267","4.7%","354,764","",""
"META","META PLATFORMS INC","CL A","30303M102","87,094","2.9%","148,750","",""
"JPM","JPMORGAN CHASE & CO.","COM","46625H100","86,720","2.9%","361,771","",""
"GOOGL","ALPHABET INC","CAP STK CL A","02079K305","85,328","2.8%","450,759","",""
"AVGO","BROADCOM INC","COM","11135F101","85,189","2.8%","367,450","",""
"GOOG","ALPHABET INC","CAP STK CL C","02079K107","66,282","2.2%","348,050","",""
"WM","WASTE MGMT INC DEL","COM","94106L109","52,240","1.7%","258,885","",""
"ADI","ANALOG DEVICES INC","COM","032654105","48,763","1.6%","229,517","",""
"SHOP","SHOPIFY INC","CL A","82509L107","36,459","1.2%","342,890","",""
"V","VISA INC","COM CL A","92826C839","35,143","1.2%","111,201","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","30,234","1.0%","32,997","",""
"BRK-B","BERKSHIRE HATHAWAY INC DEL","CL B NEW","084670702","29,559","1.0%","65,213","",""
"MA","MASTERCARD INCORPORATED","CL A","57636Q104","29,312","1.0%","55,667","",""
"SBAC","SBA COMMUNICATIONS CORP NEW","CL A","78410G104","28,123","0.9%","137,997","",""
"VRSK","VERISK ANALYTICS INC","COM","92345Y106","26,101","0.9%","94,767","",""
"NFLX","NETFLIX INC","COM","64110L106","24,706","0.8%","27,719","",""
"MSCI","MSCI INC","COM","55354G100","23,831","0.8%","39,719","",""
"UNH","UNITEDHEALTH GROUP INC","COM","91324P102","23,043","0.8%","45,553","",""
"XOM","EXXON MOBIL CORP","COM","30231G102","22,749","0.8%","211,489","",""
"NEE","NEXTERA ENERGY INC","COM","65339F101","21,016","0.7%","293,156","",""
"ABBV","ABBVIE INC","COM","00287Y109","19,108","0.6%","107,534","",""
"ADBE","ADOBE INC","COM","00724F101","17,608","0.6%","39,598","",""
"BAC","BANK AMERICA CORP","COM","060505104","16,313","0.5%","371,177","",""
"CRM","SALESFORCE INC","COM","79466L302","16,127","0.5%","48,238","",""
"ORCL","ORACLE CORP","COM","68389X105","13,786","0.5%","82,733","",""
"ABX.TO","BARRICK GOLD CORP","COM","067901108","12,942","0.4%","835,017","",""
"AXP","AMERICAN EXPRESS CO","COM","025816109","12,778","0.4%","43,056","",""
"BKNG","BOOKING HOLDINGS INC","COM","09857L108","12,674","0.4%","2,551","",""
"LIN","LINDE PLC","SHS","G54950103","12,478","0.4%","29,805","",""
"ACN","ACCENTURE PLC IRELAND","SHS CLASS A","G1151C101","12,082","0.4%","34,346","",""
"RTX","RTX CORPORATION","COM","75513E101","11,958","0.4%","103,344","",""
"MRK","MERCK & CO INC","COM","58933Y105","11,958","0.4%","120,214","",""
"BMO.TO","BANK MONTREAL QUE","COM","063671101","11,916","0.4%","122,783","",""
"ENB.TO","ENBRIDGE INC","COM","29250N105","11,894","0.4%","280,344","",""
"NOW","SERVICENOW INC","COM","81762P102","11,861","0.4%","11,189","",""
"CSCO","CISCO SYS INC","COM","17275R102","11,453","0.4%","193,478","",""
"ISRG","INTUITIVE SURGICAL INC","COM NEW","46120E602","11,241","0.4%","21,537","",""
"T","AT&T INC","COM","00206R102","10,815","0.4%","474,985","",""
"ABT","ABBOTT LABS","COM","002824100","10,784","0.4%","95,342","",""
"UTHR","UNITED THERAPEUTICS CORP DEL","COM","91307C102","10,551","0.3%","29,904","",""
"BNS.TO","BANK NOVA SCOTIA HALIFAX","COM","064149107","10,164","0.3%","189,212","",""
"AMAT","APPLIED MATLS INC","COM","038222105","10,057","0.3%","61,844","",""
"AMD","ADVANCED MICRO DEVICES INC","COM","007903107","9,937","0.3%","82,270","",""
"CMCSA","COMCAST CORP NEW","CL A","20030N101","9,827","0.3%","261,852","",""
"DUK","DUKE ENERGY CORP NEW","COM NEW","26441C204","8,618","0.3%","79,989","",""
"D","DOMINION ENERGY INC","COM","25746U109","8,015","0.3%","148,816","",""
"PLTR","PALANTIR TECHNOLOGIES INC","CL A","69608A108","7,822","0.3%","103,426","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","7,802","0.3%","195,114","",""
"BK","BANK NEW YORK MELLON CORP","COM","064058100","7,680","0.3%","99,964","",""
"EOG","EOG RES INC","COM","26875P101","7,537","0.2%","61,490","",""
"GS","GOLDMAN SACHS GROUP INC","COM","38141G104","7,482","0.2%","13,068","",""
"SPGI","S&P GLOBAL INC","COM","78409V104","7,281","0.2%","14,620","",""
"AMP","AMERIPRISE FINL INC","COM","03076C106","7,201","0.2%","13,526","",""
"BLK","BLACKROCK INC","COM","09290D101","7,190","0.2%","7,014","",""
"AEP","AMERICAN ELEC PWR CO INC","COM","025537101","7,075","0.2%","76,721","",""
"CEG","CONSTELLATION ENERGY CORP","COM","21037T109","6,969","0.2%","31,153","",""
"VRTX","VERTEX PHARMACEUTICALS INC","COM","92532F100","6,965","0.2%","17,297","",""
"AMGN","AMGEN INC","COM","031162100","6,962","0.2%","26,714","",""
"UBER","UBER TECHNOLOGIES INC","COM","90353T100","6,921","0.2%","114,743","",""
"ELV","ELEVANCE HEALTH INC","COM","036752103","6,791","0.2%","18,411","",""
"BX","BLACKSTONE INC","COM","09260D107","6,572","0.2%","38,122","",""
"VST","VISTRA CORP","COM","92840M102","6,566","0.2%","47,626","",""
"MMM","3M CO","COM","88579Y101","6,443","0.2%","49,917","",""
"TRV","TRAVELERS COMPANIES INC","COM","89417E109","6,404","0.2%","26,585","",""
"MCK","MCKESSON CORP","COM","58155Q103","6,348","0.2%","11,140","",""
"ETN","EATON CORP PLC","SHS","G29183103","6,111","0.2%","18,415","",""
"CRH","CRH PLC","ORD","G25508105","5,984","0.2%","64,688","",""
"XEL","XCEL ENERGY INC","COM","98389B100","5,961","0.2%","88,291","",""
"MDT","MEDTRONIC PLC","SHS","G5960L103","5,778","0.2%","72,339","",""
"ANET","ARISTA NETWORKS INC","COM SHS","040413205","5,757","0.2%","52,087","",""
"ADP","AUTOMATIC DATA PROCESSING IN","COM","053015103","5,693","0.2%","19,451","",""
"WEC","WEC ENERGY GROUP INC","COM","92939U106","5,537","0.2%","58,880","",""
"PLD","PROLOGIS INC.","COM","74340W103","5,391","0.2%","51,012","",""
"EXC","EXELON CORP","COM","30161N101","5,351","0.2%","142,167","",""
"GM","GENERAL MTRS CO","COM","37045V100","5,281","0.2%","99,149","",""
"MELI","MERCADOLIBRE INC","COM","58733R102","5,084","0.2%","2,990","",""
"TT","TRANE TECHNOLOGIES PLC","SHS","G8994E103","5,014","0.2%","13,576","",""
"APP","APPLOVIN CORP","COM CL A","03831W108","4,986","0.2%","15,398","",""
"PPL","PPL CORP","COM","69351T106","4,956","0.2%","152,711","",""
"GEV","GE VERNOVA INC","COM","36828A101","4,943","0.2%","15,030","",""
"PSA","PUBLIC STORAGE OPER CO","COM","74460D109","4,837","0.2%","16,156","",""
"EME","EMCOR GROUP INC","COM","29084Q100","4,783","0.2%","10,539","",""
"TRP.TO","TC ENERGY CORP","COM","87807B107","4,674","0.2%","100,467","",""
"ZTS","ZOETIS INC","CL A","98978V103","4,576","0.2%","28,091","",""
"ABC","CENCORA INC","COM","03073E105","4,458","0.1%","19,842","",""
"NXPI","NXP SEMICONDUCTORS N V","COM","N6596X109","4,400","0.1%","21,173","",""
"DASH","DOORDASH INC","CL A","25809K105","4,300","0.1%","25,638","",""
"EQIX","EQUINIX INC","COM","29444U700","4,259","0.1%","4,518","",""
"AMT","AMERICAN TOWER CORP NEW","COM","03027X100","4,142","0.1%","22,584","",""
"CBRE","CBRE GROUP INC","CL A","12504L109","4,119","0.1%","31,375","",""
"CRWD","CROWDSTRIKE HLDGS INC","CL A","22788C105","4,044","0.1%","11,820","",""
"EVRG","EVERGY INC","COM","30034W106","4,034","0.1%","65,549","",""
"PYPL","PAYPAL HLDGS INC","COM","70450Y103","4,034","0.1%","47,267","",""
"BKR","BAKER HUGHES COMPANY","CL A","05722G100","3,994","0.1%","97,376","",""
"KKR","KKR & CO INC","COM","48251W104","3,955","0.1%","26,743","",""
"WTW","WILLIS TOWERS WATSON PLC LTD","SHS","G96629103","3,887","0.1%","12,411","",""
"FIS","FIDELITY NATL INFORMATION SV","COM","31620M106","3,820","0.1%","47,305","",""
"CCO.TO","CAMECO CORP","COM","13321L108","3,797","0.1%","73,889","",""
"MPC","MARATHON PETE CORP","COM","56585A102","3,767","0.1%","27,009","",""
"NVR","NVR INC","COM","62944T105","3,745","0.1%","458","",""
"HST","HOST HOTELS & RESORTS INC","COM","44107P104","3,739","0.1%","213,458","",""
"BR","BROADRIDGE FINL SOLUTIONS IN","COM","11133T103","3,720","0.1%","16,458","",""
"RCL","ROYAL CARIBBEAN GROUP","COM","V7780T103","3,671","0.1%","15,914","",""
"CME","CME GROUP INC","COM","12572Q105","3,667","0.1%","15,794","",""
"REGN","REGENERON PHARMACEUTICALS","COM","75886F107","3,667","0.1%","5,149","",""
"COP","CONOCOPHILLIPS","COM","20825C104","3,595","0.1%","36,258","",""
"BA","BOEING CO","COM","097023105","3,593","0.1%","20,301","",""
"CB","CHUBB LIMITED","COM","H1467J104","3,476","0.1%","12,584","",""
"TFC","TRUIST FINL CORP","COM","89832Q109","3,412","0.1%","78,670","",""
"ADSK","AUTODESK INC","COM","052769106","3,391","0.1%","11,476","",""
"CAH","CARDINAL HEALTH INC","COM","14149Y108","3,391","0.1%","28,675","",""
"CVE.TO","CENOVUS ENERGY INC","COM","15135U109","3,376","0.1%","222,875","",""
"ACGL","ARCH CAP GROUP LTD","ORD","G0450A105","3,367","0.1%","36,469","",""
"IRM","IRON MTN INC DEL","COM","46284V101","3,252","0.1%","30,944","",""
"BN.TO","BROOKFIELD CORP","CL A LTD VT SH","11271J107","3,215","0.1%","55,975","",""
"FCX","FREEPORT-MCMORAN INC","CL B","35671D857","3,211","0.1%","84,344","",""
"PNW","PINNACLE WEST CAP CORP","COM","723484101","3,180","0.1%","37,518","",""
