Manager,Report Date,Value ($000),Shares,Option Type
Royal Bank of Canada,12/31/2022,"2,950,138","165,366,549",
VANGUARD GROUP INC,12/31/2022,"1,248,275","69,970,605",
BANK OF MONTREAL /CAN/,12/31/2022,"1,152,576","64,511,408",
MACKENZIE FINANCIAL CORP,12/31/2022,"579,885","32,564,850",
NATIONAL BANK OF CANADA /FI/,12/31/2022,"534,935","29,997,656",
TD Asset Management Inc,12/31/2022,"519,416","29,142,175",
CIBC WORLD MARKET INC.,12/31/2022,"509,314","28,581,016",
BANK OF NOVA SCOTIA,12/31/2022,"454,561","25,485,532",
"Beutel, Goodman & Co Ltd.",12/31/2022,"438,100","24,579,921",
"JARISLOWSKY, FRASER Ltd",12/31/2022,"428,271","24,028,426",
NORGES BANK,12/31/2022,"406,194","22,772,951",
CIBC Asset Management Inc,12/31/2022,"256,965","14,404,241",
"LETKO, BROSSEAU & ASSOCIATES INC",12/31/2022,"240,970","13,519,766",
SCOTIA CAPITAL INC.,12/31/2022,"228,345","12,802,468",
WELLS FARGO & COMPANY/MN,12/31/2022,"216,973","12,162,208",
Capital World Investors,12/31/2022,"202,452","11,350,766",
TORONTO DOMINION BANK,12/31/2022,"211,383","10,927,353",
Legal & General Group Plc,12/31/2022,"185,421","10,403,353",
CIBC WORLD MARKET INC.,12/31/2022,"184,997","10,381,400",put
Royal Bank of Canada,12/31/2022,"172,788","9,685,400",put
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,12/31/2022,"170,061","9,532,593",
JPMORGAN CHASE & CO,12/31/2022,"168,730","9,458,012",
HARDING LOEVNER LP,12/31/2022,"147,006","8,237,298",
Swiss National Bank,12/31/2022,"143,359","8,039,700",
ACADIAN ASSET MANAGEMENT LLC,12/31/2022,"138,832","7,790,213",
1832 Asset Management L.P.,12/31/2022,"133,782","7,499,016",
Federation des caisses Desjardins du Quebec,12/31/2022,"131,964","7,348,896",
TD Waterhouse Canada Inc.,12/31/2022,"166,175","6,969,974",
"GEODE CAPITAL MANAGEMENT, LLC",12/31/2022,"111,174","6,190,263",
AMUNDI,12/31/2022,"143,052","5,917,357",
DIMENSIONAL FUND ADVISORS LP,12/31/2022,"103,840","5,820,542",
"Sumitomo Mitsui Trust Holdings, Inc.",12/31/2022,"98,175","5,500,286",
MORGAN STANLEY,12/31/2022,"97,869","5,485,964",
"Cardinal Capital Management, Inc.",12/31/2022,"97,598","5,470,747",
Alberta Investment Management Corp,12/31/2022,"94,624","5,308,976",
AustralianSuper Pty Ltd,12/31/2022,"86,475","4,808,371",
