Manager,Report Date,Value ($000),Shares,Option Type
Royal Bank of Canada,12/31/2024,"4,599,290","149,765,209",
VANGUARD GROUP INC,12/31/2024,"2,272,248","73,964,011",
BANK OF MONTREAL /CAN/,12/31/2024,"1,363,480","44,439,784",
FIL Ltd,12/31/2024,"1,216,880","39,610,614",
TD ASSET MANAGEMENT INC,12/31/2024,"1,068,654","34,803,859",
NATIONAL BANK OF CANADA /FI/,12/31/2024,"837,956","27,250,906",
MACKENZIE FINANCIAL CORP,12/31/2024,"760,236","24,614,416",
MACKENZIE FINANCIAL CORP,12/31/2024,"755,366","24,614,416",
MACKENZIE FINANCIAL CORP,12/31/2024,"755,366","24,614,416",
1832 Asset Management L.P.,12/31/2024,"699,108","22,764,839",
CIBC WORLD MARKET INC.,12/31/2024,"666,970","21,718,831",
NORGES BANK,12/31/2024,"654,751","21,340,230",
CIBC Asset Management Inc,12/31/2024,"612,153","19,882,697",
TORONTO DOMINION BANK,12/31/2024,"580,564","18,922,269",
"JARISLOWSKY, FRASER Ltd",12/31/2024,"494,659","16,160,979",
BANK OF NOVA SCOTIA,12/31/2024,"400,932","13,053,016",
"Beutel, Goodman & Co Ltd.",12/31/2024,"386,987","12,603,404",
"Connor, Clark & Lunn Investment Management Ltd.",12/31/2024,"347,757","11,334,413",
Legal & General Group Plc,12/31/2024,"333,750","10,869,554",
SCOTIA CAPITAL INC.,12/31/2024,"332,353","10,829,993",
"GEODE CAPITAL MANAGEMENT, LLC",12/31/2024,"333,290","10,650,598",
Federation des caisses Desjardins du Quebec,12/31/2024,"298,169","9,736,370",
JPMORGAN CHASE & CO,12/31/2024,"269,077","8,761,888",
WELLS FARGO & COMPANY/MN,12/31/2024,"264,069","8,598,807",
MORGAN STANLEY,12/31/2024,"245,750","8,002,287",
HARDING LOEVNER LP,12/31/2024,"239,125","7,786,566",
Capital World Investors,12/31/2024,"228,773","7,446,810",
CANADA PENSION PLAN INVESTMENT BOARD,12/31/2024,"227,894","7,427,745",
"LETKO, BROSSEAU & ASSOCIATES INC",12/31/2024,"226,515","7,377,147",
TD Waterhouse Canada Inc.,12/31/2024,"215,540","7,031,982",
DIMENSIONAL FUND ADVISORS LP,12/31/2024,"209,606","6,825,398",
HSBC HOLDINGS PLC,12/31/2024,"194,803","6,343,892",
MASSACHUSETTS FINANCIAL SERVICES CO /MA/,12/31/2024,"188,591","6,141,034",
Royal Bank of Canada,12/31/2024,"186,569","6,075,200",put
CHARLES SCHWAB INVESTMENT MANAGEMENT INC,12/31/2024,"157,936","5,143,543",
Swiss National Bank,12/31/2024,"156,794","5,106,300",
AustralianSuper Pty Ltd,12/31/2024,"152,185","4,960,150",
"Cardinal Capital Management, Inc.",12/31/2024,"150,924","4,923,852",
Alberta Investment Management Corp,12/31/2024,"150,333","4,896,049",
UBS Group AG,12/31/2024,"141,934","4,621,757",
AMUNDI,12/31/2024,"120,319","3,921,757",
"Grantham, Mayo, Van Otterloo & Co. LLC",12/31/2024,"118,247","3,850,803",
BANK OF AMERICA CORP /DE/,12/31/2024,"116,442","3,791,685",
GOLDMAN SACHS GROUP INC,12/31/2024,"110,663","3,603,516",
"LORD, ABBETT & CO. LLC",12/31/2024,"110,184","3,587,814",
CANADA LIFE ASSURANCE Co,12/31/2024,"100,386","3,274,389",
"JANE STREET GROUP, LLC",12/31/2024,"98,256","3,199,500",put
Invesco Ltd.,12/31/2024,"97,173","3,164,230",
"MUFG SECURITIES (CANADA), LTD.",12/31/2024,"82,129","2,675,176",
DEUTSCHE BANK AG\,12/31/2024,"80,153","2,610,010",
Hillsdale Investment Management Inc.,12/31/2024,"78,109","2,545,393",
AMUNDI,12/31/2024,"105,484","2,385,997",
TORONTO DOMINION BANK,12/31/2024,"72,623","2,367,000",put
M&G PLC,12/31/2024,"71,067","2,293,477",
"Nuveen Asset Management, LLC",12/31/2024,"69,545","2,264,961",
CIBC WORLD MARKET INC.,12/31/2024,"67,023","2,182,500",put
INTACT INVESTMENT MANAGEMENT INC.,12/31/2024,"66,267","2,157,355",
FRANKLIN RESOURCES INC,12/31/2024,"65,919","2,148,426",
MUFG Securities EMEA plc,12/31/2024,"92,736","2,100,000",
NORTHERN TRUST CORP,12/31/2024,"64,181","2,089,929",
DekaBank Deutsche Girozentrale,12/31/2024,"62,183","2,057,848",
"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC",12/31/2024,"62,231","2,026,419",
AVIVA PLC,12/31/2024,"61,458","2,004,578",
"BlackRock, Inc.",12/31/2024,"61,279","1,995,440",
"Bridgewater Associates, LP",12/31/2024,"59,997","1,953,994",
"MANUFACTURERS LIFE INSURANCE COMPANY, THE",12/31/2024,"59,894","1,947,035",
Allianz Asset Management GmbH,12/31/2024,"57,166","1,861,773",
Bank of New York Mellon Corp,12/31/2024,"55,578","1,809,774",
"SIG North Trading, ULC",12/31/2024,"53,441","1,740,200",put
Waratah Capital Advisors Ltd.,12/31/2024,"52,155","1,698,319",
"Russell Investments Group, Ltd.",12/31/2024,"50,303","1,639,120",
AGF MANAGEMENT LTD,12/31/2024,"60,511","1,486,083",
Korea Investment CORP,12/31/2024,"44,959","1,464,244",
"D. E. Shaw & Co., Inc.",12/31/2024,"44,140","1,437,600",put
Addenda Capital Inc.,12/31/2024,"62,856","1,423,384",
Zurcher Kantonalbank (Zurich Cantonalbank),12/31/2024,"43,236","1,408,127",
MILLENNIUM MANAGEMENT LLC,12/31/2024,"62,177","1,408,000",put
Man Group plc,12/31/2024,"42,905","1,397,139",
Skandinaviska Enskilda Banken AB (publ),12/31/2024,"42,666","1,392,970",
NEUBERGER BERMAN GROUP LLC,12/31/2024,"41,967","1,366,789",
"Scheer, Rowlett & Associates Investment Management Ltd.",12/31/2024,"40,270","1,312,537",
ACADIAN ASSET MANAGEMENT LLC,12/31/2024,"39,863","1,298,756",
CAISSE DE DEPOT ET PLACEMENT DU QUEBEC,12/31/2024,"36,005","1,172,630",
BRITISH COLUMBIA INVESTMENT MANAGEMENT Corp,12/31/2024,"35,670","1,162,597",
LINCLUDEN MANAGEMENT LTD,12/31/2024,"35,429","1,153,282",
CITIGROUP INC,12/31/2024,"34,874","1,135,786",
"O'SHAUGHNESSY ASSET MANAGEMENT, LLC",12/31/2024,"34,022","1,108,469",
"Clearbridge Investments, LLC",12/31/2024,"33,840","1,101,946",
GUARDIAN CAPITAL LP,12/31/2024,"33,138","1,079,267",
TORONTO DOMINION BANK,12/31/2024,"32,813","1,069,500",call
ENVESTNET ASSET MANAGEMENT INC,12/31/2024,"32,811","1,068,426",
"State of Tennessee, Department of Treasury",12/31/2024,"31,330","1,020,377",
AMERICAN CENTURY COMPANIES INC,12/31/2024,"30,541","994,150",
TODD ASSET MANAGEMENT LLC,12/31/2024,"30,164","982,237",
MILLENNIUM MANAGEMENT LLC,12/31/2024,"29,911","974,205",
APG Asset Management N.V.,12/31/2024,"28,822","972,000",
"SUSQUEHANNA FUNDAMENTAL INVESTMENTS, LLC",12/31/2024,"26,862","874,700",
Achmea Investment Management B.V.,12/31/2024,"26,177","852,551",
BANK OF NOVA SCOTIA TRUST CO,12/31/2024,"24,682","803,715",
Qube Research & Technologies Ltd,12/31/2024,"24,665","803,517",
Galibier Capital Management Ltd.,12/31/2024,"23,998","781,573",
BARCLAYS PLC,12/31/2024,"23,950","779,856",
Focus Partners Wealth,12/31/2024,"23,592","768,232",
Focus Partners Wealth,12/31/2024,"23,592","767,847",
Pictet Asset Management Holding SA,12/31/2024,"22,653","737,798",
Mn Services Vermogensbeheer B.V.,12/31/2024,"21,912","713,637",
Assenagon Asset Management S.A.,12/31/2024,"21,079","686,418",
Candriam S.C.A.,12/31/2024,"20,255","659,686",
Mitsubishi UFJ Trust & Banking Corp,12/31/2024,"20,288","659,291",
WELLINGTON MANAGEMENT GROUP LLP,12/31/2024,"20,042","652,730",
AXA S.A.,12/31/2024,"19,021","619,380",
CANERECTOR INC,12/31/2024,"36,294","600,000",
"ASSETMARK, INC",12/31/2024,"17,567","572,057",
LPL Financial LLC,12/31/2024,"17,490","569,540",
Dixon Mitchell Investment Counsel Inc.,12/31/2024,"17,194","559,985",
FORSTA AP-FONDEN,12/31/2024,"16,500","537,400",
RAYMOND JAMES FINANCIAL INC,12/31/2024,"16,213","527,949",
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,12/31/2024,"15,501","504,760",
BANK OF MONTREAL /CAN/,12/31/2024,"15,340","500,000",put
"D. E. Shaw & Co., Inc.",12/31/2024,"15,351","500,000",call
FMR LLC,12/31/2024,"15,283","497,490",
CIDEL ASSET MANAGEMENT INC,12/31/2024,"15,190","494,733",
Northwest & Ethical Investments L.P.,12/31/2024,"14,976","488,364",
Heathbridge Capital Management Ltd.,12/31/2024,"14,576","474,950",
USS Investment Management Ltd,12/31/2024,"14,435","469,967",
DORCHESTER WEALTH MANAGEMENT Co,12/31/2024,"13,993","459,423",
TORONTO DOMINION BANK,12/31/2024,"13,947","454,139",
JONES FINANCIAL COMPANIES LLLP,12/31/2024,"13,548","441,183",
"Crestwood Advisors Group, LLC",12/31/2024,"13,429","437,297",
GRACE & WHITE INC /NY,12/31/2024,"13,230","430,805",
"JANE STREET GROUP, LLC",12/31/2024,"13,174","429,004",
Varma Mutual Pension Insurance Co,12/31/2024,"13,167","428,839",
"Haven Global Partners, LLC",12/31/2024,"13,060","425,352",
"Allspring Global Investments Holdings, LLC",12/31/2024,"12,838","420,650",
"Promethos Capital, LLC",12/31/2024,"12,825","417,645",
Vontobel Holding Ltd.,12/31/2024,"12,661","412,659",
Lansforsakringar Fondforvaltning AB (publ),12/31/2024,"11,668","380,011",
Lansforsakringar Fondforvaltning AB (publ),12/31/2024,"11,662","380,011",
Triasima Portfolio Management inc.,12/31/2024,"11,582","377,214",
Ilmarinen Mutual Pension Insurance Co,12/31/2024,"11,202","365,000",
FIRST TRUST ADVISORS LP,12/31/2024,"10,745","349,842",
"NATIXIS ADVISORS, LLC",12/31/2024,"10,611","345,538",
VAN ECK ASSOCIATES CORP,12/31/2024,"10,254","334,007",
FOSTER & MOTLEY INC,12/31/2024,"10,020","326,262",
"SIG North Trading, ULC",12/31/2024,"9,897","322,300",call
Federation des caisses Desjardins du Quebec,12/31/2024,"9,777","318,846",
"COMMONWEALTH EQUITY SERVICES, LLC",12/31/2024,"9,593","312,357",
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",12/31/2024,"9,372","305,200",call
Lombard Odier Asset Management (Europe) Ltd,12/31/2024,"19,055","300,000",
UBS Group AG,12/31/2024,"9,213","300,000",put
BANK OF MONTREAL /CAN/,12/31/2024,"9,204","300,000",call
US BANCORP \DE\,12/31/2024,"8,765","285,437",
"JANE STREET GROUP, LLC",12/31/2024,"8,251","268,700",call
MILLENNIUM MANAGEMENT LLC,12/31/2024,"11,040","250,000",call
HENNESSY ADVISORS INC,12/31/2024,"7,057","229,800",
NATIXIS,12/31/2024,"7,017","228,521",
JPMORGAN CHASE & CO,12/31/2024,"6,697","218,095",
Maryland State Retirement & Pension System,12/31/2024,"6,678","217,498",
PUBLIC EMPLOYEES RETIREMENT SYSTEM OF OHIO,12/31/2024,"6,678","217,480",
JANUS HENDERSON GROUP PLC,12/31/2024,"6,523","212,208",
OPTIMAS CAPITAL Ltd,12/31/2024,"6,482","211,100",
JUPITER ASSET MANAGEMENT LTD,12/31/2024,"6,396","208,324",
Onex Canada Asset Management Inc.,12/31/2024,"6,207","202,123",
RITHOLTZ WEALTH MANAGEMENT,12/31/2024,"6,155","200,452",
"Graham Capital Management, L.P.",12/31/2024,"6,155","200,441",
Utah Retirement Systems,12/31/2024,"6,055","197,219",
Creative Planning,12/31/2024,"5,995","195,233",
Lorne Steinberg Wealth Management Inc.,12/31/2024,"5,911","192,613",
Guardian Partners Inc.,12/31/2024,"5,893","192,187",
Unigestion Holding SA,12/31/2024,"5,694","185,584",
Gold Investment Management Ltd.,12/31/2024,"5,627","183,217",
Thrivent Financial for Lutherans,12/31/2024,"5,864","181,726",
Caldwell Investment Management Ltd.,12/31/2024,"5,534","181,000",
CITADEL ADVISORS LLC,12/31/2024,"5,475","178,300",call
"Mariner, LLC",12/31/2024,"5,425","176,663",
"TWO SIGMA ADVISERS, LP",12/31/2024,"5,352","174,300",
"HighTower Advisors, LLC",12/31/2024,"5,177","168,582",
Public Sector Pension Investment Board,12/31/2024,"5,169","168,346",
Aviso Financial Inc.,12/31/2024,"5,134","167,180",
OPPENHEIMER ASSET MANAGEMENT INC.,12/31/2024,"5,096","165,956",
Generali Asset Management SPA SGR,12/31/2024,"7,118","161,195",
Sienna Gestion,12/31/2024,"4,911","159,939",
Quantinno Capital Management LP,12/31/2024,"4,877","158,824",
BANK OF AMERICA CORP /DE/,12/31/2024,"4,606","150,000",put
Cetera Investment Advisers,12/31/2024,"4,562","148,560",
STIFEL FINANCIAL CORP,12/31/2024,"4,522","147,261",
PCJ Investment Counsel Ltd.,12/31/2024,"4,469","145,681",
"Barry Investment Advisors, LLC",12/31/2024,"4,422","143,999",
BENJAMIN EDWARDS INC,12/31/2024,"4,371","142,268",
"OSAIC HOLDINGS, INC.",12/31/2024,"4,258","138,668",
AMERIPRISE FINANCIAL INC,12/31/2024,"4,814","136,516",
ONTARIO TEACHERS PENSION PLAN BOARD,12/31/2024,"3,879","126,429",
BAROMETER CAPITAL MANAGEMENT INC.,12/31/2024,"4,578","125,674",
ALLIANCEBERNSTEIN L.P.,12/31/2024,"3,837","124,957",
"Ensign Peak Advisors, Inc",12/31/2024,"3,785","123,300",
CAPTRUST FINANCIAL ADVISORS,12/31/2024,"3,786","123,290",
TRUSTMARK NATIONAL BANK TRUST DEPARTMENT,12/31/2024,"3,754","122,244",
"Ashton Thomas Private Wealth, LLC",12/31/2024,"3,711","120,862",
SPINNAKER TRUST,12/31/2024,"3,628","118,151",
TEACHERS RETIREMENT SYSTEM OF THE STATE OF KENTUCKY,12/31/2024,"3,590","116,900",
Cerity Partners LLC,12/31/2024,"3,524","116,827",
GQG Partners LLC,12/31/2024,"3,515","114,503",
"Cambridge Investment Research Advisors, Inc.",12/31/2024,"3,485","113,496",
FIFTH THIRD BANCORP,12/31/2024,"3,481","113,352",
Corient Private Wealth LLC,12/31/2024,"3,418","111,298",
Avanza Fonder AB,12/31/2024,"4,903","111,044",
INTECH INVESTMENT MANAGEMENT LLC,12/31/2024,"3,360","109,451",
Rathbones Group PLC,12/31/2024,"3,353","109,200",
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP",12/31/2024,"3,134","102,102",
"Twin Tree Management, LP",12/31/2024,"3,051","99,353",
Harvest Portfolios Group Inc.,12/31/2024,"3,017","98,211",
"Vident Advisory, LLC",12/31/2024,"3,015","98,192",
Ninepoint Partners LP,12/31/2024,"2,990","97,373",
"WEALTH ENHANCEMENT ADVISORY SERVICES, LLC",12/31/2024,"2,985","97,223",
TRUIST FINANCIAL CORP,12/31/2024,"2,964","96,517",
"Crossmark Global Holdings, Inc.",12/31/2024,"2,879","93,752",
Janney Montgomery Scott LLC,12/31/2024,"2,847","92,697",
DAVENPORT & Co LLC,12/31/2024,"2,843","92,591",
Bridge Creek Capital Management LLC,12/31/2024,"2,817","91,755",
"Wambolt & Associates, LLC",12/31/2024,"2,808","91,458",
"SIG North Trading, ULC",12/31/2024,"2,808","91,439",
AEGON ASSET MANAGEMENT UK Plc,12/31/2024,"2,719","88,631",
Argent Trust Co,12/31/2024,"2,711","88,308",
Claret Asset Management Corp,12/31/2024,"2,664","86,764",
BESSEMER GROUP INC,12/31/2024,"2,640","86,042",
"Vanguard Personalized Indexing Management, LLC",12/31/2024,"2,538","82,671",
"Stamos Capital Partners, L.P.",12/31/2024,"2,526","82,270",
KEYBANK NATIONAL ASSOCIATION/OH,12/31/2024,"2,447","79,682",
"Metis Global Partners, LLC",12/31/2024,"2,446","79,627",
"KESTRA PRIVATE WEALTH SERVICES, LLC",12/31/2024,"2,391","77,863",
"Harvest Fund Management Co., Ltd",12/31/2024,"2,362","76,883",
"Harvest Fund Management Co., Ltd",12/31/2024,"2,362","76,883",
Credit Agricole S A,12/31/2024,"2,303","75,000",call
"Sanctuary Advisors, LLC",12/31/2024,"2,244","73,521",
RENAISSANCE TECHNOLOGIES LLC,12/31/2024,"2,255","73,450",
CITADEL ADVISORS LLC,12/31/2024,"2,251","73,300",put
PRINCIPAL FINANCIAL GROUP INC,12/31/2024,"2,244","73,100",
"CHOREO, LLC",12/31/2024,"2,213","72,242",
NORTHWESTERN MUTUAL WEALTH MANAGEMENT CO,12/31/2024,"2,205","71,829",
"Atria Investments, Inc",12/31/2024,"2,164","70,496",
"PNC Financial Services Group, Inc.",12/31/2024,"2,142","69,764",
"Private Advisor Group, LLC",12/31/2024,"2,134","69,516",
Erste Asset Management GmbH,12/31/2024,"2,132","69,300",
Investment Management Corp of Ontario,12/31/2024,"2,100","68,395",
"Kestra Advisory Services, LLC",12/31/2024,"2,097","68,311",
"SUSQUEHANNA INTERNATIONAL GROUP, LLP",12/31/2024,"2,045","66,600",put
"Baird Financial Group, Inc.",12/31/2024,"2,013","65,558",
Richard P Slaughter Associates Inc,12/31/2024,"1,986","64,700",
CAPITAL FUND MANAGEMENT S.A.,12/31/2024,"1,980","64,500",
"Vise Technologies, Inc.",12/31/2024,"1,833","59,714",
"Sequoia Financial Advisors, LLC",12/31/2024,"1,829","59,557",
UNITED SERVICES AUTOMOBILE ASSOCIATION,12/31/2024,"3,772","59,529",
OPPENHEIMER & CO INC,12/31/2024,"1,760","57,316",
"Americana Partners, LLC",12/31/2024,"1,753","57,092",
Sterling Capital Management LLC,12/31/2024,"1,745","56,833",
"Madison Asset Management, LLC",12/31/2024,"1,713","55,798",
"Madison Investment Advisors, LLC",12/31/2024,"1,713","55,798",
Genus Capital Management Inc.,12/31/2024,"1,707","55,625",put
"LMG Wealth Partners, LLC",12/31/2024,"1,700","55,363",
CAPITAL FUND MANAGEMENT S.A.,12/31/2024,"1,679","54,700",call
"DGS Capital Management, LLC",12/31/2024,"1,667","54,289",
"Redhawk Wealth Advisors, Inc.",12/31/2024,"1,661","54,087",
"WOLVERINE TRADING, LLC",12/31/2024,"1,641","53,600",call
PITCAIRN CO,12/31/2024,"1,614","52,560",
