"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","4,847,394","4.8%","10,198,386","",""
"MSFT","MICROSOFT CORP","COM","594918104","4,192,482","4.1%","11,149,034","",""
"AAPL","APPLE INC","COM","037833100","3,799,571","3.7%","19,734,959","",""
"RY.TO","ROYAL BK CDA","COM","780087102","3,310,010","3.3%","32,571,491","",""
"TD","TORONTO DOMINION BK ONT","COM NEW","891160509","3,017,384","3.0%","46,469,553","",""
"BMO.TO","BANK MONTREAL QUE","COM","063671101","1,911,635","1.9%","19,225,705","",""
"NVDA","NVIDIA CORPORATION","COM","67066G104","1,766,602","1.7%","3,567,308","",""
"CP.TO","CANADIAN PACIFIC KANSAS CITY","COM","13646K108","1,682,256","1.7%","21,170,926","",""
"UNH","UNITEDHEALTH GROUP INC","COM","91324P102","1,537,540","1.5%","2,920,471","",""
"CNR.TO","CANADIAN NATL RY CO","COM","136375102","1,471,732","1.4%","11,651,919","",""
"AMZN","AMAZON COM INC","COM","023135106","1,464,841","1.4%","9,640,919","",""
"V","VISA INC","COM CL A","92826C839","1,438,741","1.4%","5,526,181","",""
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","1,419,556","1.4%","21,562,341","",""
"ENB.TO","ENBRIDGE INC","COM","29250N105","1,365,583","1.3%","37,749,760","",""
"LLY","ELI LILLY & CO","COM","532457108","1,139,656","1.1%","1,955,083","",""
"CM.TO","CANADIAN IMPERIAL BK COMM TO","COM","136069101","1,091,088","1.1%","22,550,346","",""
"BN.TO","BROOKFIELD CORP","CL A LTD VT SH","11271J107","1,069,891","1.1%","26,542,983","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","1,032,453","1.0%","32,070,496","",""
"BNS.TO","BANK NOVA SCOTIA HALIFAX","COM","064149107","970,576","1.0%","19,841,901","",""
"TLT","ISHARES TR","20 YR TR BD ETF","464287432","963,037","0.9%","9,739,457","",""
"AVGO","BROADCOM INC","COM","11135F101","945,243","0.9%","846,803","",""
"META","META PLATFORMS INC","CL A","30303M102","944,476","0.9%","2,668,313","",""
"WCN","WASTE CONNECTIONS INC","COM","94106B101","856,641","0.8%","5,715,923","",""
"GOOG","ALPHABET INC","CAP STK CL C","02079K107","853,505","0.8%","6,056,238","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","844,126","0.8%","1,278,824","",""
"MFC.TO","MANULIFE FINL CORP","COM","56501R106","823,073","0.8%","37,066,418","",""
"SLF.TO","SUN LIFE FINANCIAL INC.","COM","866796105","816,423","0.8%","15,665,551","",""
"GOOGL","ALPHABET INC","CAP STK CL A","02079K305","769,772","0.8%","5,510,578","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","761,295","0.7%","4,475,574","",""
"T.TO","TELUS CORPORATION","COM","87971M103","727,274","0.7%","40,669,392","",""
"CVE.TO","CENOVUS ENERGY INC","COM","15135U109","706,502","0.7%","42,191,779","",""
"HD","HOME DEPOT INC","COM","437076102","613,258","0.6%","1,769,610","",""
