Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
AES CORP,"  56,057 "," $ 45,428,062,000 ", $ 28.76 ,"  40,277,984 ","  50,657,584 ",0.00%,"  1,429.43 ","  1,797.79 "
AIR PRODUCTS & CHEMICALS INC,"  78,534 "," $ 57,212,119,700 ", $ 232.73 ,"  26,500,000 ","  34,200,000 ",0.03%,"  8,465.80 ","  10,925.67 "
ALLIANT ENERGY CORP,"  38,725 "," $ 22,579,161,500 ", $ 55.21 ,"  13,233,852 ","  13,233,852 ",0.01%,"  1,253.11 ","  1,253.11 "
ALTAGAS LTD,"  396,796 "," $ 12,484,999,172 ", $ 17.27 ,"  2,010,956 ","  16,235,456 ",0.05%,"  1,103.60 ","  8,909.94 "
ALUMINUM CORP OF CHINA LTD-A,  -   ," $ 25,337,089,217 ", $ 0.65 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
ALUMINUM CORP OF CHINA LTD-H,  -   ," $ 25,337,089,217 ", $ 0.48 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
AMEREN CORPORATION,"  5,795 "," $ 37,888,684,000 ", $ 88.92 ,"  25,011,622 ","  46,495,321 ",0.00%,  340.16 ,  632.34 
AMERICAN ELECTRIC POWER,"  233,084 "," $ 89,855,784,400 ", $ 94.95 ,"  51,463,484 ","  93,222,683 ",0.02%,"  12,675.37 ","  22,960.59 "
ARC RESOURCES LTD,"  901,610 "," $ 9,645,342,759 ", $ 13.48 ,"  1,877,921 ","  1,877,921 ",0.13%,"  2,366.07 ","  2,366.07 "
ATCO LTD -CLASS I,"  103,620 "," $ 13,267,982,057 ", $ 31.30 ,"  1,040,000 ","  25,551,000 ",0.02%,  254.23 ,"  6,245.89 "
ATHABASCA OIL CORP,"  842,202 "," $ 1,076,509,138 ", $ 1.78 ,"  920,912 ","  920,912 ",0.14%,"  1,282.39 ","  1,282.39 "
BATTALION OIL CORP,  -   ," $ 343,388,700 ", $ 9.71 ,  -   ,  -   ,0.00%,  -   ,  -   
BAYTEX ENERGY CORP,"  778,872 "," $ 3,135,105,142 ", $ 4.49 ,"  1,091,032 ","  1,091,032 ",0.11%,"  1,217.14 ","  1,217.14 "
BERKSHIRE HATHAWAY INC-CL A,  -   ," $ 329,576,914,200 "," $ 468,711.00 ",  -   ,  -   ,0.00%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL B,"  12,601 "," $ 329,576,914,200 ", $ 308.90 ,  -   ,  -   ,0.00%,  -   ,  -   
BERRY CORP,  -   ," $ 955,625,000 ", $ 8.00 ,  -   ,  -   ,0.00%,  -   ,  -   
BIRCHCLIFF ENERGY LTD,"  378,534 "," $ 1,960,382,990 ", $ 6.96 ,"  382,823 ","  382,823 ",0.13%,  514.83 ,  514.83 
BP PLC,  -   ," $ 144,148,168,500 ", $ 474.90 ,"  32,500,000 ","  339,200,000 ",0.00%,  -   ,  -   
CANADIAN NATURAL RESOURCES,"  2,153,866 "," $ 69,780,224,625 ", $ 55.53 ,"  26,335,750 ","  150,449,750 ",0.17%,"  45,141.82 ","  257,884.26 "
CARLYLE GROUP INC/THE,  -   ," $ 12,616,191,700 ", $ 29.84 ,"  6,012 ","  20,901 ",0.00%,  -   ,  -   
CENOVUS ENERGY INC,"  2,557,997 "," $ 42,692,149,004 ", $ 19.40 ,"  18,100,000 ","  161,700,000 ",0.12%,"  21,041.54 ","  187,978.88 "
CENTERPOINT ENERGY INC,"  13,313 "," $ 36,387,773,600 ", $ 29.99 ,"  4,891,379 ","  31,301,680 ",0.00%,  53.67 ,  343.45 
CHENIERE ENERGY INC,"  10,846 "," $ 66,237,180,000 ", $ 149.96 ,"  11,168,945 ","  11,168,945 ",0.00%,  274.26 ,  274.26 
CHESAPEAKE ENERGY CORP,"  15,354 "," $ 15,795,063,400 ", $ 94.37 ,"  1,729,353 ","  83,729,353 ",0.01%,  158.64 ,"  7,680.90 "
CHEVRON CORP,"  322,592 "," $ 354,191,181,400 ", $ 179.49 ,"  53,000,000 ","  645,000,000 ",0.02%,"  8,664.27 ","  105,442.53 "
CIVITAS RESOURCES INC,  228 ," $ 4,581,067,200 ", $ 57.93 ,"  1,250,800 ","  1,250,800 ",0.00%,  3.61 ,  3.61 
CMS ENERGY CORP,"  14,371 "," $ 33,410,029,000 ", $ 63.33 ,"  17,687,946 ","  42,502,046 ",0.00%,  481.83 ,"  1,157.79 "
CONOCOPHILLIPS,"  764,895 "," $ 112,527,312,228 ", $ 87.15 ,"  16,014,000 ","  251,014,000 ",0.06%,"  9,486.65 ","  148,699.94 "
CONTINENTAL RESOURCES INC/OK,  -   , $ -   , $ 54.85 ,"  3,350,000 ","  3,350,000 ",,  -   ,  -   
CRESCENT ENERGY INC-A,  -   ," $ 3,273,949,600 ", $ 11.99 ,"  1,981,075 ","  1,981,075 ",0.00%,  -   ,  -   
CRESCENT POINT ENERGY CORP,"  789,724 "," $ 4,872,505,924 ", $ 7.13 ,"  1,305,425 ","  1,305,425 ",0.12%,"  1,509.52 ","  1,509.52 "
DIAMONDBACK ENERGY INC,"  40,201 "," $ 23,169,150,950 ", $ 101.02 ,"  2,161,367 ","  47,251,969 ",0.02%,  378.85 ,"  8,282.40 "
DOMINION ENERGY INC,"  259,970 "," $ 69,988,498,518 ", $ 45.29 ,"  33,645,033 ","  62,924,334 ",0.02%,"  5,659.87 ","  10,585.33 "
DTE ENERGY COMPANY,"  2,270 "," $ 32,030,676,988 ", $ 86.80 ,"  27,278,000 ","  53,475,000 ",0.00%,  167.81 ,  328.96 
DUKE ENERGY CORP,"  255,995 "," $ 118,331,886,647 ", $ 76.06 ,"  79,220,000 ","  117,808,000 ",0.02%,"  13,036.07 ","  19,385.92 "
ECOPETROL SA,  -   ," $ 46,821,436,789 ", $ 0.50 ,"  13,460,534 ","  166,908,534 ",0.00%,  -   ,  -   
EMERA INC,"  379,985 "," $ 25,260,232,900 ", $ 38.22 ,"  14,925,227 ","  23,735,997 ",0.06%,"  8,581.19 ","  13,646.90 "
ENBRIDGE INC,"  3,917,114 "," $ 146,572,060,272 ", $ 39.11 ,"  14,408,000 ","  68,508,602 ",0.10%,"  15,060.99 ","  71,613.53 "
ENEL SPA,"  2,413,300 "," $ 148,452,978,614 ", $ 5.40 ,"  57,089,658 ","  132,889,455 ",0.01%,"  5,010.04 ","  11,662.03 "
ENERFLEX LTD,  -   ," $ 1,688,584,050 ", $ 6.31 ,"  30,700 ","  3,175,700 ",0.00%,  -   ,  -   
ENERGY TRANSFER LP,"  267,347 "," $ 73,678,255,672 ", $ 8.77 ,  -   ,  -   ,0.00%,  -   ,  -   
ENERPLUS CORP,"  325,784 "," $ 3,011,580,869 ", $ 17.65 ,"  962,453 ","  962,520 ",0.19%,"  1,837.81 ","  1,837.93 "
ENI SPA,"  509,469 "," $ 62,574,576,119 ", $ 14.26 ,"  40,182,973 ","  219,609,973 ",0.01%,"  4,664.98 ","  25,495.26 "
ENTERPRISE PRODUCTS PARTNERS,"  103,707 "," $ 82,329,849,100 ", $ 24.12 ,"  12,000,000 ","  12,000,000 ",0.00%,  364.59 ,  364.59 
EOG RESOURCES INC,"  112,678 "," $ 76,104,447,600 ", $ 129.52 ,"  5,450,443 ","  115,741,443 ",0.02%,"  1,045.20 ","  22,194.98 "
EQT CORP,"  9,981 "," $ 16,669,405,300 ", $ 33.83 ,"  702,985 ","  101,720,985 ",0.00%,  14.24 ,"  2,060.47 "
