Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
AES CORP,"  1,258,886 "," $ 45,428,062,000 ", $ 28.76 ,"  40,277,984 ","  50,657,584 ",0.08%,"  32,101.02 ","  40,373.42 "
AIR PRODUCTS & CHEMICALS INC,"  765,436 "," $ 57,212,119,700 ", $ 232.73 ,"  26,500,000 ","  34,200,000 ",0.31%,"  82,512.38 ","  106,487.67 "
ALLIANT ENERGY CORP,"  193,123 "," $ 22,579,161,500 ", $ 55.21 ,"  13,233,852 ","  13,233,852 ",0.05%,"  6,249.28 ","  6,249.28 "
ALTAGAS LTD,"  5,611,119 "," $ 12,484,999,172 ", $ 17.27 ,"  2,010,956 ","  16,235,456 ",0.78%,"  15,606.12 ","  125,996.05 "
ALUMINUM CORP OF CHINA LTD-A,  -   ," $ 25,337,089,217 ", $ 0.65 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
ALUMINUM CORP OF CHINA LTD-H,  -   ," $ 25,337,089,217 ", $ 0.48 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
AMEREN CORPORATION,"  313,199 "," $ 37,888,684,000 ", $ 88.92 ,"  25,011,622 ","  46,495,321 ",0.07%,"  18,384.51 ","  34,175.87 "
AMERICAN ELECTRIC POWER,"  566,775 "," $ 89,855,784,400 ", $ 94.95 ,"  51,463,484 ","  93,222,683 ",0.06%,"  30,821.86 ","  55,831.75 "
ARC RESOURCES LTD,"  1,281,490 "," $ 9,645,342,759 ", $ 13.48 ,"  1,877,921 ","  1,877,921 ",0.18%,"  3,362.98 ","  3,362.98 "
ATCO LTD -CLASS I,"  819,462 "," $ 13,267,982,057 ", $ 31.30 ,"  1,040,000 ","  25,551,000 ",0.19%,"  2,010.51 ","  49,394.63 "
ATHABASCA OIL CORP,  -   ," $ 1,076,509,138 ", $ 1.78 ,"  920,912 ","  920,912 ",0.00%,  -   ,  -   
BATTALION OIL CORP,"  19,594 "," $ 343,388,700 ", $ 9.71 ,  -   ,  -   ,0.06%,  -   ,  -   
BAYTEX ENERGY CORP,  -   ," $ 3,135,105,142 ", $ 4.49 ,"  1,091,032 ","  1,091,032 ",0.00%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL A,  -   ," $ 329,576,914,200 "," $ 468,711.00 ",  -   ,  -   ,0.00%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL B,"  1,636,387 "," $ 329,576,914,200 ", $ 308.90 ,  -   ,  -   ,0.15%,  -   ,  -   
BERRY CORP,  -   ," $ 955,625,000 ", $ 8.00 ,  -   ,  -   ,0.00%,  -   ,  -   
BIRCHCLIFF ENERGY LTD,  -   ," $ 1,960,382,990 ", $ 6.96 ,"  382,823 ","  382,823 ",0.00%,  -   ,  -   
BP PLC,"  46,402,668 "," $ 144,148,168,500 ", $ 474.90 ,"  32,500,000 ","  339,200,000 ",15.29%,"  4,968,432.04 ","  51,855,142.99 "
CANADIAN NATURAL RESOURCES,"  25,433,977 "," $ 69,780,224,625 ", $ 55.53 ,"  26,335,750 ","  150,449,750 ",2.02%,"  533,058.22 ","  3,045,232.28 "
CARLYLE GROUP INC/THE,"  315,970 "," $ 12,616,191,700 ", $ 29.84 ,"  6,012 ","  20,901 ",0.07%,  4.49 ,  15.62 
CENOVUS ENERGY INC,"  13,284,771 "," $ 42,692,149,004 ", $ 19.40 ,"  18,100,000 ","  161,700,000 ",0.60%,"  109,277.73 ","  976,254.63 "
CENTERPOINT ENERGY INC,"  894,769 "," $ 36,387,773,600 ", $ 29.99 ,"  4,891,379 ","  31,301,680 ",0.07%,"  3,607.14 ","  23,083.39 "
CHENIERE ENERGY INC,"  289,715 "," $ 66,237,180,000 ", $ 149.96 ,"  11,168,945 ","  11,168,945 ",0.07%,"  7,325.83 ","  7,325.83 "
CHESAPEAKE ENERGY CORP,"  43,567 "," $ 15,795,063,400 ", $ 94.37 ,"  1,729,353 ","  83,729,353 ",0.03%,  450.15 ,"  21,794.55 "
CHEVRON CORP,"  2,625,760 "," $ 354,191,181,400 ", $ 179.49 ,"  53,000,000 ","  645,000,000 ",0.13%,"  70,523.43 ","  858,256.81 "
CIVITAS RESOURCES INC,"  13,335 "," $ 4,581,067,200 ", $ 57.93 ,"  1,250,800 ","  1,250,800 ",0.02%,  210.92 ,  210.92 
CMS ENERGY CORP,"  1,750,954 "," $ 33,410,029,000 ", $ 63.33 ,"  17,687,946 ","  42,502,046 ",0.33%,"  58,706.31 ","  141,064.33 "
CONOCOPHILLIPS,"  2,059,766 "," $ 112,527,312,228 ", $ 87.15 ,"  16,014,000 ","  251,014,000 ",0.16%,"  25,546.34 ","  400,430.22 "
CONTINENTAL RESOURCES INC/OK,  -   , $ -   , $ 54.85 ,"  3,350,000 ","  3,350,000 ",,  -   ,  -   
CRESCENT ENERGY INC-A,  -   ," $ 3,273,949,600 ", $ 11.99 ,"  1,981,075 ","  1,981,075 ",0.00%,  -   ,  -   
CRESCENT POINT ENERGY CORP,"  12,658,119 "," $ 4,872,505,924 ", $ 7.13 ,"  1,305,425 ","  1,305,425 ",1.85%,"  24,195.40 ","  24,195.40 "
DIAMONDBACK ENERGY INC,"  363,422 "," $ 23,169,150,950 ", $ 101.02 ,"  2,161,367 ","  47,251,969 ",0.16%,"  3,424.83 ","  74,873.92 "
DOMINION ENERGY INC,"  2,101,849 "," $ 69,988,498,518 ", $ 45.29 ,"  33,645,033 ","  62,924,334 ",0.14%,"  45,759.88 ","  85,582.03 "
DTE ENERGY COMPANY,"  251,571 "," $ 32,030,676,988 ", $ 86.80 ,"  27,278,000 ","  53,475,000 ",0.07%,"  18,596.99 ","  36,457.00 "
DUKE ENERGY CORP,"  1,375,434 "," $ 118,331,886,647 ", $ 76.06 ,"  79,220,000 ","  117,808,000 ",0.09%,"  70,041.40 ","  104,158.51 "
ECOPETROL SA,  -   ," $ 46,821,436,789 ", $ 0.50 ,"  13,460,534 ","  166,908,534 ",0.00%,  -   ,  -   
EMERA INC,"  4,322,766 "," $ 25,260,232,900 ", $ 38.22 ,"  14,925,227 ","  23,735,997 ",0.65%,"  97,620.86 ","  155,249.13 "
