Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
AES CORP,"  95,224 "," $ 45,428,062,000 ", $ 28.76 ,"  40,277,984 ","  50,657,584 ",0.01%,"  2,428.17 ","  3,053.91 "
AIR PRODUCTS & CHEMICALS INC,"  75,636 "," $ 57,212,119,700 ", $ 232.73 ,"  26,500,000 ","  34,200,000 ",0.03%,"  8,153.40 ","  10,522.50 "
ALLIANT ENERGY CORP,"  22,018 "," $ 22,579,161,500 ", $ 55.21 ,"  13,233,852 ","  13,233,852 ",0.01%,  712.48 ,  712.48 
ALTAGAS LTD,  -   ," $ 12,484,999,172 ", $ 17.27 ,"  2,010,956 ","  16,235,456 ",0.00%,  -   ,  -   
ALUMINUM CORP OF CHINA LTD-A,  -   ," $ 25,337,089,217 ", $ 0.65 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
ALUMINUM CORP OF CHINA LTD-H,  -   ," $ 25,337,089,217 ", $ 0.48 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
AMEREN CORPORATION,"  22,663 "," $ 37,888,684,000 ", $ 88.92 ,"  25,011,622 ","  46,495,321 ",0.01%,"  1,330.30 ","  2,472.96 "
AMERICAN ELECTRIC POWER,"  736,515 "," $ 89,855,784,400 ", $ 94.95 ,"  51,463,484 ","  93,222,683 ",0.08%,"  40,052.51 ","  72,552.46 "
ARC RESOURCES LTD,  -   ," $ 9,645,342,759 ", $ 13.48 ,"  1,877,921 ","  1,877,921 ",0.00%,  -   ,  -   
ATCO LTD -CLASS I,  -   ," $ 13,267,982,057 ", $ 31.30 ,"  1,040,000 ","  25,551,000 ",0.00%,  -   ,  -   
ATHABASCA OIL CORP,  -   ," $ 1,076,509,138 ", $ 1.78 ,"  920,912 ","  920,912 ",0.00%,  -   ,  -   
BATTALION OIL CORP,  -   ," $ 343,388,700 ", $ 9.71 ,  -   ,  -   ,0.00%,  -   ,  -   
BAYTEX ENERGY CORP,  -   ," $ 3,135,105,142 ", $ 4.49 ,"  1,091,032 ","  1,091,032 ",0.00%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL A,  10 ," $ 329,576,914,200 "," $ 468,711.00 ",  -   ,  -   ,0.00%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL B,"  706,792 "," $ 329,576,914,200 ", $ 308.90 ,  -   ,  -   ,0.07%,  -   ,  -   
BERRY CORP,  -   ," $ 955,625,000 ", $ 8.00 ,  -   ,  -   ,0.00%,  -   ,  -   
BIRCHCLIFF ENERGY LTD,  -   ," $ 1,960,382,990 ", $ 6.96 ,"  382,823 ","  382,823 ",0.00%,  -   ,  -   
BP PLC,"  10,992,453 "," $ 144,148,168,500 ", $ 474.90 ,"  32,500,000 ","  339,200,000 ",3.62%,"  1,176,985.25 ","  12,284,104.49 "
CANADIAN NATURAL RESOURCES,"  21,651,316 "," $ 69,780,224,625 ", $ 55.53 ,"  26,335,750 ","  150,449,750 ",1.72%,"  453,779.29 ","  2,592,330.98 "
