Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
AES CORP,"  20,526 "," $ 45,428,062,000 ", $ 28.76 ,"  40,277,984 ","  50,657,584 ",0.00%,  523.40 ,  658.28 
AIR PRODUCTS & CHEMICALS INC,"  48,733 "," $ 57,212,119,700 ", $ 232.73 ,"  26,500,000 ","  34,200,000 ",0.02%,"  5,253.31 ","  6,779.75 "
ALLIANT ENERGY CORP,"  40,969 "," $ 22,579,161,500 ", $ 55.21 ,"  13,233,852 ","  13,233,852 ",0.01%,"  1,325.72 ","  1,325.72 "
ALTAGAS LTD,"  653,581 "," $ 12,484,999,172 ", $ 17.27 ,"  2,010,956 ","  16,235,456 ",0.09%,"  1,817.80 ","  14,675.97 "
ALUMINUM CORP OF CHINA LTD-A,  -   ," $ 25,337,089,217 ", $ 0.65 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
ALUMINUM CORP OF CHINA LTD-H,  -   ," $ 25,337,089,217 ", $ 0.48 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
AMEREN CORPORATION,"  17,534 "," $ 37,888,684,000 ", $ 88.92 ,"  25,011,622 ","  46,495,321 ",0.00%,"  1,029.23 ","  1,913.29 "
AMERICAN ELECTRIC POWER,"  86,971 "," $ 89,855,784,400 ", $ 94.95 ,"  51,463,484 ","  93,222,683 ",0.01%,"  4,729.58 ","  8,567.32 "
ARC RESOURCES LTD,"  1,435,737 "," $ 9,645,342,759 ", $ 13.48 ,"  1,877,921 ","  1,877,921 ",0.20%,"  3,767.77 ","  3,767.77 "
ATCO LTD -CLASS I,"  175,332 "," $ 13,267,982,057 ", $ 31.30 ,"  1,040,000 ","  25,551,000 ",0.04%,  430.17 ,"  10,568.47 "
ATHABASCA OIL CORP,  -   ," $ 1,076,509,138 ", $ 1.78 ,"  920,912 ","  920,912 ",0.00%,  -   ,  -   
BATTALION OIL CORP,  -   ," $ 343,388,700 ", $ 9.71 ,  -   ,  -   ,0.00%,  -   ,  -   
BAYTEX ENERGY CORP,  -   ," $ 3,135,105,142 ", $ 4.49 ,"  1,091,032 ","  1,091,032 ",0.00%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL A,  6 ," $ 329,576,914,200 "," $ 468,711.00 ",  -   ,  -   ,0.00%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL B,"  593,883 "," $ 329,576,914,200 ", $ 308.90 ,  -   ,  -   ,0.06%,  -   ,  -   
