Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
AES CORP,"  1,272,925 "," $ 45,428,062,000 ", $ 28.76 ,"  40,277,984 ","  50,657,584 ",0.08%,"  32,459.01 ","  40,823.66 "
AIR PRODUCTS & CHEMICALS INC,"  164,531 "," $ 57,212,119,700 ", $ 232.73 ,"  26,500,000 ","  34,200,000 ",0.07%,"  17,736.09 ","  22,889.60 "
ALLIANT ENERGY CORP,"  849,829 "," $ 22,579,161,500 ", $ 55.21 ,"  13,233,852 ","  13,233,852 ",0.21%,"  27,499.69 ","  27,499.69 "
ALTAGAS LTD,"  140,002 "," $ 12,484,999,172 ", $ 17.27 ,"  2,010,956 ","  16,235,456 ",0.02%,  389.39 ,"  3,143.70 "
ALUMINUM CORP OF CHINA LTD-A,"  10,672,700 "," $ 25,337,089,217 ", $ 0.65 ,"  117,640,000 ","  117,640,000 ",0.03%,"  32,059.72 ","  32,059.72 "
ALUMINUM CORP OF CHINA LTD-H,"  167,600 "," $ 25,337,089,217 ", $ 0.48 ,"  117,640,000 ","  117,640,000 ",0.00%,  373.93 ,  373.93 
AMEREN CORPORATION,"  547,523 "," $ 37,888,684,000 ", $ 88.92 ,"  25,011,622 ","  46,495,321 ",0.13%,"  32,139.13 ","  59,745.00 "
AMERICAN ELECTRIC POWER,"  866,068 "," $ 89,855,784,400 ", $ 94.95 ,"  51,463,484 ","  93,222,683 ",0.09%,"  47,097.74 ","  85,314.44 "
ARC RESOURCES LTD,"  8,425,743 "," $ 9,645,342,759 ", $ 13.48 ,"  1,877,921 ","  1,877,921 ",1.18%,"  22,111.47 ","  22,111.47 "
ATCO LTD -CLASS I,"  67,141 "," $ 13,267,982,057 ", $ 31.30 ,"  1,040,000 ","  25,551,000 ",0.02%,  164.73 ,"  4,047.05 "
ATHABASCA OIL CORP,"  186,631 "," $ 1,076,509,138 ", $ 1.78 ,"  920,912 ","  920,912 ",0.03%,  284.18 ,  284.18 
BATTALION OIL CORP,  62 ," $ 343,388,700 ", $ 9.71 ,  -   ,  -   ,0.00%,  -   ,  -   
