Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
AES CORP,"  980,973 "," $ 45,428,062,000 ", $ 28.76 ,"  40,277,984 ","  50,657,584 ",0.06%,"  25,014.36 ","  31,460.54 "
AIR PRODUCTS & CHEMICALS INC,"  705,935 "," $ 57,212,119,700 ", $ 232.73 ,"  26,500,000 ","  34,200,000 ",0.29%,"  76,098.29 ","  98,209.87 "
ALLIANT ENERGY CORP,"  488,418 "," $ 22,579,161,500 ", $ 55.21 ,"  13,233,852 ","  13,233,852 ",0.12%,"  15,804.76 ","  15,804.76 "
ALTAGAS LTD,"  29,972,922 "," $ 12,484,999,172 ", $ 17.27 ,"  2,010,956 ","  16,235,456 ",4.15%,"  83,363.24 ","  673,033.25 "
ALUMINUM CORP OF CHINA LTD-A,  -   ," $ 25,337,089,217 ", $ 0.65 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
ALUMINUM CORP OF CHINA LTD-H,  -   ," $ 25,337,089,217 ", $ 0.48 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
AMEREN CORPORATION,"  155,603 "," $ 37,888,684,000 ", $ 88.92 ,"  25,011,622 ","  46,495,321 ",0.04%,"  9,133.76 ","  16,979.20 "
AMERICAN ELECTRIC POWER,"  4,578,393 "," $ 89,855,784,400 ", $ 94.95 ,"  51,463,484 ","  93,222,683 ",0.48%,"  248,978.12 ","  451,007.33 "
ARC RESOURCES LTD,"  39,291,153 "," $ 9,645,342,759 ", $ 13.48 ,"  1,877,921 ","  1,877,921 ",5.49%,"  103,110.82 ","  103,110.82 "
ATCO LTD -CLASS I,"  10,484,361 "," $ 13,267,982,057 ", $ 31.30 ,"  1,040,000 ","  25,551,000 ",2.47%,"  25,722.81 ","  631,964.82 "
ATHABASCA OIL CORP,"  229,615 "," $ 1,076,509,138 ", $ 1.78 ,"  920,912 ","  920,912 ",0.04%,  349.63 ,  349.63 
BATTALION OIL CORP,"  3,909 "," $ 343,388,700 ", $ 9.71 ,  -   ,  -   ,0.01%,  -   ,  -   
BAYTEX ENERGY CORP,"  2,526,486 "," $ 3,135,105,142 ", $ 4.49 ,"  1,091,032 ","  1,091,032 ",0.36%,"  3,948.14 ","  3,948.14 "
BERKSHIRE HATHAWAY INC-CL A,  294 ," $ 329,576,914,200 "," $ 468,711.00 ",  -   ,  -   ,0.04%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL B,"  7,667,522 "," $ 329,576,914,200 ", $ 308.90 ,  -   ,  -   ,0.72%,  -   ,  -   
BERRY CORP,"  8,569 "," $ 955,625,000 ", $ 8.00 ,  -   ,  -   ,0.01%,  -   ,  -   
BIRCHCLIFF ENERGY LTD,"  1,653,152 "," $ 1,960,382,990 ", $ 6.96 ,"  382,823 ","  382,823 ",0.59%,"  2,248.37 ","  2,248.37 "
BP PLC,"  14,909,266 "," $ 144,148,168,500 ", $ 474.90 ,"  32,500,000 ","  339,200,000 ",4.91%,"  1,596,366.72 ","  16,661,156.65 "
CANADIAN NATURAL RESOURCES,"  58,167,452 "," $ 69,780,224,625 ", $ 55.53 ,"  26,335,750 ","  150,449,750 ",4.63%,"  1,219,103.03 ","  6,964,439.84 "
CARLYLE GROUP INC/THE,"  293,174 "," $ 12,616,191,700 ", $ 29.84 ,"  6,012 ","  20,901 ",0.07%,  4.17 ,  14.49 
CENOVUS ENERGY INC,"  38,970,128 "," $ 42,692,149,004 ", $ 19.40 ,"  18,100,000 ","  161,700,000 ",1.77%,"  320,560.07 ","  2,863,788.02 "
CENTERPOINT ENERGY INC,"  552,726 "," $ 36,387,773,600 ", $ 29.99 ,"  4,891,379 ","  31,301,680 ",0.05%,"  2,228.24 ","  14,259.31 "
CHENIERE ENERGY INC,"  522,547 "," $ 66,237,180,000 ", $ 149.96 ,"  11,168,945 ","  11,168,945 ",0.12%,"  13,213.29 ","  13,213.29 "
CHESAPEAKE ENERGY CORP,"  123,763 "," $ 15,795,063,400 ", $ 94.37 ,"  1,729,353 ","  83,729,353 ",0.07%,"  1,278.75 ","  61,912.90 "
CHEVRON CORP,"  9,559,298 "," $ 354,191,181,400 ", $ 179.49 ,"  53,000,000 ","  645,000,000 ",0.48%,"  256,746.41 ","  3,124,555.40 "
CIVITAS RESOURCES INC,"  110,537 "," $ 4,581,067,200 ", $ 57.93 ,"  1,250,800 ","  1,250,800 ",0.14%,"  1,748.37 ","  1,748.37 "
CMS ENERGY CORP,"  724,609 "," $ 33,410,029,000 ", $ 63.33 ,"  17,687,946 ","  42,502,046 ",0.14%,"  24,294.82 ","  58,377.59 "
CONOCOPHILLIPS,"  4,729,238 "," $ 112,527,312,228 ", $ 87.15 ,"  16,014,000 ","  251,014,000 ",0.37%,"  58,654.59 ","  919,390.76 "
CONTINENTAL RESOURCES INC/OK,  -   , $ -   , $ 54.85 ,"  3,350,000 ","  3,350,000 ",,  -   ,  -   
CRESCENT ENERGY INC-A,"  6,405 "," $ 3,273,949,600 ", $ 11.99 ,"  1,981,075 ","  1,981,075 ",0.00%,  46.47 ,  46.47 
CRESCENT POINT ENERGY CORP,"  3,450,810 "," $ 4,872,505,924 ", $ 7.13 ,"  1,305,425 ","  1,305,425 ",0.51%,"  6,596.06 ","  6,596.06 "
DIAMONDBACK ENERGY INC,"  753,004 "," $ 23,169,150,950 ", $ 101.02 ,"  2,161,367 ","  47,251,969 ",0.33%,"  7,096.19 ","  155,137.44 "
DOMINION ENERGY INC,"  6,673,424 "," $ 69,988,498,518 ", $ 45.29 ,"  33,645,033 ","  62,924,334 ",0.43%,"  145,288.79 ","  271,725.11 "
DTE ENERGY COMPANY,"  624,945 "," $ 32,030,676,988 ", $ 86.80 ,"  27,278,000 ","  53,475,000 ",0.17%,"  46,198.08 ","  90,565.37 "
DUKE ENERGY CORP,"  8,770,210 "," $ 118,331,886,647 ", $ 76.06 ,"  79,220,000 ","  117,808,000 ",0.56%,"  446,606.52 ","  664,148.21 "
