Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
AES CORP,  -   ," $ 45,428,062,000 ", $ 28.76 ,"  40,277,984 ","  50,657,584 ",0.00%,  -   ,  -   
AIR PRODUCTS & CHEMICALS INC,  -   ," $ 57,212,119,700 ", $ 232.73 ,"  26,500,000 ","  34,200,000 ",0.00%,  -   ,  -   
ALBERTA INVESTMENT MANAGEMEN,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
ALLIANT ENERGY CORP,  -   ," $ 22,579,161,500 ", $ 55.21 ,"  13,233,852 ","  13,233,852 ",0.00%,  -   ,  -   
ALTAGAS LTD,  -   ," $ 12,484,999,172 ", $ 17.27 ,"  2,010,956 ","  16,235,456 ",0.00%,  -   ,  -   
ALUMINUM CORP OF CHINA LTD-A,  -   ," $ 25,337,089,217 ", $ 0.65 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
ALUMINUM CORP OF CHINA LTD-H,  -   ," $ 25,337,089,217 ", $ 0.48 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
AMEREN CORPORATION,  -   ," $ 37,888,684,000 ", $ 88.92 ,"  25,011,622 ","  46,495,321 ",0.00%,  -   ,  -   
AMERICAN ELECTRIC POWER,"  6,847 "," $ 89,855,784,400 ", $ 94.95 ,"  51,463,484 ","  93,222,683 ",0.00%,  372.35 ,  674.48 
ARC RESOURCES LTD,  -   ," $ 9,645,342,759 ", $ 13.48 ,"  1,877,921 ","  1,877,921 ",0.00%,  -   ,  -   
ATCO LTD -CLASS I,  -   ," $ 13,267,982,057 ", $ 31.30 ,"  1,040,000 ","  25,551,000 ",0.00%,  -   ,  -   
ATHABASCA OIL CORP,  -   ," $ 1,076,509,138 ", $ 1.78 ,"  920,912 ","  920,912 ",0.00%,  -   ,  -   
