Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
AES CORP,"  1,421,066 "," $ 45,428,062,000 ", $ 28.76 ,"  40,277,984 ","  50,657,584 ",0.09%,"  36,236.53 ","  45,574.66 "
AIR PRODUCTS & CHEMICALS INC,"  427,431 "," $ 57,212,119,700 ", $ 232.73 ,"  26,500,000 ","  34,200,000 ",0.17%,"  46,076.15 ","  59,464.32 "
ALLIANT ENERGY CORP,"  346,189 "," $ 22,579,161,500 ", $ 55.21 ,"  13,233,852 ","  13,233,852 ",0.08%,"  11,202.36 ","  11,202.36 "
ALTAGAS LTD,"  584,210 "," $ 12,484,999,172 ", $ 17.27 ,"  2,010,956 ","  16,235,456 ",0.08%,"  1,624.85 ","  13,118.27 "
ALUMINUM CORP OF CHINA LTD-A,  -   ," $ 25,337,089,217 ", $ 0.65 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
ALUMINUM CORP OF CHINA LTD-H,  -   ," $ 25,337,089,217 ", $ 0.48 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
AMEREN CORPORATION,"  663,236 "," $ 37,888,684,000 ", $ 88.92 ,"  25,011,622 ","  46,495,321 ",0.16%,"  38,931.39 ","  72,371.45 "
AMERICAN ELECTRIC POWER,"  1,882,677 "," $ 89,855,784,400 ", $ 94.95 ,"  51,463,484 ","  93,222,683 ",0.20%,"  102,382.08 ","  185,458.33 "
ARC RESOURCES LTD,"  14,583,025 "," $ 9,645,342,759 ", $ 13.48 ,"  1,877,921 ","  1,877,921 ",2.04%,"  38,269.88 ","  38,269.88 "
ATCO LTD -CLASS I,"  423,039 "," $ 13,267,982,057 ", $ 31.30 ,"  1,040,000 ","  25,551,000 ",0.10%,"  1,037.90 ","  25,499.48 "
ATHABASCA OIL CORP,"  214,817 "," $ 1,076,509,138 ", $ 1.78 ,"  920,912 ","  920,912 ",0.04%,  327.09 ,  327.09 
BATTALION OIL CORP,  123 ," $ 343,388,700 ", $ 9.71 ,  -   ,  -   ,0.00%,  -   ,  -   
BAYTEX ENERGY CORP,"  202,307 "," $ 3,135,105,142 ", $ 4.49 ,"  1,091,032 ","  1,091,032 ",0.03%,  316.15 ,  316.15 
BERKSHIRE HATHAWAY INC-CL A,  17 ," $ 329,576,914,200 "," $ 468,711.00 ",  -   ,  -   ,0.00%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL B,"  3,232,336 "," $ 329,576,914,200 ", $ 308.90 ,  -   ,  -   ,0.30%,  -   ,  -   
BERRY CORP,"  115,505 "," $ 955,625,000 ", $ 8.00 ,  -   ,  -   ,0.10%,  -   ,  -   
BIRCHCLIFF ENERGY LTD,"  404,755 "," $ 1,960,382,990 ", $ 6.96 ,"  382,823 ","  382,823 ",0.14%,  550.49 ,  550.49 
BP PLC,"  14,332,134 "," $ 144,148,168,500 ", $ 474.90 ,"  32,500,000 ","  339,200,000 ",4.72%,"  1,534,571.97 ","  16,016,209.63 "
CANADIAN NATURAL RESOURCES,"  19,102,692 "," $ 69,780,224,625 ", $ 55.53 ,"  26,335,750 ","  150,449,750 ",1.52%,"  400,363.93 ","  2,287,182.00 "
CARLYLE GROUP INC/THE,"  425,588 "," $ 12,616,191,700 ", $ 29.84 ,"  6,012 ","  20,901 ",0.10%,  6.05 ,  21.04 
CENOVUS ENERGY INC,"  16,483,776 "," $ 42,692,149,004 ", $ 19.40 ,"  18,100,000 ","  161,700,000 ",0.75%,"  135,592.07 ","  1,211,339.11 "
CENTERPOINT ENERGY INC,"  1,436,346 "," $ 36,387,773,600 ", $ 29.99 ,"  4,891,379 ","  31,301,680 ",0.12%,"  5,790.44 ","  37,055.08 "
CHENIERE ENERGY INC,"  457,975 "," $ 66,237,180,000 ", $ 149.96 ,"  11,168,945 ","  11,168,945 ",0.10%,"  11,580.51 ","  11,580.51 "
CHESAPEAKE ENERGY CORP,"  271,602 "," $ 15,795,063,400 ", $ 94.37 ,"  1,729,353 ","  83,729,353 ",0.16%,"  2,806.27 ","  135,869.91 "
CHEVRON CORP,"  3,852,775 "," $ 354,191,181,400 ", $ 179.49 ,"  53,000,000 ","  645,000,000 ",0.20%,"  103,478.95 ","  1,259,319.35 "
