Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
AES CORP,"  1,148,155 "," $ 45,428,062,000 ", $ 28.76 ,"  40,277,984 ","  50,657,584 ",0.07%,"  29,277.43 ","  36,822.19 "
AIR PRODUCTS & CHEMICALS INC,"  135,689 "," $ 57,212,119,700 ", $ 232.73 ,"  26,500,000 ","  34,200,000 ",0.06%,"  14,626.99 ","  18,877.09 "
ALBERTA INVESTMENT MANAGEMEN,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
ALLIANT ENERGY CORP,"  312,765 "," $ 22,579,161,500 ", $ 55.21 ,"  13,233,852 ","  13,233,852 ",0.08%,"  10,120.79 ","  10,120.79 "
ALTAGAS LTD,  -   ," $ 12,484,999,172 ", $ 17.27 ,"  2,010,956 ","  16,235,456 ",0.00%,  -   ,  -   
ALUMINUM CORP OF CHINA LTD-A,  -   ," $ 25,337,089,217 ", $ 0.65 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
ALUMINUM CORP OF CHINA LTD-H,  -   ," $ 25,337,089,217 ", $ 0.48 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
AMEREN CORPORATION,"  1,510 "," $ 37,888,684,000 ", $ 88.92 ,"  25,011,622 ","  46,495,321 ",0.00%,  88.64 ,  164.77 
AMERICAN ELECTRIC POWER,"  797,780 "," $ 89,855,784,400 ", $ 94.95 ,"  51,463,484 ","  93,222,683 ",0.08%,"  43,384.17 ","  78,587.54 "
ARC RESOURCES LTD,  -   ," $ 9,645,342,759 ", $ 13.48 ,"  1,877,921 ","  1,877,921 ",0.00%,  -   ,  -   
ATCO LTD -CLASS I,  -   ," $ 13,267,982,057 ", $ 31.30 ,"  1,040,000 ","  25,551,000 ",0.00%,  -   ,  -   
ATHABASCA OIL CORP,  -   ," $ 1,076,509,138 ", $ 1.78 ,"  920,912 ","  920,912 ",0.00%,  -   ,  -   
BANK OF MONTREAL,  -   , $ -   , $ 92.68 ,"  88,871 ","  95,835 ",,  -   ,  -   
BANK OF NOVA SCOTIA,  -   , $ -   , $ 48.68 ,"  98,779 ","  109,286 ",,  -   ,  -   
BATTALION OIL CORP,  -   ," $ 343,388,700 ", $ 9.71 ,  -   ,  -   ,0.00%,  -   ,  -   
BAYTEX ENERGY CORP,  -   ," $ 3,135,105,142 ", $ 4.49 ,"  1,091,032 ","  1,091,032 ",0.00%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL A,"  1,167,784 "," $ 329,576,914,200 "," $ 468,711.00 ",  -   ,  -   ,166.08%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL B,  -   ," $ 329,576,914,200 ", $ 308.90 ,  -   ,  -   ,0.00%,  -   ,  -   
BERRY CORP,  -   ," $ 955,625,000 ", $ 8.00 ,  -   ,  -   ,0.00%,  -   ,  -   
BIRCHCLIFF ENERGY LTD,  -   ," $ 1,960,382,990 ", $ 6.96 ,"  382,823 ","  382,823 ",0.00%,  -   ,  -   
BP PLC,  -   ," $ 144,148,168,500 ", $ 474.90 ,"  32,500,000 ","  339,200,000 ",0.00%,  -   ,  -   
BRITISH COLUMBIA INVESTMENT,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
CAISSE DE DEPOT ET PLACEMENT,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
CANADIAN NATURAL RESOURCES,"  22,144,239 "," $ 69,780,224,625 ", $ 55.53 ,"  26,335,750 ","  150,449,750 ",1.76%,"  464,110.22 ","  2,651,349.08 "
CARLYLE GROUP INC/THE,  -   ," $ 12,616,191,700 ", $ 29.84 ,"  6,012 ","  20,901 ",0.00%,  -   ,  -   
CENOVUS ENERGY INC,"  1,687,766 "," $ 42,692,149,004 ", $ 19.40 ,"  18,100,000 ","  161,700,000 ",0.08%,"  13,883.21 ","  124,028.44 "
CENTERPOINT ENERGY INC,"  694,072 "," $ 36,387,773,600 ", $ 29.99 ,"  4,891,379 ","  31,301,680 ",0.06%,"  2,798.06 ","  17,905.78 "
CHENIERE ENERGY INC,"  168,000 "," $ 66,237,180,000 ", $ 149.96 ,"  11,168,945 ","  11,168,945 ",0.04%,"  4,248.10 ","  4,248.10 "
CHESAPEAKE ENERGY CORP,  -   ," $ 15,795,063,400 ", $ 94.37 ,"  1,729,353 ","  83,729,353 ",0.00%,  -   ,  -   
CHEVRON CORP,"  41,023 "," $ 354,191,181,400 ", $ 179.49 ,"  53,000,000 ","  645,000,000 ",0.00%,"  1,101.81 ","  13,408.79 "
CIBC,  -   ," $ 354,191,181,400 ", $ 179.49 ,"  53,000,000 ","  645,000,000 ",0.00%,  -   ,  -   
CIVITAS RESOURCES INC,"  21,398,753 "," $ 4,581,067,200 ", $ 57.93 ,"  1,250,800 ","  1,250,800 ",27.06%,"  338,464.56 ","  338,464.56 "
CMS ENERGY CORP,"  366,567 "," $ 33,410,029,000 ", $ 63.33 ,"  17,687,946 ","  42,502,046 ",0.07%,"  12,290.33 ","  29,532.20 "
CONOCOPHILLIPS,"  1,105 "," $ 112,527,312,228 ", $ 87.15 ,"  16,014,000 ","  251,014,000 ",0.00%,  13.70 ,  214.82 
CONTINENTAL RESOURCES INC/OK,  -   , $ -   , $ 54.85 ,"  3,350,000 ","  3,350,000 ",,  -   ,  -   
CPPIB,  -   , $ -   , $ 54.85 ,"  3,350,000 ","  3,350,000 ",,  -   ,  -   
CRESCENT ENERGY INC-A,  -   ," $ 3,273,949,600 ", $ 11.99 ,"  1,981,075 ","  1,981,075 ",0.00%,  -   ,  -   
CRESCENT POINT ENERGY CORP,"  474,100 "," $ 4,872,505,924 ", $ 7.13 ,"  1,305,425 ","  1,305,425 ",0.07%,  906.22 ,  906.22 
CSV HOLDINGS INC,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
DIAMONDBACK ENERGY INC,"  22,672 "," $ 23,169,150,950 ", $ 101.02 ,"  2,161,367 ","  47,251,969 ",0.01%,  213.66 ,"  4,670.99 "
DOMINION ENERGY INC,"  11,304,255 "," $ 69,988,498,518 ", $ 45.29 ,"  33,645,033 ","  62,924,334 ",0.73%,"  246,107.77 ","  460,280.95 "
DTE ENERGY COMPANY,"  1,500 "," $ 32,030,676,988 ", $ 86.80 ,"  27,278,000 ","  53,475,000 ",0.00%,  110.89 ,  217.38 
DUKE ENERGY CORP,"  1,283,061 "," $ 118,331,886,647 ", $ 76.06 ,"  79,220,000 ","  117,808,000 ",0.08%,"  65,337.48 ","  97,163.31 "
ECOPETROL SA,  -   ," $ 46,821,436,789 ", $ 0.50 ,"  13,460,534 ","  166,908,534 ",0.00%,  -   ,  -   
EMERA INC,  -   ," $ 25,260,232,900 ", $ 38.22 ,"  14,925,227 ","  23,735,997 ",0.00%,  -   ,  -   
ENBRIDGE INC,"  8,149,625 "," $ 146,572,060,272 ", $ 39.11 ,"  14,408,000 ","  68,508,602 ",0.22%,"  31,334.67 ","  148,993.21 "
ENEL SPA,  -   ," $ 148,452,978,614 ", $ 5.40 ,"  57,089,658 ","  132,889,455 ",0.00%,  -   ,  -   
ENERFLEX LTD,  -   ," $ 1,688,584,050 ", $ 6.31 ,"  30,700 ","  3,175,700 ",0.00%,  -   ,  -   
ENERGY TRANSFER LP,  -   ," $ 73,678,255,672 ", $ 8.77 ,  -   ,  -   ,0.00%,  -   ,  -   
ENERPLUS CORP,"  177,400 "," $ 3,011,580,869 ", $ 17.65 ,"  962,453 ","  962,520 ",0.10%,"  1,000.75 ","  1,000.81 "
ENI SPA,  -   ," $ 62,574,576,119 ", $ 14.26 ,"  40,182,973 ","  219,609,973 ",0.00%,  -   ,  -   
ENTERPRISE PRODUCTS PARTNERS,  -   ," $ 82,329,849,100 ", $ 24.12 ,"  12,000,000 ","  12,000,000 ",0.00%,  -   ,  -   
EOG RESOURCES INC,  10 ," $ 76,104,447,600 ", $ 129.52 ,"  5,450,443 ","  115,741,443 ",0.00%,  0.09 ,  1.97 
EQT CORP,"  676,802 "," $ 16,669,405,300 ", $ 33.83 ,"  702,985 ","  101,720,985 ",0.14%,  965.58 ,"  139,718.55 "
EQUINOR ASA,  -   ," $ 97,317,096,800 ", $ 351.80 ,"  11,500,000 ","  254,550,000 ",0.00%,  -   ,  -   
EQUITRANS MIDSTREAM CORP,  -   ," $ 10,999,079,700 ", $ 6.70 ,"  2,356,195 ","  2,356,195 ",0.00%,  -   ,  -   
EXXON MOBIL CORP,"  101,017 "," $ 474,820,600,000 ", $ 110.30 ,"  105,000,000 ","  825,000,000 ",0.00%,"  2,463.94 ","  19,359.51 "
FIRSTENERGY CORP,  -   ," $ 46,215,171,300 ", $ 41.94 ,"  17,410,250 ","  49,240,650 ",0.00%,  -   ,  -   
FORTIS INC,"  1,114,710 "," $ 43,128,768,173 ", $ 40.02 ,"  8,927,000 ","  116,697,000 ",0.10%,"  9,232.65 ","  120,692.56 "
FRANCO-NEVADA CORP,"  481,700 "," $ 18,449,735,339 ", $ 136.32 ,  50 ,  134 ,0.36%,  0.18 ,  0.48 
FREEHOLD ROYALTIES LTD,  -   ," $ 1,878,026,458 ", $ 11.69 ,  -   ,  -   ,0.00%,  -   ,  -   
GALP ENERGIA SGPS SA,  -   ," $ 15,059,101,521 ", $ 13.53 ,"  3,498,017 ","  50,343,318 ",0.00%,  -   ,  -   
GLENCORE PLC,  -   ," $ 107,969,709,600 ", $ 552.40 ,"  27,037,000 ","  369,137,000 ",0.00%,  -   ,  -   
HALLIBURTON CO,"  216,601 "," $ 42,260,700,000 ", $ 39.35 ,"  3,727,034 ","  3,904,376 ",0.02%,  751.68 ,  787.44 
HEALTHCARE OF ONTARIO PENSION,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
HESS CORP,"  1,610 "," $ 50,727,002,900 ", $ 141.82 ,"  2,666,933 ","  50,912,535 ",0.00%,  12.00 ,  229.17 
IMPERIAL OIL LTD,"  311,230 "," $ 28,938,255,338 ", $ 48.71 ,"  14,930,000 ","  14,930,000 ",0.05%,"  7,821.15 ","  7,821.15 "
INFRAESTRUCTURA ENERGETICA N,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
INTACT FINANCIAL CORP,  -   ," $ 29,009,486,097 ", $ 143.95 ,"  28,451 ","  35,312 ",0.00%,  -   ,  -   
INTER PIPELINE LTD,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
INVESTMENT MANAGEMENT CORP O,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
ITOCHU CORP,  -   ," $ 75,878,056,062 ", $ 31.63 ,"  2,263,692 ","  4,731,172 ",0.00%,  -   ,  -   
KEYERA CORP,  -   ," $ 7,891,236,074 ", $ 21.85 ,"  1,733,232 ","  1,735,962 ",0.00%,  -   ,  -   
KINDER MORGAN INC,"  90,427 "," $ 73,340,083,800 ", $ 18.08 ,"  18,000,000 ","  18,000,000 ",0.00%,  401.26 ,  401.26 
KOREA NATIONAL OIL CORP,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
LEGACY RESERVES INC,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
MANULIFE FINANCIAL CORP,  -   ," $ 50,840,207,754 ", $ 17.84 ,"  240,128 ","  1,987,388 ",0.00%,  -   ,  -   
MARATHON OIL CORP,"  265,764 "," $ 22,880,310,000 ", $ 27.07 ,"  3,360,000 ","  45,410,000 ",0.03%,"  1,056.48 ","  14,278.22 "
MARATHON PETROLEUM CORP,"  1,247,541 "," $ 76,352,060,000 ", $ 116.39 ,"  40,400,000 ","  506,400,000 ",0.19%,"  76,830.05 ","  963,038.02 "
MEG ENERGY CORP,  -   ," $ 5,258,470,523 ", $ 13.92 ,"  2,368,463 ","  2,384,503 ",0.00%,  -   ,  -   
NATIONAL BANK OF CANADA,  -   , $ -   , $ 68.51 ,"  14,523 ","  17,994 ",,  -   ,  -   
NGL SUPPLY CO LTD,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
NRG ENERGY INC,"  43,000 "," $ 15,176,632,000 ", $ 31.82 ,"  37,559,433 ","  37,561,865 ",0.01%,"  3,386.20 ","  3,386.42 "
NUVISTA ENERGY LTD,  -   ," $ 2,236,125,334 ", $ 9.22 ,"  384,381 ","  755,312 ",0.00%,  -   ,  -   
OBSIDIAN ENERGY LTD,  -   ," $ 717,018,885 ", $ 6.63 ,"  395,426 ","  395,426 ",0.00%,  -   ,  -   
OCCIDENTAL PETROLEUM CORP,"  18,210 "," $ 86,606,114,900 ", $ 62.99 ,"  22,500,000 ","  239,500,000 ",0.00%,  298.00 ,"  3,172.04 "
OGE ENERGY CORP,"  34,000 "," $ 12,413,210,000 ", $ 39.55 ,"  10,125,700 ","  18,749,700 ",0.01%,"  1,096.90 ","  2,031.12 "
ONEOK INC,"  30,514 "," $ 42,881,524,600 ", $ 65.70 ,"  6,600,000 ","  70,900,000 ",0.00%,  308.56 ,"  3,314.67 "
ONTARIO MUNICIPAL EMPLOYEES ,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
ONTARIO TEACHERS' PENSION PL,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
OPSEU PENSION PLAN TRUST FUN,  -   , $ -   , $ -   ,  -   ,  -   ,,  -   ,  -   
OVINTIV INC,"  49,862 "," $ 16,947,447,000 ", $ 50.71 ,"  3,738,714 ","  3,738,714 ",0.01%,  557.80 ,  557.80 
PAMPA ENERGIA SA-SPON ADR,  -   ," $ 762,848,269,900 ", $ 31.94 ,"  7,809,890 ","  7,809,890 ",0.00%,  -   ,  -   
