Company, Shareholding , EVIC, Market Closing Price, Emissions (Scope 1&2)," Total Emissions (Scope 1, 2 & 3)",Attribution Factor, Financed Emissions (Scope 1&2)," Financed Emissions (Scope 1,2&3)"
AES CORP,"  592,396 "," $ 45,428,062,000 ", $ 28.76 ,"  40,277,984 ","  50,657,584 ",0.04%,"  15,105.83 ","  18,998.59 "
AIR PRODUCTS & CHEMICALS INC,"  472,273 "," $ 57,212,119,700 ", $ 232.73 ,"  26,500,000 ","  34,200,000 ",0.19%,"  50,910.03 ","  65,702.75 "
ALLIANT ENERGY CORP,"  213,675 "," $ 22,579,161,500 ", $ 55.21 ,"  13,233,852 ","  13,233,852 ",0.05%,"  6,914.33 ","  6,914.33 "
ALTAGAS LTD,"  2,517,412 "," $ 12,484,999,172 ", $ 17.27 ,"  2,010,956 ","  16,235,456 ",0.35%,"  7,001.64 ","  56,527.75 "
ALUMINUM CORP OF CHINA LTD-A,  -   ," $ 25,337,089,217 ", $ 0.65 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
ALUMINUM CORP OF CHINA LTD-H,  -   ," $ 25,337,089,217 ", $ 0.48 ,"  117,640,000 ","  117,640,000 ",0.00%,  -   ,  -   
AMEREN CORPORATION,"  210,459 "," $ 37,888,684,000 ", $ 88.92 ,"  25,011,622 ","  46,495,321 ",0.05%,"  12,353.76 ","  22,965.01 "
AMERICAN ELECTRIC POWER,"  662,598 "," $ 89,855,784,400 ", $ 94.95 ,"  51,463,484 ","  93,222,683 ",0.07%,"  36,032.82 ","  65,271.06 "
ARC RESOURCES LTD,"  7,499,646 "," $ 9,645,342,759 ", $ 13.48 ,"  1,877,921 ","  1,877,921 ",1.05%,"  19,681.14 ","  19,681.14 "
ATCO LTD -CLASS I,"  1,058,181 "," $ 13,267,982,057 ", $ 31.30 ,"  1,040,000 ","  25,551,000 ",0.25%,"  2,596.19 ","  63,783.87 "
ATHABASCA OIL CORP,"  2,350,516 "," $ 1,076,509,138 ", $ 1.78 ,"  920,912 ","  920,912 ",0.39%,"  3,579.05 ","  3,579.05 "
BATTALION OIL CORP,  -   ," $ 343,388,700 ", $ 9.71 ,  -   ,  -   ,0.00%,  -   ,  -   
BAYTEX ENERGY CORP,"  2,209,557 "," $ 3,135,105,142 ", $ 4.49 ,"  1,091,032 ","  1,091,032 ",0.32%,"  3,452.88 ","  3,452.88 "
BERKSHIRE HATHAWAY INC-CL A,  230 ," $ 329,576,914,200 "," $ 468,711.00 ",  -   ,  -   ,0.03%,  -   ,  -   
BERKSHIRE HATHAWAY INC-CL B,"  1,581,360 "," $ 329,576,914,200 ", $ 308.90 ,  -   ,  -   ,0.15%,  -   ,  -   
BERRY CORP,  -   ," $ 955,625,000 ", $ 8.00 ,  -   ,  -   ,0.00%,  -   ,  -   
BIRCHCLIFF ENERGY LTD,"  1,786,347 "," $ 1,960,382,990 ", $ 6.96 ,"  382,823 ","  382,823 ",0.63%,"  2,429.53 ","  2,429.53 "
BP PLC,"  5,917,835 "," $ 144,148,168,500 ", $ 474.90 ,"  32,500,000 ","  339,200,000 ",1.95%,"  633,635.14 ","  6,613,201.21 "
CANADIAN NATURAL RESOURCES,"  28,553,831 "," $ 69,780,224,625 ", $ 55.53 ,"  26,335,750 ","  150,449,750 ",2.27%,"  598,445.71 ","  3,418,775.13 "
CARLYLE GROUP INC/THE,"  248,523 "," $ 12,616,191,700 ", $ 29.84 ,"  6,012 ","  20,901 ",0.06%,  3.53 ,  12.29 
CENOVUS ENERGY INC,"  41,107,777 "," $ 42,692,149,004 ", $ 19.40 ,"  18,100,000 ","  161,700,000 ",1.87%,"  338,143.92 ","  3,020,876.89 "
CENTERPOINT ENERGY INC,"  575,053 "," $ 36,387,773,600 ", $ 29.99 ,"  4,891,379 ","  31,301,680 ",0.05%,"  2,318.25 ","  14,835.31 "
CHENIERE ENERGY INC,"  345,891 "," $ 66,237,180,000 ", $ 149.96 ,"  11,168,945 ","  11,168,945 ",0.08%,"  8,746.31 ","  8,746.31 "
CHESAPEAKE ENERGY CORP,"  45,862 "," $ 15,795,063,400 ", $ 94.37 ,"  1,729,353 ","  83,729,353 ",0.03%,  473.86 ,"  22,942.64 "
CHEVRON CORP,"  5,312,961 "," $ 354,191,181,400 ", $ 179.49 ,"  53,000,000 ","  645,000,000 ",0.27%,"  142,697.06 ","  1,736,596.24 "
CIVITAS RESOURCES INC,  -   ," $ 4,581,067,200 ", $ 57.93 ,"  1,250,800 ","  1,250,800 ",0.00%,  -   ,  -   
CMS ENERGY CORP,"  994,372 "," $ 33,410,029,000 ", $ 63.33 ,"  17,687,946 ","  42,502,046 ",0.19%,"  33,339.49 ","  80,110.85 "
CONOCOPHILLIPS,"  3,383,045 "," $ 112,527,312,228 ", $ 87.15 ,"  16,014,000 ","  251,014,000 ",0.26%,"  41,958.37 ","  657,683.19 "
CONTINENTAL RESOURCES INC/OK,  -   , $ -   , $ 54.85 ,"  3,350,000 ","  3,350,000 ",,  -   ,  -   
CRESCENT ENERGY INC-A,  -   ," $ 3,273,949,600 ", $ 11.99 ,"  1,981,075 ","  1,981,075 ",0.00%,  -   ,  -   
CRESCENT POINT ENERGY CORP,"  7,458,956 "," $ 4,872,505,924 ", $ 7.13 ,"  1,305,425 ","  1,305,425 ",1.09%,"  14,257.44 ","  14,257.44 "
DIAMONDBACK ENERGY INC,"  215,420 "," $ 23,169,150,950 ", $ 101.02 ,"  2,161,367 ","  47,251,969 ",0.09%,"  2,030.08 ","  44,381.85 "
DOMINION ENERGY INC,"  763,047 "," $ 69,988,498,518 ", $ 45.29 ,"  33,645,033 ","  62,924,334 ",0.05%,"  16,612.49 ","  31,069.36 "
DTE ENERGY COMPANY,"  251,083 "," $ 32,030,676,988 ", $ 86.80 ,"  27,278,000 ","  53,475,000 ",0.07%,"  18,560.92 ","  36,386.28 "
DUKE ENERGY CORP,"  813,191 "," $ 118,331,886,647 ", $ 76.06 ,"  79,220,000 ","  117,808,000 ",0.05%,"  41,410.23 ","  61,581.12 "
ECOPETROL SA,  -   ," $ 46,821,436,789 ", $ 0.50 ,"  13,460,534 ","  166,908,534 ",0.00%,  -   ,  -   
EMERA INC,"  4,631,049 "," $ 25,260,232,900 ", $ 38.22 ,"  14,925,227 ","  23,735,997 ",0.70%,"  104,582.80 ","  166,320.90 "
ENBRIDGE INC,"  47,408,742 "," $ 146,572,060,272 ", $ 39.11 ,"  14,408,000 ","  68,508,602 ",1.27%,"  182,282.88 ","  866,736.89 "
ENEL SPA,"  458,534 "," $ 148,452,978,614 ", $ 5.40 ,"  57,089,658 ","  132,889,455 ",0.00%,  951.92 ,"  2,215.82 "
ENERFLEX LTD,"  1,191,013 "," $ 1,688,584,050 ", $ 6.31 ,"  30,700 ","  3,175,700 ",0.44%,  136.58 ,"  14,127.92 "
ENERGY TRANSFER LP,"  39,226 "," $ 73,678,255,672 ", $ 8.77 ,  -   ,  -   ,0.00%,  -   ,  -   
ENERPLUS CORP,"  1,810,660 "," $ 3,011,580,869 ", $ 17.65 ,"  962,453 ","  962,520 ",1.06%,"  10,214.26 ","  10,214.97 "
ENI SPA,"  157,245 "," $ 62,574,576,119 ", $ 14.26 ,"  40,182,973 ","  219,609,973 ",0.00%,"  1,439.82 ","  7,868.98 "
ENTERPRISE PRODUCTS PARTNERS,"  402,798 "," $ 82,329,849,100 ", $ 24.12 ,"  12,000,000 ","  12,000,000 ",0.01%,"  1,416.08 ","  1,416.08 "
EOG RESOURCES INC,"  683,319 "," $ 76,104,447,600 ", $ 129.52 ,"  5,450,443 ","  115,741,443 ",0.12%,"  6,338.44 ","  134,598.18 "
EQT CORP,"  441,178 "," $ 16,669,405,300 ", $ 33.83 ,"  702,985 ","  101,720,985 ",0.09%,  629.42 ,"  91,076.49 "
EQUINOR ASA,"  2,299,850 "," $ 97,317,096,800 ", $ 351.80 ,"  11,500,000 ","  254,550,000 ",0.83%,"  95,610.16 ","  2,116,310.10 "
