"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2018","5,127,883","74,837,747",""
"BANK OF MONTREAL /CAN/","12/31/2018","3,919,648","57,204,425",""
"Vanguard Group Inc","12/31/2018","2,680,575","39,121,059",""
"TD ASSET MANAGEMENT INC","12/31/2018","2,531,114","36,996,523",""
"MACKENZIE FINANCIAL CORP","12/31/2018","1,484,759","21,668,991",""
"CIBC World Markets Inc.","12/31/2018","1,465,101","21,382,093",""
"FIL Ltd","12/31/2018","1,422,557","20,784,195",""
"Beutel, Goodman & Co Ltd.","12/31/2018","1,183,195","17,282,064",""
"NORGES BANK","12/31/2018","1,021,258","14,927,439",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2018","975,577","14,259,882",""
"CIBC Asset Management Inc","12/31/2018","912,947","13,334,834",""
"TORONTO DOMINION BANK","12/31/2018","913,671","13,317,075",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2018","872,610","12,748,113",""
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2018","868,038","12,688,000",""
"1832 Asset Management L.P.","12/31/2018","868,044","12,669,024",""
"BANK OF NOVA SCOTIA","12/31/2018","830,891","12,126,248",""
"Jarislowsky, Fraser Ltd","12/31/2018","814,994","11,912,666",""
"Capital Research Global Investors","12/31/2018","771,379","11,270,186",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2018","696,501","10,164,928",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2018","560,395","8,191,258",""
"SCOTIA CAPITAL INC.","12/31/2018","441,459","6,459,237",""
"OMERS ADMINISTRATION Corp","12/31/2018","412,131","6,024,057",""
"Mawer Investment Management Ltd.","12/31/2018","402,169","5,839,128",""
"FRANKLIN RESOURCES INC","12/31/2018","395,761","5,785,316",""
"Legal & General Group Plc","12/31/2018","359,407","5,253,470",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2018","357,460","5,235,970",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2018","353,956","5,173,733",""
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2018","350,874","5,129,110",""
"GUARDIAN CAPITAL LP","12/31/2018","335,832","4,908,810",""
