"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"NVDA","NVIDIA CORPORATION","COM","67066G104","4,037,764","3.8%","30,067,502","",""
"AAPL","APPLE INC","COM","037833100","3,845,572","3.7%","15,356,490","",""
"MSFT","MICROSOFT CORP","COM","594918104","3,788,990","3.6%","8,989,302","",""
"MA","MASTERCARD INCORPORATED","CL A","57636Q104","2,470,137","2.4%","4,690,995","",""
"UNH","UNITEDHEALTH GROUP INC","COM","91324P102","2,186,834","2.1%","4,323,003","",""
"AMZN","AMAZON COM INC","COM","023135106","2,061,275","2.0%","9,395,483","",""
"GOOGL","ALPHABET INC","CAP STK CL A","02079K305","2,032,178","1.9%","10,735,225","",""
"VIK","VIKING HOLDINGS LTD","ORD SHS","G93A5A101","1,997,310","1.9%","45,331,610","",""
"META","META PLATFORMS INC","CL A","30303M102","1,708,550","1.6%","2,918,055","",""
"INFA","INFORMATICA INC","COM CL A","45674M101","1,669,369","1.6%","64,379,838","",""
"LIN","LINDE PLC","SHS","G54950103","1,596,163","1.5%","3,812,461","",""
"SRAD","SPORTRADAR GROUP AG","CLASS A ORD SHS","H8088L103","1,379,485","1.3%","79,555,080","",""
"WAY","WAYSTAR HLDG CORP","COM","946784105","1,365,586","1.3%","37,209,454","",""
"AVGO","BROADCOM INC","COM","11135F101","1,350,573","1.3%","5,825,454","",""
"TMUS","T-MOBILE US INC","COM","872590104","1,329,919","1.3%","6,025,096","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","1,311,060","1.2%","2,237,000","",""
"GE","GE AEROSPACE","COM NEW","369604301","1,259,437","1.2%","7,551,038","",""
"GOOG","ALPHABET INC","CAP STK CL C","02079K107","1,186,429","1.1%","6,229,939","",""
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","1,139,753","1.1%","36,963,702","",""
"LYV","LIVE NATION ENTERTAINMENT IN","COM","538034109","1,120,176","1.1%","8,650,015","",""
"UNP","UNION PAC CORP","COM","907818108","951,704","0.9%","4,173,412","",""
"JPM","JPMORGAN CHASE & CO.","COM","46625H100","925,031","0.9%","3,858,960","",""
"TSLA","TESLA INC","COM","88160R101","898,065","0.9%","2,223,815","",""
"EQH","EQUITABLE HLDGS INC","COM","29452E101","897,752","0.9%","19,032,270","",""
