"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2018","2,076,027","27,851,159",""
"TD ASSET MANAGEMENT INC","12/31/2018","1,274,816","17,123,761",""
"BANK OF MONTREAL /CAN/","12/31/2018","1,214,934","16,299,093",""
"Vanguard Group Inc","12/31/2018","901,906","12,099,618",""
"TORONTO DOMINION BANK","12/31/2018","689,872","9,251,221",""
"CIBC Asset Management Inc","12/31/2018","609,653","8,183,163",""
"1832 Asset Management L.P.","12/31/2018","529,287","7,100,158",""
"CIBC World Markets Inc.","12/31/2018","482,407","6,471,781",""
"BANK OF NOVA SCOTIA","12/31/2018","455,949","6,116,847",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2018","449,811","6,041,959",""
"DEUTSCHE BANK AG\","12/31/2018","369,230","4,953,531",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2018","333,870","4,484,000",""
"NORGES BANK","12/31/2018","309,767","4,160,587",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2018","300,470","4,030,995",""
"FRANKLIN RESOURCES INC","12/31/2018","299,862","4,026,188",""
"QV Investors Inc.","12/31/2018","348,921","3,431,564",""
"APG Asset Management N.V.","12/31/2018","222,641","3,418,660",""
"APG Asset Management N.V.","12/31/2018","222,641","3,418,660",""
"OMERS ADMINISTRATION Corp","12/31/2018","253,377","3,403,441",""
"CAUSEWAY CAPITAL MANAGEMENT LLC","12/31/2018","212,643","2,852,739",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2018","206,532","2,774,206",""
"ROYAL BANK OF CANADA","12/31/2018","158,718","2,129,300","put"
"AQR CAPITAL MANAGEMENT LLC","12/31/2018","155,457","2,088,154",""
"Skandinaviska Enskilda Banken AB (publ)","12/31/2018","148,946","1,998,425",""
"FEDERATED INVESTORS INC /PA/","12/31/2018","145,852","1,956,698",""
"MACKENZIE FINANCIAL CORP","12/31/2018","129,028","1,730,993",""
"Legal & General Group Plc","12/31/2018","126,690","1,701,761",""
