Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
VST,VISTRA ENERGY CORP,COM,92840M102,"10,373",0.1%,"269,310",,
NFG,NATIONAL FUEL GAS CO N J,COM,636180101,"8,383",0.1%,"167,099",,
COP,CONOCOPHILLIPS,COM,20825C104,"6,277",0.1%,"54,085",,
CHRD,CHORD ENERGY CORPORATION,COM NEW,674215207,"6,173",0.1%,"37,140",,
CTRA,CABOT OIL & GAS CORP,COM,127097103,"6,016",0.1%,"235,762",,
XEL,XCEL ENERGY INC,COM,98389B100,"5,969",0.1%,"96,419",,
EOG,EOG RES INC,COM,26875P101,"5,920",0.1%,"48,949",,
MOH,MOLINA HEALTHCARE INC,COM,60855R100,"5,694",0.1%,"15,761",,
OGE,OGE ENERGY CORP,COM,670837103,"5,577",0.1%,"159,676",,
EVRG,EVERGY INC,COM,30034W106,"5,189",0.1%,"99,409",,
CNP,CENTERPOINT ENERGY INC,COM,15189T107,"4,522",0.0%,"158,279",,
BKH,BLACK HILLS CORP,COM,092113109,"3,852",0.0%,"71,413",,
NWE,NORTHWESTERN CORP,COM NEW,668074305,"3,120",0.0%,"61,319",,
AES,AES CORP,COM,00130H105,"3,053",0.0%,"158,615",,
CHK,CHESAPEAKE ENERGY CORP,COM,165167735,"2,992",0.0%,"38,899",,
IMO.TO,IMPERIAL OIL LTD,COM NEW,453038408,"2,221",0.0%,"38,988",,
BHF,BRIGHTHOUSE FINL INC,COM,10922N103,"2,203",0.0%,"41,636",,
FANG,DIAMONDBACK ENERGY INC,COM,25278X109,"2,143",0.0%,"13,823",,
PXD,PIONEER NAT RES CO,COM,723787107,"1,818",0.0%,"8,088",,
MRO,MARATHON OIL CORP,COM,565849106,"1,813",0.0%,"75,062",,
OKE,ONEOK INC NEW,COM,682680103,"1,740",0.0%,"24,784",,
CMS,CMS ENERGY CORP,COM,125896100,"1,702",0.0%,"29,325",,
ENB.TO,ENBRIDGE INC,COM,29250N105,"1,601",0.0%,"44,296",,
BC,BRUNSWICK CORP,COM,117043109,"1,582",0.0%,"16,355",,
XOM,EXXON MOBIL CORP,COM,30231G102,"1,271",0.0%,"12,713",,
WEC,WEC ENERGY GROUP INC,COM,92939U106,"1,165",0.0%,"13,848",,
FTS.TO,FORTIS INC,COM,349553107,"1,135",0.0%,"27,616",,
ALE,ALLETE INC,COM NEW,018522300,"1,119",0.0%,"18,303",,
CR,CRANE NXT CO,COM,224441105,"1,064",0.0%,"18,720",,
STX,SEAGATE TECHNOLOGY HLDNGS PL,ORD SHS,G7997R103,"1,034",0.0%,"12,122",,
ORI,OLD REP INTL CORP,COM,680223104,777,0.0%,"26,429",,
CSX,CSX CORP,COM,126408103,769,0.0%,"22,207",,
KMI,KINDER MORGAN INC DEL,COM,49456B101,606,0.0%,"34,377",,
ENR,ENERGIZER HLDGS INC NEW,COM,29272W109,575,0.0%,"18,178",,
PGR,PROGRESSIVE CORP OHIO,COM,743315103,560,0.0%,"3,517",,
IVZ,INVESCO LTD,SHS,G491BT108,414,0.0%,"23,214",,
DVN,DEVON ENERGY CORP NEW,COM,25179M103,398,0.0%,"8,798",,
DTE,DTE ENERGY CO,COM,233331107,255,0.0%,"2,319",,
