Facility ID,Deal Effective Date,Issuer Name,Deal Size (USD),League Credit (USD),Tranches
BF249192 Corp-20180104,1/4/2018,Cogeco Communications USA II LP,"1,850,000,000","462,500,000",2
BF264464 Corp-20180105,1/5/2018,Ember Resources Inc,"201,519,500","201,519,500",1
BF238832 Corp-20180117,1/17/2018,CPPIB Capital Inc,"3,209,282,000","1,604,641,000",2
BF139659 Corp-20180131,1/31/2018,OMERS Finance Trust,"3,044,561,250","608,912,250",1
BF131433 Corp-20180207,2/7/2018,North West Redwater Partnership,"2,784,862,500","928,287,500",2
BF264466 Corp-20180208,2/8/2018,Colas Canada Inc,"1,100,000,000","220,000,000",2
BF098282 Corp-20180216,2/16/2018,Hydro-Quebec,"2,000,000,000","500,000,000",1
BF239835 Corp-20180221,2/21/2018,Franco-Nevada Barbados Corp,"100,000,000","100,000,000",1
BF266607 Corp-20180223,2/23/2018,HNC 500 Block I LP,"89,260,621","89,260,621",1
BF262495 Corp-20180228,2/28/2018,Amynta Agency Borrower Inc,"662,500,000","132,500,000",2
BF262507 Corp-20180228,2/28/2018,Amynta Agency Borrower Inc,"175,000,000","35,000,000",1
BF049227 Corp-20180301,3/1/2018,Ari Financial Services Inc,"163,144,800","163,144,800",1
BF266833 Corp-20180301,3/1/2018,Kingsett Senior Mortgage Fund LP,"77,688,000","38,844,000",1
BF266142 Corp-20180302,3/2/2018,Groupe Veterinaire Daubigny Inc,"12,403,440","12,403,440",2
BF095025 Corp-20180306,3/6/2018,Anglo American Capital PLC,"4,500,000,000","187,500,000",1
BF265714 Corp-20180306,3/6/2018,Ontario Gaming GTA LP,"814,041,900","271,347,300",2
BF092574 Corp-20180307,3/7/2018,Franco-Nevada Corp,"1,000,000,000","500,000,000",1
BF237648 Corp-20180313,3/13/2018,Gateway Casinos & Entertainment Ltd,"450,944,750","50,104,972",2
BF512814 Corp-20180313,3/13/2018,Honda Canada Finance Inc,"1,236,744,000","618,372,000",2
LN395230 Corp-20180316,3/16/2018,Gildan Activewear Inc,"1,000,000,000","333,333,333",1
BF268651 Corp-20180316,3/16/2018,Koole Terminals Subholding II BV,"627,973,010","78,496,625",3
LN389156 Corp-20180319,3/19/2018,British Columbia Ferry Services Inc,"118,643,045","118,643,045",1
BF221524 Corp-20180321,3/21/2018,Husky Midstream LP,"941,885,140","313,961,713",3
BF119869 Corp-20180321,3/21/2018,AtkinsRealis Group Inc,"2,007,296,200","223,032,911",2
BF087671 Corp-20180322,3/22/2018,Canadian Canola Growers Association,"1,162,507,500","1,162,507,500",1
BF228000 Corp-20180322,3/22/2018,Wolf Pipeline Inc,"1,178,007,600","294,501,900",2
LN096906 Corp-20180323,3/23/2018,Greater Toronto Airports Authority,"1,207,569,350","1,207,569,350",2
LN422451 Corp-20180328,3/28/2018,Ovintiv Canada ULC,"2,500,000,000","833,333,333",1
BF253817 Corp-20180329,3/29/2018,Amenity Holdings Inc,"178,661,472","178,661,472",3
BF263333 Corp-20180402,4/2/2018,STEP Energy Services Ltd,"250,000,000","125,000,000",1
BF512730 Corp-20180404,4/4/2018,Aeroports de Montreal,"117,238,800","117,238,800",1
BF085644 Corp-20180406,4/6/2018,Canfor Pulp Ltd,"86,254,520","43,127,260",1
BF265904 Corp-20180406,4/6/2018,American Greetings Corp,"720,000,000","80,000,000",2
BF268046 Corp-20180410,4/10/2018,Nutrien Ltd,"4,500,000,000","900,000,000",1
LN255502 Corp-20180418,4/18/2018,"Just Energy Ontario LP,Just Energy US Corp","298,517,940","149,258,970",3
BF163120 Corp-20180420,4/20/2018,Veresen Midstream LP,"2,158,810,500","269,851,313",2
BF060994 Corp-20180424,4/24/2018,WSP Global Inc,"1,200,000,000","1,200,000,000",1
BF050304 Corp-20180425,4/25/2018,Transcontinental Inc,"750,000,000","375,000,000",6
LN382790 Corp-20180426,4/26/2018,NuVista Energy Ltd,"240,993,690","240,993,690",1
BF269920 Corp-20180430,4/30/2018,Dayforce Inc,"980,000,000","81,666,667",2
LN469985 Corp-20180430,4/30/2018,Bonterra Energy Corp,"296,295,120","296,295,120",2
BF270188 Corp-20180430,4/30/2018,Ontario Gaming West GTA LP,"202,728,240","101,364,120",1
BF273215 Corp-20180430,4/30/2018,Strategic Family Inc,"60,000,000","30,000,000",2
BF270188 Corp-20180503,5/3/2018,Ontario Gaming West GTA LP,"19,455,250","9,727,625",1
BF270397 Corp-20180507,5/7/2018,TELUS Corp,"1,751,150,250","350,230,050",1
BF168461 Corp-20180509,5/9/2018,Freehold Royalties Ltd,"140,087,700","140,087,700",2
BF270421 Corp-20180510,5/10/2018,Atlantica Sustainable Infrastructure Ltd,"215,000,000","30,714,286",1
BF273554 Corp-20180510,5/10/2018,Metro Inc/CN,"391,348,000","130,449,333",3
BF274346 Corp-20180515,5/15/2018,Flex Intermediate Holdco LLC,"2,415,000,000","172,500,000",3
BF119581 Corp-20180524,5/24/2018,Cardinal Energy Ltd,"252,142,150","252,142,150",2
BF273204 Corp-20180524,5/24/2018,Rio Bravo Wind Capital LLC,"278,100,000","55,620,000",2
BF201399 Corp-20180525,5/25/2018,CYM Toronto Acquisition LP,"86,296,896","43,148,448",1
BF254840 Corp-20180530,5/30/2018,Canlin Energy Corp,"128,282,385","64,141,192",2
BF116208 Corp-20180530,5/30/2018,Open Text Corp,"1,000,000,000","71,428,571",1
BF105441 Corp-20180531,5/31/2018,Black Swan Energy Ltd,"192,957,750","192,957,750",1
