Facility ID,Deal Effective Date,Issuer Name,Deal Size (USD),League Credit (USD),Tranches
BF262102 Corp-20180103,1/3/2018,Deschenes Group Inc,"251,254,395","125,627,197",2
BF242260 Corp-20180130,1/30/2018,Sherritt International Corp,"56,773,710","56,773,710",1
BF266075 Corp-20180130,1/30/2018,"Demers Ambulance USA Inc,Demers Ambulance Manufacturer Inc","56,126,855","28,063,428",3
BF753031 Corp-20180131,1/31/2018,CBI Health Group,"267,921,390","133,960,695",2
BF484351 Corp-20180201,2/1/2018,Innergex Renewable Energy Inc,"241,996,164","61,027,950",2
BF228431 Corp-20180201,2/1/2018,Centerra BC Holdings Inc,"500,000,000","250,000,000",1
BF267713 Corp-20180206,2/6/2018,Ellisdon Infrastructure Mgh Inc,"270,727,421","90,242,474",2
BF267717 Corp-20180213,2/13/2018,9337-7331 Quebec Inc,"110,000,000","110,000,000",2
BF331925 Corp-20180216,2/16/2018,Algonquin Power Co,"159,494,800","159,494,800",2
BF255766 Corp-20180219,2/19/2018,Groupe Champlain Inc,"34,635,701","34,635,701",2
BF265919 Corp-20180221,2/21/2018,Ellisdon Infrastructure Ntc GP,"97,833,438","48,916,719",1
BF267687 Corp-20180302,3/2/2018,Ovivo Inc,"108,530,100","108,530,100",4
BF237648 Corp-20180313,3/13/2018,Gateway Casinos & Entertainment Ltd,"450,944,750","50,104,972",2
BF267711 Corp-20180316,3/16/2018,Meritage Midstream Services II LLC,"500,000,000","125,000,000",1
BF119869 Corp-20180321,3/21/2018,AtkinsRealis Group Inc,"2,007,296,200","223,032,911",2
BF812429 Corp-20180323,3/23/2018,Bombardier Inc,"800,000,000","160,000,000",2
BF199729 Corp-20180329,3/29/2018,Boralex Inc,"356,547,840","356,547,840",2
BF261105 Corp-20180401,4/1/2018,Saputo Foods Ltd,"1,001,651,300","500,825,650",3
BF273764 Corp-20180403,4/3/2018,Savaria Corp,"125,073,760","125,073,760",2
BF174624 Corp-20180404,4/4/2018,Aspenleaf Energy Ltd,"101,606,960","50,803,480",2
BF051566 Corp-20180406,4/6/2018,Energir Inc,"627,305,600","209,101,867",1
