Facility ID,Deal Effective Date,Issuer Name,Deal Size (USD),League Credit (USD),Tranches
BF081518 Corp-20180102,1/2/2018,Premier Dental Services Inc,"351,304,825","117,101,608",1
BF228900 Corp-20180103,1/3/2018,Kronos Foods Corp,"52,720,000","52,720,000",2
BF262102 Corp-20180103,1/3/2018,Deschenes Group Inc,"251,254,395","125,627,197",2
BF249192 Corp-20180104,1/4/2018,Cogeco Communications USA II LP,"1,850,000,000","462,500,000",2
BF262115 Corp-20180105,1/5/2018,IPC Canada ltd,"201,519,500","201,519,500",2
BF126509 Corp-20180112,1/12/2018,Primero Mining Corp,"75,000,000","75,000,000",1
BF182815 Corp-20180112,1/12/2018,DS Containers Inc,"185,000,000","92,500,000",3
BF238832 Corp-20180117,1/17/2018,CPPIB Capital Inc,"3,209,282,000","1,604,641,000",2
BF265437 Corp-20180122,1/22/2018,Brookfield Renewable UK Hydro Ltd,"209,373,000","69,791,000",2
BF248202 Corp-20180123,1/23/2018,US Anesthesia Partners Inc,"945,000,000","135,000,000",1
BF263718 Corp-20180126,1/26/2018,ITG Inc,"150,000,000","50,000,000",1
BF192366 Corp-20180126,1/26/2018,Talos Energy Ventures GOM LLC,"250,000,000","83,333,333",1
BF141590 Corp-20180129,1/29/2018,Ryan Specialty LLC,"100,000,000","50,000,000",1
BF266075 Corp-20180130,1/30/2018,"Demers Ambulance USA Inc,Demers Ambulance Manufacturer Inc","56,126,855","28,063,428",3
BF050914 Corp-20180131,1/31/2018,CTO Realty Growth Inc,"30,000,000","30,000,000",1
BF753031 Corp-20180131,1/31/2018,CBI Health Group,"267,921,390","133,960,695",2
BF139659 Corp-20180131,1/31/2018,OMERS Finance Trust,"3,044,561,250","608,912,250",1
LN356309 Corp-20180201,2/1/2018,Laureate Education Inc,"1,238,000,000","137,555,556",1
BF484351 Corp-20180201,2/1/2018,Innergex Renewable Energy Inc,"241,996,164","61,027,950",2
BF191110 Corp-20180201,2/1/2018,"Slate Office US Inc,Slate Office I LP","206,535,610","103,267,805",2
