"Manager","Report Date","Value ($000)","Shares","Option Type"
"FLOW TRADERS U.S. LLC","12/31/2020","1,062","17,366",""
"HRT FINANCIAL LP","12/31/2020","917","15,001",""
"JANE STREET GROUP, LLC","12/31/2020","720","11,767",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2020","522","8,530",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2020","522","8,530",""
"CITADEL ADVISORS LLC","12/31/2020","313","5,119",""
"OLD MISSION CAPITAL, LLC","12/31/2020","274","4,495",""
"Tower Research Capital LLC (TRC)","12/31/2020","101","1,649",""
"ADVISOR GROUP HOLDINGS, INC.","12/31/2020","28","455",""
"IFP Advisors, Inc","12/31/2020","0","0",""
"PROEQUITIES, INC.","12/31/2020","0","0",""
