"Manager","Report Date","Value ($000)","Shares","Option Type"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2023","4,676","11,290",""
"CITADEL ADVISORS LLC","12/31/2023","1,942","4,688",""
"JANE STREET GROUP, LLC","12/31/2023","1,492","3,604",""
"HRT FINANCIAL LP","12/31/2023","1,212","2,926",""
"Tower Research Capital LLC (TRC)","12/31/2023","770","1,860",""
"RENAISSANCE TECHNOLOGIES LLC","12/31/2023","663","1,600",""
"CANTOR FITZGERALD, L. P.","12/31/2023","533","1,287",""
"Wedmont Private Capital","12/31/2023","471","1,145",""
"TWO SIGMA SECURITIES, LLC","12/31/2023","317","767",""
"HighTower Advisors, LLC","12/31/2023","207","500",""
"Smithfield Trust Co","12/31/2023","139","335",""
"Pathway Financial Advisers, LLC","12/31/2023","56","137",""
"Coppell Advisory Solutions LLC","12/31/2023","27","67",""
"Signature Resources Capital Management, LLC","12/31/2023","25","62",""
"SIGNATUREFD, LLC","12/31/2023","1","3",""
"UBS Group AG","12/31/2023","0","1",""
"JPMORGAN CHASE & CO","12/31/2023","0","1",""
"JPMORGAN CHASE & CO","12/31/2023","0","1",""
"CONCOURSE FINANCIAL GROUP SECURITIES, INC.","12/31/2023","0","0",""
