"Manager","Report Date","Value ($000)","Shares","Option Type"
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2022","2,461","5,008",""
"HRT FINANCIAL LP","12/31/2022","1,848","3,762",""
"CANTOR FITZGERALD, L. P.","12/31/2022","1,473","2,998",""
"Tower Research Capital LLC (TRC)","12/31/2022","1,376","2,800",""
"CITADEL ADVISORS LLC","12/31/2022","1,010","2,055",""
"Wedmont Private Capital","12/31/2022","559","1,145",""
"OLD MISSION CAPITAL LLC","12/31/2022","228","464",""
"Pathway Financial Advisers, LLC","12/31/2022","116","237",""
"Coppell Advisory Solutions Corp.","12/31/2022","58","120",""
"Coppell Advisory Solutions LLC","12/31/2022","58","120",""
"MORGAN STANLEY","12/31/2022","35","72",""
"JPMORGAN CHASE & CO","12/31/2022","25","50",""
"HARBOUR INVESTMENTS, INC.","12/31/2022","4","10",""
"ATTICUS WEALTH MANAGEMENT, LLC","12/31/2022","1","3",""
"UBS Group AG","12/31/2022","0","1",""
"CONCOURSE FINANCIAL GROUP SECURITIES, INC.","12/31/2022","0","0",""
