"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"IWM","ISHARES TR","RUSSELL 2000 ETF","464287655","2,123,879","10%","12,181,000","",""
"MA","MASTERCARD INCORPORATED","CL A","57636Q104","605,635","3.0%","1,741,684","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","579,539","2.8%","1,515,414","",""
"AAPL","APPLE INC","COM","037833100","506,062","2.5%","3,894,882","",""
"BNS.TO","BANK NOVA SCOTIA HALIFAX","COM","064149107","457,661","2.2%","9,350,500","",""
"RY.TO","ROYAL BK CDA SUSTAINABL","COM","780087102","339,399","1.7%","3,613,682","",""
"HYG","ISHARES TR","IBOXX HI YD ETF","464288513","333,543","1.6%","4,530,000","","put"
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","330,072","1.6%","5,950,000","",""
"KRE","SPDR SER TR","S&P REGL BKG","78464A698","320,133","1.6%","5,450,000","",""
"MSFT","MICROSOFT CORP","COM","594918104","313,748","1.5%","1,308,268","",""
"QQQ","INVESCO QQQ TR","UNIT SER 1","46090E103","309,949","1.5%","1,164,000","",""
"XOP","SPDR SER TR","S&P OILGAS EXP","78468R556","281,407","1.4%","2,071,000","",""
"SMH","VANECK ETF TRUST","SEMICONDUCTR ETF","92189F676","249,616","1.2%","1,230,000","",""
"BABA","ALIBABA GROUP HLDG LTD","SPONSORED ADS","01609W102","247,797","1.2%","2,813,000","",""
"TRP.TO","TC ENERGY CORP","COM","87807B107","243,735","1.2%","6,120,018","",""
"XLU","SELECT SECTOR SPDR TR","SBI INT-UTILS","81369Y886","226,135","1.1%","3,207,591","",""
"IWB","ISHARES TR","RUS 1000 ETF","464287622","221,046","1.1%","1,050,000","",""
"XRT","SPDR SER TR","S&P RETAIL ETF","78464A714","215,081","1.1%","3,558,000","",""
"CM.TO","CANADIAN IMPERIAL BK COMM TO","COM","136069101","204,953","1.0%","5,072,000","",""
"IBB","ISHARES TR","ISHARES BIOTECH","464287556","203,499","1.0%","1,550,000","",""
"BMO.TO","BANK MONTREAL QUE","COM","063671101","201,587","1.0%","2,227,550","",""
"PPL.TO","PEMBINA PIPELINE CORP","COM","706327103","194,467","1.0%","5,735,000","",""
"XLP","SELECT SECTOR SPDR TR","SBI CONS STPLS","81369Y308","186,375","0.9%","2,500,000","",""
"C","CITIGROUP INC","COM NEW","172967424","186,302","0.9%","4,119,001","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","158,044","0.8%","1,178,559","",""
"TSM","TAIWAN SEMICONDUCTOR MFG LTD","SPONSORED ADS","874039100","156,063","0.8%","2,095,100","",""
"XLI","SELECT SECTOR SPDR TR","SBI INT-INDS","81369Y704","154,912","0.8%","1,577,356","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","144,225","0.7%","4,551,400","",""
"XBI","SPDR SER TR","S&P BIOTECH","78464A870","141,515","0.7%","1,705,000","",""
"HYG","ISHARES TR","IBOXX HI YD ETF","464288513","131,150","0.6%","1,781,212","",""
"OIH","VANECK ETF TRUST","OIL SERVICES ETF","92189H607","130,133","0.6%","428,000","",""
"XLF","SELECT SECTOR SPDR TR","FINANCIAL","81369Y605","126,540","0.6%","3,700,000","",""
"BCE.TO","BCE INC","COM NEW","05534B760","117,237","0.6%","2,671,100","",""
"CMI","CUMMINS INC","COM","231021106","115,945","0.6%","478,540","",""
"SOXX","ISHARES TR","ISHARES SEMICDTR","464287523","114,833","0.6%","330,000","",""
"NXPI","NXP SEMICONDUCTORS N V","COM","N6596X109","109,318","0.5%","691,760","",""
"XLV","SELECT SECTOR SPDR TR","SBI HEALTHCARE","81369Y209","104,604","0.5%","770,000","",""
"BAC","BANK AMERICA CORP","COM","060505104","103,582","0.5%","3,127,500","",""
"DEN","DENBURY INC","COM","24790A101","101,334","0.5%","1,164,500","",""
"BIDU","BAIDU INC","SPON ADR REP A","056752108","100,917","0.5%","882,300","",""
"ADP","AUTOMATIC DATA PROCESSING IN","COM","053015103","98,698","0.5%","413,206","",""
"XLI","SELECT SECTOR SPDR TR","SBI INT-INDS","81369Y704","98,210","0.5%","1,000,000","","put"
"KWEB","KRANESHARES TR","CSI CHI INTERNET","500767306","98,150","0.5%","3,250,000","",""
"MCD","MCDONALDS CORP","COM","580135101","97,133","0.5%","368,586","",""
"IGV","ISHARES TR","EXPANDED TECH","464287515","89,368","0.4%","349,300","",""
"IWO","ISHARES TR","RUS 2000 GRW ETF","464287648","87,309","0.4%","407,000","",""
"XLY","SELECT SECTOR SPDR TR","SBI CONS DISCR","81369Y407","83,954","0.4%","650,000","",""
"DIA","SPDR DOW JONES INDL AVERAGE","UT SER 1","78467X109","82,832","0.4%","250,000","",""
"RSP","INVESCO EXCHANGE TRADED FD T","S&P500 EQL WGT","46137V357","81,783","0.4%","579,000","",""
"TCOM","TRIP COM GROUP LTD","ADS","89677Q107","80,981","0.4%","2,354,100","",""
"DLTR","DOLLAR TREE INC","COM","256746108","80,931","0.4%","572,200","",""
"MDY","SPDR S&P MIDCAP 400 ETF TR","UTSER1 S&PDCRP","78467Y107","80,587","0.4%","182,000","",""
"WTW","WILLIS TOWERS WATSON PLC LTD","SHS","G96629103","79,366","0.4%","324,500","",""
"KDP","KEURIG DR PEPPER INC","COM","49271V100","78,656","0.4%","2,205,732","",""
"ACWI","ISHARES TR","MSCI ACWI ETF","464288257","76,392","0.4%","900,000","",""
"ITB","ISHARES TR","US HOME CONS ETF","464288752","76,301","0.4%","1,259,000","",""
"ACN","ACCENTURE PLC IRELAND","SHS CLASS A","G1151C101","74,235","0.4%","278,203","",""
"LIN","LINDE PLC","SHS","G5494J103","72,463","0.4%","222,157","",""
"XHB","SPDR SER TR","S&P HOMEBUILD","78464A888","69,368","0.3%","1,150,000","",""
"PEP","PEPSICO INC","COM","713448108","66,138","0.3%","366,093","",""
"XME","SPDR SER TR","S&P METALS MNG","78464A755","64,753","0.3%","1,300,000","",""
"AMT","AMERICAN TOWER CORP NEW","COM","03027X100","56,632","0.3%","267,313","",""
"FXI","ISHARES TR","CHINA LG-CAP ETF","464287184","56,600","0.3%","2,000,000","",""
"MAR","MARRIOTT INTL INC NEW","CL A","571903202","55,647","0.3%","373,747","",""
"COST","COSTCO WHSL CORP NEW","COM","22160K105","54,487","0.3%","119,360","",""
"BMY","BRISTOL-MYERS SQUIBB CO","COM","110122108","52,523","0.3%","730,000","",""
"MELI","MERCADOLIBRE INC","COM","58733R102","52,466","0.3%","62,000","",""
"ABT","ABBOTT LABS","COM","002824100","52,073","0.3%","474,305","",""
"ENB.TO","ENBRIDGE INC","COM","29250N105","51,889","0.3%","1,329,000","",""
"KLAC","KLA CORP","COM NEW","482480100","49,823","0.2%","132,146","",""
"SHOP","SHOPIFY INC","CL A","82509L107","49,807","0.2%","1,435,000","",""
"CHTR","CHARTER COMMUNICATIONS INC N","CL A","16119P108","48,823","0.2%","143,979","",""
"XRT","SPDR SER TR","S&P RETAIL ETF","78464A714","48,360","0.2%","800,000","","put"
"CVX","CHEVRON CORP NEW","COM","166764100","46,883","0.2%","261,204","",""
"FERG","FERGUSON PLC NEW","SHS","G3421J106","46,801","0.2%","368,600","",""
