Facility ID,Deal Effective Date,Issuer Name,Deal Size (USD),League Credit (USD),Tranches
BF125501 Corp-20180102,1/2/2018,Great Pacific Industries Inc,"135,914,660","535,663,660",1
BF081518 Corp-20180102,1/2/2018,Premier Dental Services Inc,"351,304,825","117,101,608",1
BF249157 Corp-20180103,1/3/2018,NAB Holdings LLC,"711,800,000","237,266,667",2
BF135250 Corp-20180103,1/3/2018,Macquarie Infrastructure Corp,"600,000,000","60,000,000",1
BF164422 Corp-20180105,1/5/2018,Presidio LLC,"716,624,505","143,324,901",1
BF229049 Corp-20180108,1/8/2018,Learfield Communications LLC,"389,000,000","43,222,222",2
BF257269 Corp-20180109,1/9/2018,Eunetworks Holdings 2 Ltd,"447,041,250","149,013,750",2
BF177680 Corp-20180116,1/16/2018,NetScout Systems Inc,"1,000,000,000","200,000,000",1
BF172103 Corp-20180117,1/17/2018,Informatica LLC,"1,424,000,000","178,000,000",1
BF227782 Corp-20180117,1/17/2018,Infoblox Inc,"497,500,000","99,500,000",1
BF242720 Corp-20180117,1/17/2018,Focus Financial Partners LLC,"793,012,500","396,506,250",1
BF262567 Corp-20180117,1/17/2018,Melrose PLC,"6,213,538,000","3,106,769,000",4
BF224447 Corp-20180119,1/19/2018,HNC Holdings Inc/NC,"471,800,000","117,950,000",3
BF267023 Corp-20180119,1/19/2018,Dare Foods Ltd,"120,225,000","120,225,000",1
BF100275 Corp-20180119,1/19/2018,Livingston International Inc,"441,558,500","220,779,250",3
BF258321 Corp-20180122,1/22/2018,MB Aerospace Holdings II Corp,"305,000,000","76,250,000",2
BF227937 Corp-20180123,1/23/2018,Adeia Holdings Inc,"494,000,000","494,000,000",1
BF132102 Corp-20180124,1/24/2018,Gates Corp/DE,"185,000,000","20,555,556",1
BF069749 Corp-20180125,1/25/2018,Meritage Homes Corp,"60,000,000","8,571,429",1
BF160025 Corp-20180126,1/26/2018,Oasis Outsourcing Holdings Inc,"345,000,000","115,000,000",1
BF228606 Corp-20180129,1/29/2018,Lumen Technologies Inc,"300,000,000","27,272,727",2
BF290512 Corp-20180131,1/31/2018,Sussex Avenue LP,"129,736,468","129,736,468",1
BF116108 Corp-20180131,1/31/2018,GlobalLogic Holdings Inc,"397,400,000","132,466,667",2
BF139659 Corp-20180131,1/31/2018,OMERS Finance Trust,"3,044,561,250","608,912,250",1
BF257552 Corp-20180131,1/31/2018,Hawkeye Acquisition Inc,"2,150,000,000","537,500,000",2
BF171445 Corp-20180201,2/1/2018,Concentra Inc,"644,174,890","107,362,482",2
BF262470 Corp-20180201,2/1/2018,DG Investment Intermediate Holdings 2 Inc,"670,000,000","111,666,667",3
BF262486 Corp-20180201,2/1/2018,DG Investment Intermediate Holdings 2 Inc,"186,000,000","31,000,000",1
BF125586 Corp-20180202,2/2/2018,Atkore International Inc,"920,000,000","131,428,572",2
BF038332 Corp-20180202,2/2/2018,VeriFone Inc,"1,400,000,000","280,000,000",3
BF136960 Corp-20180202,2/2/2018,NVA Holdings Inc,"938,000,000","234,500,000",1
BF262491 Corp-20180206,2/6/2018,CVS Holdings I LP,"135,000,000","22,500,000",1
BF262446 Corp-20180206,2/6/2018,EG Finco Ltd,"4,343,921,700","457,647,202",7
BF266399 Corp-20180206,2/6/2018,Basic Fun Canada Holdings Inc,"52,000,000","52,000,000",2
BF262490 Corp-20180206,2/6/2018,CVS Holdings I LP,"540,000,000","90,000,000",2
BF255172 Corp-20180206,2/6/2018,TerraForm Power Operating LLC,"150,000,000","25,000,000",1
LN204904 Corp-20180206,2/6/2018,Russel Metals Inc,"359,582,850","359,582,850",2
BF230338 Corp-20180207,2/7/2018,Lightstone Holdco LLC,"1,775,000,000","295,833,334",3
BF131433 Corp-20180207,2/7/2018,North West Redwater Partnership,"2,784,862,500","928,287,500",2
BF056552 Corp-20180207,2/7/2018,Air Lease Corp,"25,000,000","1,666,667",1
