Facility ID,Deal Effective Date,Issuer Name,Deal Size (USD),League Credit (USD),Tranches
LN393732 Corp-20180110,1/10/2018,Hyatt Hotels Corp,"1,500,000,000","300,000,000",1
BF263680 Corp-20180112,1/12/2018,Enel Chile SA,"2,006,403,066","286,629,010",2
BF193715 Corp-20180112,1/12/2018,Anadarko Petroleum Corp,"2,000,000,000","250,000,000",1
BF265437 Corp-20180122,1/22/2018,Brookfield Renewable UK Hydro Ltd,"209,373,000","69,791,000",2
BF263018 Corp-20180122,1/22/2018,Infraestructura Energetica Nova SAPI de CV,"1,000,000,000","250,000,000",1
BF187326 Corp-20180126,1/26/2018,FedEx Corp,"250,000,000","62,500,000",1
BF116043 Corp-20180129,1/29/2018,"Crown European Holdings SACA,Crown Americas LLC","2,427,862,500","269,762,500",5
BF139659 Corp-20180131,1/31/2018,OMERS Finance Trust,"3,044,561,250","608,912,250",1
BF246034 Corp-20180131,1/31/2018,Neighbourly Pharmacy Operations Inc,"28,176,674","28,176,674",1
BF500168 Corp-20180201,2/1/2018,Linamar Corp,"1,912,209,100","637,403,033",2
BF228431 Corp-20180201,2/1/2018,Centerra BC Holdings Inc,"500,000,000","250,000,000",1
BF255172 Corp-20180206,2/6/2018,TerraForm Power Operating LLC,"150,000,000","25,000,000",1
BF236731 Corp-20180207,2/7/2018,Enterra Holdings Ltd,"30,000,000","30,000,000",1
BF263846 Corp-20180207,2/7/2018,Parmalat Canada Inc,"31,827,000","31,827,000",1
BF184539 Corp-20180208,2/8/2018,Anywhere Real Estate Group LLC,"750,000,000","53,571,429",1
LN324746 Corp-20180208,2/8/2018,Anywhere Real Estate Group LLC,"2,480,000,000","177,142,857",2
BF264288 Corp-20180209,2/9/2018,Dominion Energy Inc,"950,000,000","950,000,000",1
BF262680 Corp-20180212,2/12/2018,WHG BB Sub Inc,"2,000,000,000","200,000,000",1
BF267068 Corp-20180215,2/15/2018,Petronas Energy Canada Ltd,"39,971,050","19,985,525",2
BF066224 Corp-20180216,2/16/2018,CAE Inc,"540,000,000","270,000,000",2
BF265919 Corp-20180221,2/21/2018,Ellisdon Infrastructure Ntc GP,"97,833,438","48,916,719",1
BF240393 Corp-20180223,2/23/2018,Archrock Partners Operating LLC,"150,000,000","21,428,571",1
BF111813 Corp-20180223,2/23/2018,Flexi-Van Leasing LLC,"185,000,000","46,250,000",1
BF093311 Corp-20180227,2/27/2018,Wheaton Precious Metals Corp,"2,000,000,000","1,000,000,000",1
BF706084 Corp-20180302,3/2/2018,Telenet Financing USD LLC,"300,000,000","75,000,000",1
BF226010 Corp-20180302,3/2/2018,Polycor Inc,"32,040,000","10,680,000",2
BF095025 Corp-20180306,3/6/2018,Anglo American Capital PLC,"4,500,000,000","187,500,000",1
BF265714 Corp-20180306,3/6/2018,Ontario Gaming GTA LP,"814,041,900","271,347,300",2
BF124005 Corp-20180307,3/7/2018,Delos Finance Sarl,"1,500,000,000","250,000,000",1
LN408079 Corp-20180307,3/7/2018,TECO Finance Inc,"200,000,000","40,000,000",2
BF187161 Corp-20180307,3/7/2018,Sable International Finance Ltd,"2,500,000,000","357,142,857",2
BF263584 Corp-20180307,3/7/2018,Westrock Co,"3,800,000,000","271,428,571",3
BF052816 Corp-20180309,3/9/2018,Pembina Pipeline Corp,"1,946,267,500","1,946,267,500",1
BF266105 Corp-20180309,3/9/2018,Pembina Pipeline Corp,"778,507,000","778,507,000",1
BF143185 Corp-20180313,3/13/2018,"AECOM Australia Group Holdings Pty Ltd,AECOM,US Star LP","3,043,326,250","608,665,250",5
BF198822 Corp-20180315,3/15/2018,Leidos Innovations Corp,"1,120,135,500","160,019,357",1
BF792755 Corp-20180315,3/15/2018,Canadian National Railway Co,"1,380,056,400","460,018,800",2
BF268651 Corp-20180316,3/16/2018,Koole Terminals Subholding II BV,"627,973,010","78,496,625",3
BF266649 Corp-20180320,3/20/2018,AutoCanada Inc,"825,991,560","825,991,560",5
BF266639 Corp-20180320,3/20/2018,Raizen SA,"850,000,000","170,000,000",2
BF699426 Corp-20180320,3/20/2018,Dominion Energy Inc,"6,000,000,000","1,200,000,000",1
BF267033 Corp-20180320,3/20/2018,Northeast Midstream Partners LP,"500,000,000","100,000,000",1
BF240677 Corp-20180321,3/21/2018,AT&T Comunicaciones Digitales S de RL de CV,"1,235,510,554","308,877,639",2
BF119869 Corp-20180321,3/21/2018,AtkinsRealis Group Inc,"2,007,296,200","223,032,911",2
BF228000 Corp-20180322,3/22/2018,Wolf Pipeline Inc,"1,178,007,600","294,501,900",2
BF267444 Corp-20180326,3/26/2018,Signature Aviation Ltd,"650,000,000","54,166,667",1
BF269689 Corp-20180326,3/26/2018,Cometa Energia SA de CV,"1,075,000,000","215,000,000",2
LN410916 Corp-20180327,3/27/2018,Dexterra Group Inc,"116,596,350","116,596,350",1
LN334880 Corp-20180327,3/27/2018,Las Vegas Sands LLC,"2,160,675,000","360,112,500",1
BF080102 Corp-20180327,3/27/2018,Patterson-UTI Energy Inc,"600,000,000","200,000,000",1
BF609049 Corp-20180328,3/28/2018,Live Nation Entertainment Inc,"963,000,000","107,000,000",1
BF092840 Corp-20180329,3/29/2018,CCL Industries Inc,"1,200,000,000","400,000,000",1
BF266555 Corp-20180329,3/29/2018,Glencore PLC,"9,085,000,000","302,833,333",2
BF267558 Corp-20180329,3/29/2018,Royal 7 Developments Ltd,"117,428,256","117,428,256",1
BF274566 Corp-20180329,3/29/2018,CCL Industries Inc,"414,000,000","138,000,000",1
LN422190 Corp-20180405,4/5/2018,Callon Petroleum Co,"650,000,000","162,500,000",1
BF270349 Corp-20180406,4/6/2018,Sigma Systems Canada LP,"43,127,260","21,563,630",2
BF268046 Corp-20180410,4/10/2018,Nutrien Ltd,"4,500,000,000","900,000,000",1
BF270283 Corp-20180413,4/13/2018,Kilmer Enterprises Inc,"238,031,100","238,031,100",1
BF268498 Corp-20180418,4/18/2018,General Motors Co,"2,000,000,000","100,000,000",1
BF075043 Corp-20180418,4/18/2018,General Motors Co,"10,500,000,000","500,000,000",1
BF083867 Corp-20180418,4/18/2018,General Motors Co,"4,000,000,000","200,000,000",1
BF560502 Corp-20180419,4/19/2018,AltaLink LP,"593,110,500","296,555,250",1
BF232793 Corp-20180419,4/19/2018,AltaLink LP,"395,407,000","197,703,500",1
BF273721 Corp-20180420,4/20/2018,Gamper Acquireco II SAS,"211,990,000","105,995,000",3
BF090756 Corp-20180420,4/20/2018,CSL Group Inc/The,"137,378,850","68,689,425",1
BF269172 Corp-20180420,4/20/2018,Freeport-McMoRan Inc,"3,500,000,000","350,000,000",1
BF163120 Corp-20180420,4/20/2018,Veresen Midstream LP,"2,158,810,500","269,851,313",2
BF269268 Corp-20180423,4/23/2018,Alicorp SAA,"400,000,000","100,000,000",1
BF806103 Corp-20180424,4/24/2018,Enerflex Ltd,"604,130,325","302,065,162",3
BF255640 Corp-20180425,4/25/2018,Dye & Durham Corp,"63,616,188","63,616,188",2
BF128397 Corp-20180425,4/25/2018,"Baytex Energy Corp,Baytex Energy USA Inc","575,000,000","575,000,000",3
BF050304 Corp-20180425,4/25/2018,Transcontinental Inc,"750,000,000","375,000,000",6
BF274883 Corp-20180425,4/25/2018,Motiva Enterprises LLC,"1,500,000,000","250,000,000",1
BF264468 Corp-20180425,4/25/2018,KBR Inc,"2,150,000,000","307,142,856",5
BF269868 Corp-20180426,4/26/2018,Gondi S de RL de CV,"338,808,200","169,404,100",3
LN470318 Corp-20180427,4/27/2018,Birchcliff Energy Ltd,"739,069,600","739,069,600",2
BF118303 Corp-20180430,4/30/2018,Brookfield Place Calgary LP,"448,341,300","112,085,325",1
BF270188 Corp-20180430,4/30/2018,Ontario Gaming West GTA LP,"202,728,240","101,364,120",1
BF053820 Corp-20180430,4/30/2018,Nevada Power Co,"400,000,000","50,000,000",1
BF119869 Corp-20180430,4/30/2018,AtkinsRealis Group Inc,"389,862,000","129,954,000",1
LN357752 Corp-20180430,4/30/2018,Advantage Energy Ltd,"311,889,600","311,889,600",2
LN469857 Corp-20180430,4/30/2018,FortisBC Inc,"116,958,600","116,958,600",2
BF053822 Corp-20180430,4/30/2018,Sierra Pacific Power Co,"250,000,000","31,250,000",1
BF823515 Corp-20180503,5/3/2018,"Magna International Hong Kong Ltd,Magna International Inc,New Magna Investments NV,Magna Internacional de Mexico SA de CV,Magna International of America Inc","2,750,000,000","550,000,000",5
BF046583 Corp-20180503,5/3/2018,Alliance Pipeline LP/United States,"250,000,000","125,000,000",2
BF270188 Corp-20180503,5/3/2018,Ontario Gaming West GTA LP,"19,455,250","9,727,625",1
BF046563 Corp-20180503,5/3/2018,Alliance Pipeline LP/Canada,"155,642,000","77,821,000",1
LN387681 Corp-20180503,5/3/2018,Integra LifeSciences Holdings Corp,"2,200,000,000","169,230,769",2
BF248121 Corp-20180504,5/4/2018,Syneos Health Inc,"1,525,000,000","89,705,882",1
BF100976 Corp-20180507,5/7/2018,Parex Resources Inc,"77,828,900","77,828,900",1
BF270397 Corp-20180507,5/7/2018,TELUS Corp,"1,751,150,250","350,230,050",1
BF173939 Corp-20180508,5/8/2018,Painted Pony Energy Ltd,"308,665,600","154,332,800",1
LN432146 Corp-20180508,5/8/2018,Superior General Partner Inc,"478,431,680","239,215,840",3
BF220042 Corp-20180509,5/9/2018,ABC Technologies Inc/New York,"470,000,000","117,500,000",2
BF675214 Corp-20180509,5/9/2018,Tourmaline Oil Corp,"1,400,877,000","1,400,877,000",2
BF238480 Corp-20180509,5/9/2018,Tourmaline Oil Corp,"739,351,750","739,351,750",1
BF243302 Corp-20180510,5/10/2018,Obsidian Energy Ltd,"344,386,240","172,193,120",1
BF194507 Corp-20180510,5/10/2018,First Majestic Silver Corp,"75,000,000","75,000,000",1
LN417207 Corp-20180511,5/11/2018,Fortis Inc/Canada,"1,017,381,300","1,017,381,300",1
BF255415 Corp-20180511,5/11/2018,TerraForm Power Operating LLC,"349,125,000","58,187,500",1
BF288809 Corp-20180515,5/15/2018,VMC Residences III GP Inc,"110,533,566","36,844,522",1
BF104529 Corp-20180518,5/18/2018,Microchip Technology Inc,"3,844,262,500","274,590,179",4
BF706472 Corp-20180521,5/21/2018,Gulfport Energy Operating Corp,"1,000,000,000","333,333,333",1
BF252906 Corp-20180522,5/22/2018,Trinseo Materials Operating SCA,"696,500,000","69,650,000",1
BF173498 Corp-20180522,5/22/2018,Cheniere Corpus Christi Holdings LLC,"6,137,411,726","236,054,297",2
BF243034 Corp-20180522,5/22/2018,Ashland LLC,"595,500,000","119,100,000",1
BF271918 Corp-20180523,5/23/2018,VTR.com SpA,"352,063,570","117,354,523",3
BF706084 Corp-20180524,5/24/2018,Telenet Financing USD LLC,"1,600,000,000","133,333,333",1
BF772227 Corp-20180526,5/26/2018,Constellation Energy Generation LLC,"5,300,000,000","481,818,182",1
BF053287 Corp-20180526,5/26/2018,Commonwealth Edison Co,"1,000,000,000","90,909,091",1
BF772235 Corp-20180526,5/26/2018,PECO Energy Co,"600,000,000","54,545,455",1
BF104529 Corp-20180529,5/29/2018,Microchip Technology Inc,"3,000,000,000","214,285,714",1
BF116208 Corp-20180530,5/30/2018,Open Text Corp,"1,000,000,000","71,428,571",1
BF266044 Corp-20180530,5/30/2018,Wyndham Hotels & Resorts Inc,"1,600,000,000","160,000,000",1
BF278936 Corp-20180531,5/31/2018,Toys R Us Canada Ltd,"169,802,820","56,600,940",2
BF273484 Corp-20180531,5/31/2018,APA Infrastructure Ltd,"756,575,000","75,657,500",2
BF238162 Corp-20180531,5/31/2018,Distinction Energy Corp,"81,042,255","40,521,128",1
BF275301 Corp-20180531,5/31/2018,Inretail Pharma SA,"98,945,944","49,472,972",1
LN334880 Corp-20180607,6/7/2018,Las Vegas Sands LLC,"1,350,000,000","168,750,000",1
BF273223 Corp-20180613,6/13/2018,GCC SAB de CV,"450,000,000","112,500,000",2
BF130777 Corp-20180615,6/15/2018,HudBay Peru SAC,"200,000,000","66,666,667",1
BF721536 Corp-20180615,6/15/2018,Hudbay Minerals Inc,"350,000,000","116,666,667",1
BF273878 Corp-20180618,6/18/2018,Fortaleza Materiales SAB de CV,"400,000,000","133,333,333",1
BF273450 Corp-20180618,6/18/2018,Automotive Properties LP,"129,401,303","129,401,303",2
LN393062 Corp-20180622,6/22/2018,Veren Inc,"2,627,754,500","2,627,754,500",1
BF274369 Corp-20180622,6/22/2018,Times 4502 Inc,"130,411,702","130,411,702",1
BF107704 Corp-20180622,6/22/2018,Maple Leaf Sports & Entertainment Ltd,"195,204,620","65,068,207",1
BF274842 Corp-20180626,6/26/2018,L3Harris Technologies Inc,"1,000,000,000","125,000,000",1
LN205061 Corp-20180626,6/26/2018,RHP Hotel Properties LP,"495,000,000","61,875,000",1
BF647350 Corp-20180626,6/26/2018,Waste Management Inc,"2,750,000,000","550,000,000",1
BF787022 Corp-20180627,6/27/2018,Owens-Brockway Glass Container Inc,"1,910,000,000","272,857,143",5
BF272057 Corp-20180627,6/27/2018,Celestica Inc,"800,000,000","133,333,333",2
BF135656 Corp-20180628,6/28/2018,Avnet Inc,"1,250,000,000","208,333,333",1
LN417203 Corp-20180628,6/28/2018,FortisAlberta Inc,"188,630,750","188,630,750",1
BF167596 Corp-20180628,6/28/2018,Canadian Natural Resources Ltd,"1,659,950,600","829,975,300",1
BF200802 Corp-20180628,6/28/2018,Bruce Power LP,"607,843,729","303,921,865",2
BF225558 Corp-20180628,6/28/2018,Fairfax India Holdings Corp,"550,000,000","550,000,000",1
BF275390 Corp-20180629,6/29/2018,Revolution Vsc LP,"418,397,100","139,465,700",1
BF040208 Corp-20180629,6/29/2018,Goldcorp Inc,"3,000,000,000","750,000,000",1
LN363154 Corp-20180629,6/29/2018,Yamana Gold Inc,"1,000,000,000","500,000,000",1
BF272913 Corp-20180629,6/29/2018,Zacapa SARL,"618,500,000","123,700,000",2
BF200140 Corp-20180629,6/29/2018,Altius Royalty Corp,"171,162,450","85,581,225",2
BF275374 Corp-20180629,6/29/2018,Lucero Energy Corp,"82,000,000","82,000,000",1
LN327526 Corp-20180629,6/29/2018,Cascades Inc,"570,541,500","285,270,750",2
LN432146 Corp-20180629,6/29/2018,Superior General Partner Inc,"98,893,860","49,446,930",2
BF174247 Corp-20180703,7/3/2018,Formercs US Intermediate Holdings Inc,"95,000,000","11,875,000",1
BF263292 Corp-20180706,7/6/2018,Aurelian Ecuador SA,"350,000,000","87,500,000",2
BF279400 Corp-20180709,7/9/2018,MCM Fund II IH LP,"51,078,187","51,078,187",1
BF223503 Corp-20180710,7/10/2018,Ridgeback Resources Inc,"19,043,775","3,808,755",1
BF780601 Corp-20180712,7/12/2018,National Hockey League Inc,"495,000,000","123,750,000",1
BF276290 Corp-20180713,7/13/2018,Williams Cos Inc/The,"4,500,000,000","500,000,000",1
LN418334 Corp-20180716,7/16/2018,Hecla Mining Co,"200,000,000","66,666,667",1
LN290497 Corp-20180723,7/23/2018,Kinross Gold Corp /old,"1,500,000,000","500,000,000",1
LN413539 Corp-20180724,7/24/2018,Irving Oil Ltd,"1,575,000,000","525,000,000",2
LN469833 Corp-20180725,7/25/2018,Enbridge Pipelines Inc,"2,289,159,000","763,053,000",1
LN374315 Corp-20180725,7/25/2018,Enbridge Inc,"1,106,426,850","276,606,712",1
BF841937 Corp-20180725,7/25/2018,Enbridge Inc,"1,575,704,445","525,234,815",1
BF159727 Corp-20180730,7/30/2018,Cleco Corporate Holdings LLC,"100,000,000","20,000,000",1
BF278016 Corp-20180731,7/31/2018,Accord Financial Corp,"292,000,000","292,000,000",1
BF277424 Corp-20180731,7/31/2018,Noble Midstream Services LLC,"500,000,000","250,000,000",1
BF277725 Corp-20180731,7/31/2018,Cavendish Farms Ltd,"242,330,468","121,165,234",4
BF277391 Corp-20180801,8/1/2018,Altria Group Inc,"3,000,000,000","375,000,000",1
BF278921 Corp-20180803,8/3/2018,Teranet Collateral Management Solutions Corp,"161,797,860","80,898,930",2
BF706084 Corp-20180808,8/8/2018,"Telenet International Finance Sarl,Telenet Financing USD LLC","712,695,450","118,782,575",2
BF277912 Corp-20180809,8/9/2018,Votorantim Cimentos SA,"500,000,000","166,666,667",1
BF277908 Corp-20180809,8/9/2018,Votorantim SA,"200,000,000","66,666,667",1
BF278903 Corp-20180809,8/9/2018,TD SYNNEX Corp,"1,800,000,000","450,000,000",1
BF277924 Corp-20180810,8/10/2018,Cabletica SA,"130,000,000","130,000,000",1
BF281063 Corp-20180821,8/21/2018,GFS Investments Canada Inc,"115,179,450","115,179,450",1
BF301260 Corp-20180822,8/22/2018,Baytex Energy LP,"230,485,500","115,242,750",1
BF814258 Corp-20180822,8/22/2018,Domtar Corp,"700,000,000","233,333,334",2
BF201229 Corp-20180822,8/22/2018,Leidos Inc,"1,385,034,922","197,862,132",2
BF198822 Corp-20180822,8/22/2018,Leidos Inc,"1,374,306,291","196,329,470",2
BF278617 Corp-20180822,8/22/2018,Fortive Corp,"1,750,000,000","875,000,000",1
BF771625 Corp-20180829,8/29/2018,Alexandria Real Estate Equities Inc,"350,000,000","116,666,667",1
BF233608 Corp-20180829,8/29/2018,Glacier Credit Card Trust,"232,237,800","116,118,900",1
BF085536 Corp-20180831,8/31/2018,CCD LP,"141,016,720","47,005,573",3
BF281247 Corp-20180904,9/4/2018,Triple Flag Precious Metals Corp,"200,000,000","100,000,000",1
BF200333 Corp-20180912,9/12/2018,TMX Group Ltd,"384,782,500","128,260,833",1
BF280247 Corp-20180912,9/12/2018,Enterprise Products Operating LLC,"2,000,000,000","166,666,667",1
BF281028 Corp-20180914,9/14/2018,Constellation Brands Inc,"1,500,000,000","115,384,615",2
BF056427 Corp-20180914,9/14/2018,Constellation Brands Inc,"2,000,000,000","153,846,154",1
BF052328 Corp-20180914,9/14/2018,Entergy Corp,"3,500,000,000","500,000,000",1
BF052147 Corp-20180914,9/14/2018,Entergy Louisiana LLC,"350,000,000","50,000,000",1
BF052329 Corp-20180914,9/14/2018,Entergy Texas Inc,"150,000,000","21,428,571",1
BF251354 Corp-20180919,9/19/2018,Trevali Mining Corp,"275,000,000","137,500,000",1
BF069562 Corp-20180920,9/20/2018,Rogers Communications Inc,"2,478,515,200","1,239,257,600",2
BF279941 Corp-20180920,9/20/2018,Ecopetrol SA,"665,000,000","665,000,000",1
BF691053 Corp-20180921,9/21/2018,River Fuel Co No 2 Inc,"105,000,000","26,250,000",1
BF691093 Corp-20180921,9/21/2018,River Bend Fuel Services Inc,"105,000,000","26,250,000",1
BF289186 Corp-20180925,9/25/2018,Nautilus Inkia Holdings LLC,"200,000,000","66,666,667",1
BF678768 Corp-20180926,9/26/2018,Woodbridge Foam Corp,"115,646,550","115,646,550",1
BF281808 Corp-20180927,9/27/2018,Phoenix Tower International Spain Etve SL,"484,770,800","484,770,800",1
BF171828 Corp-20180927,9/27/2018,Celulosa Arauco y Constitucion SA,"200,906,000","50,226,500",1
