Facility ID,Deal Effective Date,Issuer Name,Deal Size (USD),League Credit (USD),Tranches
BF816309 Corp-20180110,1/10/2018,SunCoke Energy Inc,"45,000,000","15,000,000",1
BF175843 Corp-20180117,1/17/2018,FirstService Corp,"250,000,000","250,000,000",1
BF053265 Corp-20180122,1/22/2018,Minto Communities Inc,"260,814,775","260,814,775",1
LN387641 Corp-20180123,1/23/2018,Knoll Inc,"750,363,310","187,590,828",3
BF194205 Corp-20180126,1/26/2018,AIMCo Realty Investors LP,"324,680,400","324,680,400",1
BF263093 Corp-20180126,1/26/2018,Edison International,"500,000,000","100,000,000",1
BF116043 Corp-20180129,1/29/2018,"Crown European Holdings SACA,Crown Americas LLC","2,427,862,500","269,762,500",5
BF139659 Corp-20180131,1/31/2018,OMERS Finance Trust,"3,044,561,250","608,912,250",1
BF500168 Corp-20180201,2/1/2018,Linamar Corp,"1,912,209,100","637,403,033",2
BF484351 Corp-20180201,2/1/2018,Innergex Renewable Energy Inc,"241,996,164","61,027,950",2
BF191110 Corp-20180201,2/1/2018,"Slate Office US Inc,Slate Office I LP","206,535,610","103,267,805",2
BF184539 Corp-20180208,2/8/2018,Anywhere Real Estate Group LLC,"750,000,000","53,571,429",1
LN324746 Corp-20180208,2/8/2018,Anywhere Real Estate Group LLC,"2,480,000,000","177,142,857",2
BF053231 Corp-20180214,2/14/2018,Timbercreek Financial Corp,"31,866,040","31,866,040",1
BF098282 Corp-20180216,2/16/2018,Hydro-Quebec,"2,000,000,000","500,000,000",1
BF066224 Corp-20180216,2/16/2018,CAE Inc,"540,000,000","270,000,000",2
BF169590 Corp-20180221,2/21/2018,Vertical Bridge Holdco LLC,"250,000,000","41,666,667",3
BF177079 Corp-20180223,2/23/2018,Dream Asset Management Corp,"177,731,325","177,731,325",1
BF101364 Corp-20180223,2/23/2018,Penn Entertainment Inc,"1,000,000,000","111,111,111",2
BF240393 Corp-20180223,2/23/2018,Archrock Partners Operating LLC,"150,000,000","21,428,571",1
BF185698 Corp-20180227,2/27/2018,Western Digital Corp,"7,271,875,000","661,079,546",2
BF100427 Corp-20180227,2/27/2018,GCI LLC,"100,000,000","20,000,000",1
BF228521 Corp-20180228,2/28/2018,Air Canada,"1,098,000,000","137,250,000",2
BF050617 Corp-20180302,3/2/2018,PCL Construction Holdings Ltd,"965,129,000","965,129,000",2
BF095025 Corp-20180306,3/6/2018,Anglo American Capital PLC,"4,500,000,000","187,500,000",1
BF263584 Corp-20180307,3/7/2018,Westrock Co,"3,800,000,000","271,428,571",3
BF266067 Corp-20180308,3/8/2018,Brookfield Residential Properties ULC,"675,000,000","337,500,000",1
