"Manager","Report Date","Value ($000)","Shares","Option Type"
"Royal Bank of Canada","12/31/2024","5,877,052","60,556,961",""
"VANGUARD GROUP INC","12/31/2024","2,960,491","30,494,749",""
"BANK OF MONTREAL /CAN/","12/31/2024","2,896,404","29,873,166",""
"TD ASSET MANAGEMENT INC","12/31/2024","1,709,214","17,615,141",""
"CIBC WORLD MARKET INC.","12/31/2024","1,592,767","16,411,822",""
"NATIONAL BANK OF CANADA /FI/","12/31/2024","1,335,818","13,748,503",""
"MACKENZIE FINANCIAL CORP","12/31/2024","1,112,941","12,215,628",""
"MACKENZIE FINANCIAL CORP","12/31/2024","1,184,635","12,215,628",""
"MACKENZIE FINANCIAL CORP","12/31/2024","1,184,635","12,215,628",""
"NORGES BANK","12/31/2024","1,014,632","10,464,521",""
"BANK OF NOVA SCOTIA","12/31/2024","864,595","8,907,412",""
"TORONTO DOMINION BANK","12/31/2024","792,896","8,177,829",""
"1832 Asset Management L.P.","12/31/2024","717,394","7,392,006",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2024","664,742","6,838,171",""
"JARISLOWSKY, FRASER Ltd","12/31/2024","651,250","6,711,773",""
"Beutel, Goodman & Co Ltd.","12/31/2024","642,016","6,616,614",""
"CIBC Asset Management Inc","12/31/2024","620,937","6,371,405",""
"Royal Bank of Canada","12/31/2024","564,268","5,814,200","put"
"CAISSE DE DEPOT ET PLACEMENT DU QUEBEC","12/31/2024","525,866","5,419,567",""
"FMR LLC","12/31/2024","505,642","5,208,431",""
"Federation des caisses Desjardins du Quebec","12/31/2024","473,956","4,902,408",""
"GEODE CAPITAL MANAGEMENT, LLC","12/31/2024","422,450","4,297,626",""
"Legal & General Group Plc","12/31/2024","411,884","4,244,870",""
"Fiera Capital Corp","12/31/2024","358,991","3,701,814",""
"JPMORGAN CHASE & CO","12/31/2024","352,775","3,634,988",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2024","349,777","3,604,088",""
"SCOTIA CAPITAL INC.","12/31/2024","338,436","3,493,410",""
"TD Waterhouse Canada Inc.","12/31/2024","256,727","2,653,260",""
"TORONTO DOMINION BANK","12/31/2024","254,763","2,627,600","call"
"CANADA PENSION PLAN INVESTMENT BOARD","12/31/2024","214,037","2,207,553",""
"FIL Ltd","12/31/2024","210,578","2,169,083",""
"GUARDIAN CAPITAL LP","12/31/2024","208,798","2,151,876",""
"CHARLES SCHWAB INVESTMENT MANAGEMENT INC","12/31/2024","185,693","1,913,716",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2024","182,317","1,878,964",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2024","177,213","1,827,757",""
"SIG North Trading, ULC","12/31/2024","174,262","1,795,600","put"
"BANK OF AMERICA CORP /DE/","12/31/2024","169,230","1,743,745",""
"TORONTO DOMINION BANK","12/31/2024","165,136","1,703,200","put"
"HEALTHCARE OF ONTARIO PENSION PLAN TRUST FUND","12/31/2024","157,696","1,625,441",""
"MASSACHUSETTS FINANCIAL SERVICES CO /MA/","12/31/2024","156,100","1,608,452",""
"Nuveen Asset Management, LLC","12/31/2024","153,218","1,579,064",""
"MORGAN STANLEY","12/31/2024","148,899","1,534,257",""
"Clearbridge Investments, LLC","12/31/2024","143,105","1,465,507",""
"Alberta Investment Management Corp","12/31/2024","135,067","1,392,000",""
"Newport Trust Company, LLC","12/31/2024","134,251","1,383,319",""
"GOLDMAN SACHS GROUP INC","12/31/2024","132,031","1,360,444",""
"Cardinal Capital Management, Inc.","12/31/2024","124,632","1,286,702",""
"Royal Bank of Canada","12/31/2024","122,642","1,263,700","call"
"FEDERATED HERMES, INC.","12/31/2024","112,625","1,160,494",""
"MUFG SECURITIES (CANADA), LTD.","12/31/2024","108,086","1,114,100",""
"Invesco Ltd.","12/31/2024","106,177","1,094,053",""
"CIBC WORLD MARKET INC.","12/31/2024","101,126","1,042,000","put"
"Aviso Financial Inc.","12/31/2024","99,763","1,027,872",""
"DEUTSCHE BANK AG\","12/31/2024","98,666","1,016,659",""
"BANK OF MONTREAL /CAN/","12/31/2024","97,131","1,001,800","put"
"AGF MANAGEMENT LTD","12/31/2024","105,913","980,773",""
"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC","12/31/2024","90,802","935,625",""
"D. E. Shaw & Co., Inc.","12/31/2024","87,324","900,000","put"
"D. E. Shaw & Co., Inc.","12/31/2024","85,649","882,705",""
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP","12/31/2024","79,332","817,796",""
"D. E. Shaw & Co., Inc.","12/31/2024","78,126","805,200","call"
"INTACT INVESTMENT MANAGEMENT INC.","12/31/2024","77,407","797,460",""
"SIG North Trading, ULC","12/31/2024","76,737","790,700","call"
"CITADEL ADVISORS LLC","12/31/2024","75,601","779,000","call"
"Addenda Capital Inc.","12/31/2024","106,143","760,614",""
"INTERNATIONAL ASSETS INVESTMENT MANAGEMENT, LLC","12/31/2024","759","740,236",""
"AMUNDI","12/31/2024","72,665","738,167",""
"Bank of New York Mellon Corp","12/31/2024","68,785","708,767",""
"VOLORIDGE INVESTMENT MANAGEMENT, LLC","12/31/2024","63,753","656,919",""
