"Manager","Report Date","Value ($000)","Shares","Option Type"
"ROYAL BANK OF CANADA","12/31/2018","3,548,842","54,305,146",""
"TD ASSET MANAGEMENT INC","12/31/2018","1,410,942","21,606,285",""
"BANK OF MONTREAL /CAN/","12/31/2018","1,283,271","19,636,896",""
"Vanguard Group Inc","12/31/2018","1,151,079","17,614,055",""
"CIBC World Markets Inc.","12/31/2018","708,819","10,846,497",""
"TORONTO DOMINION BANK","12/31/2018","677,167","10,336,936",""
"CIBC Asset Management Inc","12/31/2018","576,725","8,825,258",""
"MACKENZIE FINANCIAL CORP","12/31/2018","527,461","8,071,323",""
"BANK OF NOVA SCOTIA","12/31/2018","506,908","7,756,827",""
"ACADIAN ASSET MANAGEMENT LLC","12/31/2018","480,159","7,352,895",""
"Capital Research Global Investors","12/31/2018","407,521","6,237,778",""
"NORGES BANK","12/31/2018","405,149","6,203,843",""
"Beutel, Goodman & Co Ltd.","12/31/2018","400,828","6,133,575",""
"GREAT WEST LIFE ASSURANCE CO /CAN/","12/31/2018","394,764","6,036,475",""
"Connor, Clark & Lunn Investment Management Ltd.","12/31/2018","348,328","5,334,074",""
"LETKO, BROSSEAU & ASSOCIATES INC","12/31/2018","341,629","5,231,492",""
"FRANKLIN RESOURCES INC","12/31/2018","261,973","4,012,565",""
"DIMENSIONAL FUND ADVISORS LP","12/31/2018","234,790","3,592,808",""
"OMERS ADMINISTRATION Corp","12/31/2018","227,394","3,482,168",""
"Mawer Investment Management Ltd.","12/31/2018","191,135","2,907,409",""
"MANUFACTURERS LIFE INSURANCE COMPANY, THE","12/31/2018","179,204","2,742,211",""
"TORONTO DOMINION BANK","12/31/2018","153,070","2,339,800",""
"Legal & General Group Plc","12/31/2018","152,364","2,333,238",""
"1832 Asset Management L.P.","12/31/2018","152,641","2,329,748",""
"Sumitomo Mitsui Trust Holdings, Inc.","12/31/2018","150,252","2,307,155",""
"SCOTIA CAPITAL INC.","12/31/2018","141,095","2,161,069",""
"ROYAL BANK OF CANADA","12/31/2018","134,510","2,058,300","put"
"ARROWSTREET CAPITAL, LIMITED PARTNERSHIP","12/31/2018","116,515","1,782,824",""
"GUARDIAN CAPITAL LP","12/31/2018","106,859","1,636,366",""
"Newport Trust Co","12/31/2018","92,140","1,409,946",""
"Her Majesty the Queen in Right of the Province of Alberta as represented by Alberta Investment Management Corp","12/31/2018","122,431","1,372,700",""
"JPMORGAN CHASE & CO","12/31/2018","89,283","1,366,222",""
"Federation des caisses Desjardins du Quebec","12/31/2018","80,732","1,236,629",""
