"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"JPM","JPMORGAN CHASE & CO","COM","46625H100","464,575","6.2%","4,759,011","",""
"RY.TO","ROYAL BK CDA MONTREAL QUE","COM","780087102","412,131","5.5%","6,024,057","",""
"BKAA.SG","BROOKFIELD ASSET MGMT INC","CL A LTD VT SH","112585104","386,836","5.2%","10,087,069","",""
"BNS.TO","BANK N S HALIFAX","COM","064149107","288,555","3.9%","5,791,446","",""
"WFC","WELLS FARGO CO NEW","COM","949746101","276,746","3.7%","6,005,780","",""
"CM.TO","CDN IMPERIAL BK COMM TORONTO","COM","136069101","253,377","3.4%","3,403,441","",""
"BMO.TO","BANK MONTREAL QUE","COM","063671101","227,394","3.1%","3,482,168","",""
"GOOGL","ALPHABET INC","CAP STK CL A","02079K305","211,860","2.8%","202,745","",""
"TD","TORONTO DOMINION BK ONT","COM NEW","891160509","205,166","2.8%","4,129,325","",""
"BBU","BROOKFIELD BUSINESS PARTNERS","UNIT LTD LP","G16234109","202,701","2.7%","6,670,000","",""
"V","VISA INC","COM CL A","92826C839","192,275","2.6%","1,457,293","",""
"USB","US BANCORP DEL","COM NEW","902973304","184,121","2.5%","4,028,905","",""
"CBRE","CBRE GROUP INC","CL A","12504L109","179,085","2.4%","4,472,640","",""
"ELV","ANTHEM INC","COM","036752103","170,651","2.3%","649,779","",""
"RTX","UNITED TECHNOLOGIES CORP","COM","913017109","165,130","2.2%","1,550,809","",""
"APD","AIR PRODS & CHEMS INC","COM","009158106","164,779","2.2%","1,029,549","",""
"UNP","UNION PAC CORP","COM","907818108","160,574","2.2%","1,161,641","",""
"MSFT","MICROSOFT CORP","COM","594918104","156,968","2.1%","1,545,420","",""
"ENB.TO","ENBRIDGE INC","COM","29250N105","152,178","2.0%","4,900,835","",""
"TRP","TRANSCANADA CORP","COM","89353D107","148,978","2.0%","4,173,836","",""
"BPY","BROOKFIELD PPTY PARTNERS L P","UNIT LTD PARTN","G16249107","140,679","1.9%","8,727,004","",""
"SPG","SIMON PPTY GROUP INC NEW","COM","828806109","129,432","1.7%","770,473","",""
"FXI","ISHARES TR","CHINA LG-CAP ETF","464287184","128,865","1.7%","3,300,000","",""
"BRK-B","BERKSHIRE HATHAWAY INC DEL","CL B NEW","084670702","125,785","1.7%","616,052","",""
"KO","COCA COLA CO","COM","191216100","124,567","1.7%","2,630,776","",""
"XLF","SELECT SECTOR SPDR TR","SBI INT-FINL","81369Y605","116,766","1.6%","4,902,000","",""
"MET","METLIFE INC","COM","59156R108","108,590","1.5%","2,644,661","",""
"BCE.TO","BCE INC","COM NEW","05534B760","106,787","1.4%","2,704,420","",""
"RCI-B.TO","ROGERS COMMUNICATIONS INC","CL B","775109200","104,159","1.4%","2,033,456","",""
"UPS","UNITED PARCEL SERVICE INC","CL B","911312106","103,727","1.4%","1,063,535","",""
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","102,212","1.4%","4,237,466","",""
"AVB","AVALONBAY CMNTYS INC","COM","053484101","101,756","1.4%","584,635","",""
