"Manager","Report Date","Value ($000)","Shares","Option Type"
"JANE STREET GROUP, LLC","12/31/2023","1,916","78,878",""
"CITADEL ADVISORS LLC","12/31/2023","1,454","59,856",""
"SUSQUEHANNA INTERNATIONAL GROUP, LLP","12/31/2023","921","37,925",""
"Tower Research Capital LLC (TRC)","12/31/2023","692","28,498",""
"UBS Group AG","12/31/2023","199","8,220",""
"VIMA LLC","12/31/2023","21","880",""
"MORGAN STANLEY","12/31/2023","6","270",""
"MORGAN STANLEY","12/31/2023","6","270",""
"Federation des caisses Desjardins du Quebec","12/31/2023","1","60",""
"BANK OF AMERICA CORP /DE/","12/31/2023","0","21",""
"BNP PARIBAS FINANCIAL MARKETS","12/31/2023","0","12",""
"HARBOUR INVESTMENTS, INC.","12/31/2023","0","2",""
"CONCOURSE FINANCIAL GROUP SECURITIES, INC.","12/31/2023","0","0",""
