Sym,Issuer Name,Cl,CUSIP,Value ($000),%,Shares,Principal,Option Type
VTV,VANGUARD INDEX FDS,VALUE ETF,922908744,"469,428",22%,"3,191,000",,
IVV,ISHARES TR,CORE S&P500 ETF,464287200,"467,285",22%,"979,654",,
AAPL,APPLE INC,COM,037833100,"395,896",18%,"2,229,522",,
MSFT,MICROSOFT CORP,COM,594918104,"123,706",5.7%,"367,821",,
AMZN,AMAZON COM INC,COM,023135106,"91,908",4.3%,"27,564",,
EEM,ISHARES TR,MSCI EMG MKT ETF,464287234,"72,848",3.4%,"1,491,265",,
TSLA,TESLA INC,COM,88160R101,"71,861",3.3%,"68,000",,
SBAC,SBA COMMUNICATIONS CORP NEW,CL A,78410G104,"70,024",3.3%,"180,000",,
JPM,JPMORGAN CHASE & CO,COM,46625H100,"60,173",2.8%,"380,000",,
HEI-A,HEICO CORP NEW,CL A,422806208,"58,025",2.7%,"451,480",,
SHOP,SHOPIFY INC,CL A,82509L107,"53,994",2.5%,"39,200",,
ELAN,ELANCO ANIMAL HEALTH INC,COM,28414H103,"45,269",2.1%,"1,595,100",,
BIDU,BAIDU INC,SPON ADR REP A,056752108,"17,782",0.8%,"119,513",,
BAP,CREDICORP LTD,COM,G2519Y108,"15,453",0.7%,"126,591",,
ABX.TO,BARRICK GOLD CORP,COM,067901108,"15,048",0.7%,"792,000",,
C,CITIGROUP INC,COM NEW,172967424,"15,037",0.7%,"249,000",,
JD,JD.COM INC,SPON ADR CL A,47215P106,"9,392",0.4%,"134,038",,
ATHM,AUTOHOME INC,SP ADS RP CL A,05278C107,"9,380",0.4%,"318,166",,
TFC,TRUIST FINL CORP,COM,89832Q109,"9,309",0.4%,"159,000",,
BMO.TO,BANK MONTREAL QUE,COM,063671101,"8,921",0.4%,"82,820",,
TD,TORONTO DOMINION BK ONT,COM NEW,891160509,"8,836",0.4%,"115,230",,
CM.TO,CANADIAN IMP BK COMM,COM,136069101,"8,728",0.4%,"74,880",,
BNS.TO,BANK NOVA SCOTIA B C,COM,064149107,"8,708",0.4%,"121,470",,
RY.TO,ROYAL BK CDA,COM,780087102,"8,636",0.4%,"81,360",,
BABA,ALIBABA GROUP HLDG LTD,SPONSORED ADS,01609W102,"5,126",0.2%,"43,148",,
NTES,NETEASE INC,SPONSORED ADS,64110W102,"3,475",0.2%,"34,146",,
NIO,NIO INC,SPON ADS,62914V106,"3,464",0.2%,"109,343",,
0A2I.IL,HUAZHU GROUP LTD,SPONSORED ADS,44332N106,"2,823",0.1%,"75,601",,
MELI,MERCADOLIBRE INC,COM,58733R102,"2,714",0.1%,"2,013",,
EFA,ISHARES TR,MSCI EAFE ETF,464287465,"2,638",0.1%,"33,530",,
0A2S.IL,PINDUODUO INC,SPONSORED ADS,722304102,"2,220",0.1%,"38,077",,
YUMC,YUM CHINA HLDGS INC,COM,98850P109,"1,916",0.1%,"38,446",,
XPEV,XPENG INC,ADS,98422D105,"1,593",0.1%,"31,663",,
LI,LI AUTO INC,SPONSORED ADS,50202M102,"1,458",0.1%,"45,412",,
ZTO,ZTO EXPRESS CAYMAN INC,SPONSORED ADS A,98980A105,"1,266",0.1%,"44,862",,
49BA.SG,BEIGENE LTD,SPONSORED ADR,07725L102,"1,064",0.0%,"3,927",,
TCOM,TRIP COM GROUP LTD,ADS,89677Q107,"1,033",0.0%,"41,969",,
BILI,BILIBILI INC,SPONS ADS REP Z,090040106,690,0.0%,"14,869",,
BEKE,KE HLDGS INC,SPONSORED ADS,482497104,637,0.0%,"31,638",,
0LQ0.IL,VIPSHOP HOLDINGS LIMITED,SPONSORED ADS A,92763W103,536,0.0%,"63,761",,
0A2Z.IL,TENCENT MUSIC ENTMT GROUP,SPON ADS,88034P109,533,0.0%,"77,830",,
GDS,GDS HLDGS LTD,SPONSORED ADS,36165L108,432,0.0%,"9,156",,
ZLAB,ZAI LAB LTD,ADR,98887Q104,426,0.0%,"6,782",,
MOMO,HELLO GROUP INC,ADS,423403104,374,0.0%,"41,676",,
WB,WEIBO CORP,SPONSORED ADR,948596101,353,0.0%,"11,396",,
EDU,NEW ORIENTAL ED & TECHNOLOGY,SPON ADR,647581107,332,0.0%,"157,873",,
YY,JOYY INC,ADS REPSTG COM A,46591M109,319,0.0%,"7,023",,
BZUN,BAOZUN INC,SPONSORED ADR,06684L103,316,0.0%,"22,732",,
3CM.F,RLX TECHNOLOGY INC,SPONSORED ADS,74969N103,261,0.0%,"66,913",,
,DAQO NEW ENERGY CORP,SPNSRD ADS NEW,23703Q203,256,0.0%,"6,351",,
HUYA,HUYA INC,ADS REP SHS A,44852D108,250,0.0%,"36,103",,
QFIN,360 DIGITECH INC,AMERICAN DEP,88557W101,245,0.0%,"10,695",,
DADA,DADA NEXUS LTD,ADS,23344D108,232,0.0%,"17,631",,
0XWG.IL,IQIYI INC,SPONSORED ADS,46267X108,208,0.0%,"45,654",,
0A2X.IL,TAL EDUCATION GROUP,SPONSORED ADS,874080104,196,0.0%,"49,878",,
IMAB,I MAB,SPONSORED ADS,44975P103,191,0.0%,"4,039",,
HCM,HUTCHMED CHINA LTD,SPONSORED ADS,44842L103,165,0.0%,"4,693",,
LU,LUFAX HOLDING LTD,ADS REP SHS CL A,54975P102,144,0.0%,"25,523",,
CD,CHINDATA GROUP HLDGS LTD,ADS,16955F107,141,0.0%,"21,359",,
KC,KINGSOFT CLOUD HLDGS LTD,ADS,49639K101,125,0.0%,"7,926",,
217A.SG,VNET GROUP INC,SPONSORED ADS A,90138A103,116,0.0%,"12,891",,
