"Sym","Issuer Name","Cl","CUSIP","Value ($000)","%","Shares","Principal","Option Type"
"TD","TORONTO DOMINION BK ONT","COM NEW","891160509","944,357","6.9%","18,993,161","",""
"RY.TO","ROYAL BK CDA MONTREAL QUE","COM","780087102","912,947","6.7%","13,334,834","",""
"ENB.TO","ENBRIDGE INC","COM","29250N105","676,429","5.0%","21,768,519","",""
"CM.TO","CDN IMPERIAL BK COMM TORONTO","COM","136069101","609,653","4.5%","8,183,163","",""
"BMO.TO","BANK MONTREAL QUE","COM","063671101","576,725","4.2%","8,825,258","",""
"BKAA.SG","BROOKFIELD ASSET MGMT INC","CL A LTD VT SH","112585104","455,452","3.3%","11,880,915","",""
"SU.TO","SUNCOR ENERGY INC NEW","COM","867224107","394,043","2.9%","14,104,303","",""
"T.TO","TELUS CORP","COM","87971M103","388,920","2.9%","11,730,520","",""
"CNR.TO","CANADIAN NATL RY CO","COM","136375102","381,167","2.8%","5,145,123","",""
"BNS.TO","BANK N S HALIFAX","COM","064149107","378,201","2.8%","7,585,259","",""
"CP.TO","CANADIAN PAC RY LTD","COM","13645T100","352,088","2.6%","1,983,724","",""
"CNQ.TO","CANADIAN NAT RES LTD","COM","136385101","336,992","2.5%","13,962,721","",""
"NTR.TO","NUTRIEN LTD","COM","67077M108","327,188","2.4%","6,964,320","",""
"MFC.TO","MANULIFE FINL CORP","COM","56501R106","304,358","2.2%","21,445,224","",""
"EFA","ISHARES TR","MSCI EAFE ETF","464287465","253,849","1.9%","4,318,628","",""
"BPY","BROOKFIELD PPTY PARTNERS L P","UNIT LTD PARTN","G16249107","222,324","1.6%","13,779,815","",""
"SPY","SPDR S&P 500 ETF TR","TR UNIT","78462F103","189,709","1.4%","759,077","",""
"TRP","TRANSCANADA CORP","COM","89353D107","185,377","1.4%","5,189,867","",""
"TECK-B.TO","TECK RESOURCES LTD","CL B","878742204","184,199","1.4%","8,553,875","",""
"BCE.TO","BCE INC","COM NEW","05534B760","180,516","1.3%","4,568,355","",""
"SLF.TO","SUN LIFE FINL INC","COM","866796105","180,158","1.3%","5,429,075","",""
"MG.TO","MAGNA INTL INC","COM","559222401","169,841","1.2%","3,740,558","",""
"WCN","WASTE CONNECTIONS INC","COM","94106B101","151,877","1.1%","2,045,628","",""
"GRT-UN.TO","GRANITE REAL ESTATE INVT TR","UNIT 99/99/9999","387437114","149,923","1.1%","3,845,477","",""
"GG","GOLDCORP INC NEW","COM","380956409","148,045","1.1%","15,112,512","",""
"PPL.TO","PEMBINA PIPELINE CORP","COM","706327103","146,408","1.1%","4,932,631","",""
"CVE.TO","CENOVUS ENERGY INC","COM","15135U109","135,902","1.0%","19,320,903","",""
"MSFT","MICROSOFT CORP","COM","594918104","132,556","1.0%","1,305,073","",""
"AAPL","APPLE INC","COM","037833100","106,889","0.8%","677,626","",""
"SJR-B.TO","SHAW COMMUNICATIONS INC","CL B CONV","82028K200","102,173","0.8%","5,643,385","",""
"BBU","BROOKFIELD BUSINESS PARTNERS","UNIT LTD LP","G16234109","100,123","0.7%","3,286,433","",""
"AMZN","AMAZON COM INC","COM","023135106","98,983","0.7%","65,902","",""
"FNV.TO","FRANCO NEVADA CORP","COM","351858105","87,641","0.6%","1,249,493","",""
"AEM","AGNICO EAGLE MINES LTD","COM","008474108","85,896","0.6%","2,127,628","",""
"ABX.TO","BARRICK GOLD CORP","COM","067901108","82,682","0.6%","6,122,927","",""
"RCI-B.TO","ROGERS COMMUNICATIONS INC","CL B","775109200","69,823","0.5%","1,362,153","",""
"GIB","GROUPE CGI INC","CL A SUB VTG","39945C109","64,144","0.5%","1,048,458","",""
"GOOG","ALPHABET INC","CAP STK CL C","02079K107","58,032","0.4%","56,037","",""
"BIP","BROOKFIELD INFRAST PARTNERS","LP INT UNIT","G16252101","57,689","0.4%","1,669,875","",""
"OVV","ENCANA CORP","COM","292505104","56,641","0.4%","9,810,265","",""
"BRK-B","BERKSHIRE HATHAWAY INC DEL","CL B NEW","084670702","51,076","0.4%","250,152","",""
"EEM","ISHARES TR","MSCI EMG MKT ETF","464287234","46,462","0.3%","1,189,503","",""
"JPM","JPMORGAN CHASE & CO","COM","46625H100","45,809","0.3%","469,254","",""
"META","FACEBOOK INC","CL A","30303M102","44,534","0.3%","339,719","",""
"FSV","FIRSTSERVICE CORP NEW","SUB VTG SH","33767E103","42,720","0.3%","622,319","",""
"TA.TO","TRANSALTA CORP","COM","89346D107","41,746","0.3%","10,192,399","",""
"GOOGL","ALPHABET INC","CAP STK CL A","02079K305","37,445","0.3%","35,834","",""
"V","VISA INC","COM CL A","92826C839","34,194","0.3%","259,160","",""
"JNJ","JOHNSON & JOHNSON","COM","478160104","34,160","0.3%","264,700","",""
"BAC","BANK AMER CORP","COM","060505104","33,727","0.2%","1,368,773","",""
"XOM","EXXON MOBIL CORP","COM","30231G102","33,145","0.2%","486,072","",""
"BEP","BROOKFIELD RENEWABLE PARTNER","PARTNERSHIP UNIT","G16258108","31,509","0.2%","1,216,530","",""
"INTC","INTEL CORP","COM","458140100","29,141","0.2%","620,953","",""
"QSR","RESTAURANT BRANDS INTL INC","COM","76131D103","29,059","0.2%","556,095","",""
"CSCO","CISCO SYS INC","COM","17275R102","28,477","0.2%","657,361","",""
"MDLZ","MONDELEZ INTL INC","CL A","609207105","27,881","0.2%","696,493","",""
"CVX","CHEVRON CORP NEW","COM","166764100","27,195","0.2%","249,976","",""
"MA","MASTERCARD INCORPORATED","CL A","57636Q104","25,506","0.2%","135,202","",""
"PEP","PEPSICO INC","COM","713448108","25,090","0.2%","227,101","",""
"SHOP","SHOPIFY INC","CL A","82509L107","25,077","0.2%","181,271","",""
"PG","PROCTER AND GAMBLE CO","COM","742718109","24,877","0.2%","270,873","",""
"VZ","VERIZON COMMUNICATIONS INC","COM","92343V104","24,594","0.2%","438,412","",""
"CVS","CVS HEALTH CORP","COM","126650100","24,475","0.2%","373,554","",""
"PFE","PFIZER INC","COM","717081103","24,216","0.2%","554,778","",""
"T","AT&T INC","COM","00206R102","22,873","0.2%","802,830","",""
"CIGI.TO","COLLIERS INTL GROUP INC","SUB VTG SHS","194693107","22,844","0.2%","414,106","",""
"UNH","UNITEDHEALTH GROUP INC","COM","91324P102","22,488","0.2%","90,268","",""
"CMCSA","COMCAST CORP NEW","CL A","20030N101","21,884","0.2%","642,712","",""
"KO","COCA COLA CO","COM","191216100","21,823","0.2%","460,891","",""
"WFC","WELLS FARGO CO NEW","COM","949746101","21,758","0.2%","472,178","",""
"FTS.TO","FORTIS INC","COM","349553107","21,612","0.2%","648,139","",""
"CPG.TO","CRESCENT PT ENERGY CORP","COM","22576C101","20,796","0.2%","6,855,828","",""
"ADBE","ADOBE INC","COM","00724F101","20,705","0.2%","91,519","",""
"GILD","GILEAD SCIENCES INC","COM","375558103","19,812","0.1%","316,734","",""
"PYPL","PAYPAL HLDGS INC","COM","70450Y103","19,547","0.1%","232,461","",""
"KHC","KRAFT HEINZ CO","COM","500754106","19,509","0.1%","453,277","",""
"MRK","MERCK & CO INC","COM","58933Y105","18,587","0.1%","243,256","",""
"HD","HOME DEPOT INC","COM","437076102","18,246","0.1%","106,194","",""
